Series;Product Image;Description;Part Number;Dialectric;Capacitor Type;Construction;Capacitance;Tolerance;Voltage Bias;Voltage;Lead Pitch;Image path;Datasheet part;3d model part
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734332901;Polyester;RFI X/Y;Axial;330nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734332900;Polyester;RFI X/Y;Axial;330nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734332000;Polyester;RFI X/Y;Axial;330nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733332900;Polyester;RFI X/Y;Axial;33nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733332901;Polyester;RFI X/Y;Axial;33nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733332000;Polyester;RFI X/Y;Axial;33nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734392900;Polyester;RFI X/Y;Axial;390nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734392901;Polyester;RFI X/Y;Axial;390nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734392000;Polyester;RFI X/Y;Axial;390nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733392901;Polyester;RFI X/Y;Axial;39nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733932901;Polyester;RFI X/Y;Axial;39nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733932900;Polyester;RFI X/Y;Axial;39nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733392000;Polyester;RFI X/Y;Axial;39nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733392900;Polyester;RFI X/Y;Axial;39nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733932000;Polyester;RFI X/Y;Axial;39nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734472901;Polyester;RFI X/Y;Axial;470nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734472000;Polyester;RFI X/Y;Axial;470nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734472900;Polyester;RFI X/Y;Axial;470nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733472901;Polyester;RFI X/Y;Axial;47nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733472000;Polyester;RFI X/Y;Axial;47nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17733472900;Polyester;RFI X/Y;Axial;47nF;20;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734562900;Polyester;RFI X/Y;Axial;560nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
F1773 X2;Enlarge;F1773 - X2 Axial Low Building Height;F17734562000;Polyester;RFI X/Y;Axial;560nF;10;VacX2;253;;image/capacitors\26507.png;Datasheet\capacitors\F1773 X2\F1773 X2.pdf;
