Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size(mm);Image path;Datasheet part;3d model part
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;470 µF;3.0;25;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;20.0;75;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;16.0;65;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;6.3;25;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;470 µF;2.5;25;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;10.0;55;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;470 µF;4.0;25;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;35.0;100;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;680 µF;3.0;25;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;25.0;75;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;68 µF;16.0;75;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;6.3;25;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;680 µF;2.5;25;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;10.0;25;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;470 µF;4.0;40;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;10 µF;50.0;100;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;68 µF;4.0;80;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;25.0;100;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;16.0;50;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;330 µF;6.3;25;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;3.0;80;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;10.0;55;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;33 µF;6.3;80;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
DLA 04051;Enlarge;Polymer;SMD, molded;SMD, molded;10 µF;50.0;125;;image/capacitors\40281.png;Datasheet\capacitors\DLA 04051\DLA 04051.pdf;Datasheet\capacitors\DLA 04051\DLA 04051.zip
