Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;180 µF;75.0;1500.0;16.28 x 7.14 (T2);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;68 µF;60.0;1500.0;11.51 x 4.78 (T1);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;220 µF;100.0;1400.0;19.46 x 9.52 (T3);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;110 µF;50.0;1600.0;11.51 x 4.78 (T1);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;470 µF;75.0;600.0;19.46 x 9.52 (T3);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;6 mF;16.0;300.0;26.97 x 9.52 (T4);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;560 µF;60.0;900.0;19.46 x 9.52 (T3);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;400 µF;100.0;700.0;26.97 x 9.52 (T4);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;900 µF;50.0;900.0;19.46 x 9.52 (T3);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;750 µF;75.0;500.0;26.97 x 9.52 (T4);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;4 mF;25.0;350.0;26.97 x 9.52 (T4);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;1 mF;60.0;500.0;26.97 x 9.52 (T4);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;470 µF;100.0;700.0;26.97 x 9.52 (T4);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;1.5 mF;50.0;1000.0;19.46 x 9.52 (T3);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;940 µF;75.0;500.0;26.97 x 9.52 (T4);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
DLA 10004;Enlarge;Tantalum, Wet;Through Hole;Axial;820 µF;30.0;1000.0;16.28 x 7.14 (T2);image/capacitors\40137.png;Datasheet\capacitors\DLA 10004\DLA 10004.pdf;Datasheet\capacitors\DLA 10004\DLA 10004.zip
