Series;Type(V);Display Format;mm(W x H mm);mm(W x H mm);mm(W x H mm);mm(W x H mm);mm(W x H mm);Duty;Built-In Controller;Yellow;Green;Red;Blue;White;Image path;Datasheet part;3d model part
OLED-016O002B-LPP5N00000;character;16 x 2 characters;53.0 x 20.0 x 7.6 (max.);36.0 x 10.0;1.67 x 2.84;0.30 x 0.32;0.34 x 0.36;1/16;OLED-0010;Yes;-;-;-;-;37794;Datasheet/displays/OLED-016O002B-LPP5N00000\OLED-016O002B-LPP5N00000.pdf;None
OLED-016O002C-LPP5N00000;character;16 x 2 characters;68.5 x 17.5 x 2.17;58.22 x 13.52;2.97 x 5.57;0.57 x 0.67;0.60 x 0.70;1/16;SSD1311;Yes;-;-;-;-;37795;Datasheet/displays/OLED-016O002C-LPP5N00000\OLED-016O002C-LPP5N00000.pdf;None
OLED-016O002C-SPP3N00000;character;16 x 2 characters;68.5 x 17.5 x 2.05;58.22 x 13.52;2.97 x 5.57;0.57 x 0.67;0.60 x 0.70;1/16;OLED-0010;-;-;-;Yes;-;37796;Datasheet/displays/OLED-016O002C-SPP3N00000\OLED-016O002C-SPP3N00000.pdf;None
OLED-016O002C-WPP5N00000;character;16 x 2 characters;68.5 x 17.5 x 2.17;58.22 x 13.52;2.97 x 5.57;0.57 x 0.67;0.60 x 0.70;1/16;SSD1311;-;-;-;-;Yes;37797;Datasheet/displays/OLED-016O002C-WPP5N00000\OLED-016O002C-WPP5N00000.pdf;None
OLED-016O002G-LPP5N00000;character;16 x 2 characters;84.0 x 44.0 x 9.67;58.22 x 13.52;2.97 x 5.57;0.57 x 0.67;0.60 x 0.70;1/16;SSD1311;Yes;-;-;-;-;37798;Datasheet/displays/OLED-016O002G-LPP5N00000\OLED-016O002G-LPP5N00000.pdf;None
OLED-020N002A-BPP5N00000;character;20 x 2 characters;116.0 x 37.0 x 9.8 (max.);85.0 x 18.6;3.2 x 5.55;0.6 x 0.65;0.65 x 0.70;1/16;OLED-0010;-;-;-;Yes;-;37799;Datasheet/displays/OLED-020N002A-BPP5N00000\OLED-020N002A-BPP5N00000.pdf;None
OLED-020N002A-GPP5N000A0;character;20 x 2 characters;116.0 x 37.0 x 9.8 (max.);85.0 x 18.6;3.2 x 5.55;0.6 x 0.65;0.65 x 0.70;1/16;OLED-0010;-;Yes;-;-;-;37800;Datasheet/displays/OLED-020N002A-GPP5N000A0\OLED-020N002A-GPP5N000A0.pdf;None
OLED-020N002A-LPP5N000A0;character;20 x 2 characters;116.0 x 37.0 x 9.8 (max.);85.0 x 18.6;3.2 x 5.55;0.60 x 0.65;0.65 x 0.70;1/16;OLED-0010;Yes;-;-;-;-;37801;Datasheet/displays/OLED-020N002A-LPP5N000A0\OLED-020N002A-LPP5N000A0.pdf;None
OLED-020N002A-WPP5N00000;character;20 x 2 characters;116.0 x 37.0 x 9.8 (max.);85.0 x 18.6;3.2 x 5.55;0.6 x 0.65;0.65 x 0.70;1/16;OLED-0010;-;-;-;-;Yes;37803;Datasheet/displays/OLED-020N002A-WPP5N00000\OLED-020N002A-WPP5N00000.pdf;None
OLED-020N002B-GPP5N00000;character;20 x 2 characters;180.0 x 40.0 x 9.3 (max.);149.0 x 23.0;6.0 x 9.66;1.12 x 1.12;1.22 x 1.22;1/16;OLED-0010;-;Yes;-;-;-;37804;Datasheet/displays/OLED-020N002B-GPP5N00000\OLED-020N002B-GPP5N00000.pdf;None
