Series;Type(V);Display Format;Outline Dimensions(W x H mm);Effective Viewing Area(W x H mm);Character Size(W x H mm);Dot Size(W x H mm);Dot Pitch(W x H mm);Driving Method (Duty);Built-In Controller;Process Color TN;Process Color STN Gray;Process Color STN Yellow;Process Color STN Blue;Process Color STN Color;BL None;BL LED;BL EL;BL CCFL;Image path;Datasheet part;3d model part
LCD-016N002T;Character;16 x 2 characters;65.4 x 28.2;54.8 x 19.0;2.67 x 5.57;0.51 x 0.67;0.54 x 0.70;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37304;displays\LCD-016N002T\LCD-016N002T.pdf;
LCD-016N002V2;Character;16 x 2 characters;89.0 x 19.6;61.0 x 15.9;2.95 x 5.55;0.55 x 0.55;0.60 x 0.70;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;;;37400;displays\LCD-016N002V2\LCD-016N002V2.pdf;
LCD-016N002V2;Character;16 x 2 characters;69.0 x 29.2;61.0 x 15.9;3.55 x 5.55;0.55 x 0.65;0.60 x 0.70;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37424;displays\LCD-016N002V2\LCD-016N002V2.pdf;
LCD-016N002W;Character;16 x 2 characters;80.0 x 36.0;66.0 x 16.0;2.95 x 5.55;0.55 x 0.65;0.60 x 0.70;1/16;ST 7066;x;x;x;x;;x;x;x;;37425;displays\LCD-016N002W\LCD-016N002W.pdf;
LCD-016N004A;Character;16 x 4 characters;87.0 x 60.0;62.0 x 26.0;2.95 x 4.75;0.55 x 0.55;0.60 x 0.60;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37305;displays\LCD-016N004A\LCD-016N004A.pdf;
LCD-016N004B;Character;16 x 4 characters;70.6 x 60.0;60.0 x 32.6;2.95 x 4.75;0.55 x 0.55;0.60 x 0.60;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37306;displays\LCD-016N004B\LCD-016N004B.pdf;
LCD-020N002A;Character;20 x 2 characters;116.0 x 37.0;85.0 x 18.6;3.2 x 5.55;0.60 x 0.65;0.65 x 0.70;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37308;displays\LCD-020N002A\LCD-020N002A.pdf;
LCD-020N002D;Character;20 x 2 characters;89.0 x 21.5;75.0 x 15.0;2.95 x 5.15;0.55 x 0.60;0.60 x 0.65;1/16;ST 7066 (or equivalent);;x;x;x;;;x;;;37309;displays\LCD-020N002D\LCD-020N002D.pdf;
LCD-020N002L;Character;20 x 2 characters;180.0 x 40.0;149.0 x 23.0;6.0 x 9.66;1.12 x 1.12;1.22 x 1.22;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37310;displays\LCD-020N002L\LCD-020N002L.pdf;
LCD-020N002M;Character;20 x 2 characters;146.0 x 43.0;123.0 x 23.0;4.84 x 9.22;0.92 x 1.10;0.98 x 1.16;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37311;displays\LCD-020N002M\LCD-020N002M.pdf;
LCD-020N004A, LCD-020N004B;Character;20 x 4 characters;98.0 x 60.0;77.0 x 25.2;2.95 x 4.75;0.55 x 0.55;0.60 x 0.60;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37312;displays\LCD-020N004A, LCD-020N004B\LCD-020N004A, LCD-020N004B.pdf;
LCD-020N004D;Character;20 x 4 characters;77.0 x 47.0;60.0 x 22.0;2.3 x 4.03;0.42 x 0.46;0.47 x 0.51;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37313;displays\LCD-020N004D\LCD-020N004D.pdf;
LCD-020N004L;Character;20 x 4 characters;146.0 x 62.5;123.5 x 43.0;4.84 x 9.22;0.92 x 1.10;0.98 x 1.16;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37314;displays\LCD-020N004L\LCD-020N004L.pdf;
LCD-024N002A;Character;24 x 2 characters;118.0 x 36.0;94.5 x 16.0;3.2 x 5.55;0.60 x 0.65;0.70 x 0.65;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37315;displays\LCD-024N002A\LCD-024N002A.pdf;
LCD-040N002A;Character;40 x 2 characters;182.0 x 33.5;154.4 x 16.5;3.2 x 5.55;0.60 x 0.65;0.65 x 0.70;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37316;displays\LCD-040N002A\LCD-040N002A.pdf;
LCD-040N004A;Character;40 x 4 characters;190.0 x 54.0;147.0 x 29.5;2.78 x 4.89;0.50 x 0.55;0.57 x 0.62;1/16;ST 7066 (or equivalent);x;x;x;x;;x;x;x;;37317;displays\LCD-040N004A\LCD-040N004A.pdf;
