Part Number;Configuration;SingleSupplyMin.;SingleSupplyMax.;DualSupplyMin.;DualSupplyMax.;On-Resistance(Ω);Is(off)Max.;tonMax.;QINJTyp.;XTALK&OIRR;Package;CS(on)(pF);CS(off)(pF);-3 dBBandwidth(MHz);Image path;Datasheet part;3d model part
DG451;SPST x 4, NC;12;36;5;22;3.8;0.5;118;22;-85;TSSOP-16;103;31;;74470;Datasheet/analog-switches/DG451/DG451.pdf;None
DG451;SPST x 4, NC;12;36;5;22;3.8;0.5;118;22;-85;SO-16 (Narrow) AS;103;31;;74470;Datasheet/analog-switches/DG451/DG451.pdf;None
DG452;SPST x 4, NO;12;36;5;22;3.8;0.5;118;22;-85;SO-16 (Narrow) AS;103;31;;74470;Datasheet/analog-switches/DG452/DG452.pdf;None
DG452;SPST x 4, NO;12;36;5;22;3.8;0.5;118;22;-85;TSSOP-16;103;31;;74470;Datasheet/analog-switches/DG452/DG452.pdf;None
DG453;SPST x 4, Comp;12;36;5;22;3.8;0.5;118;22;-85;SO-16 (Narrow) AS;103;31;;74470;Datasheet/analog-switches/DG453/DG453.pdf;None
DG453;SPST x 4, Comp;12;36;5;22;3.8;0.5;118;22;-85;TSSOP-16;103;31;;74470;Datasheet/analog-switches/DG453/DG453.pdf;None
DG454;SPST x 4, NC;12;36;5;22;3.8;0.5;118;22;-85;TSSOP-16;103;31;;74473;Datasheet/analog-switches/DG454/DG454.pdf;None
DG454;SPST x 4, NC;12;36;5;22;3.8;0.5;118;22;-85;SO-16 (Narrow) AS;103;31;;74473;Datasheet/analog-switches/DG454/DG454.pdf;None
DG455;SPST x 4, NO;12;36;5;22;3.8;0.5;118;22;-85;TSSOP-16;103;31;;74473;Datasheet/analog-switches/DG455/DG455.pdf;None
DG455;SPST x 4, NO;12;36;5;22;3.8;0.5;118;22;-85;SO-16 (Narrow) AS;103;31;;74473;Datasheet/analog-switches/DG455/DG455.pdf;None
DG456;SPST x 4, Comp;12;36;5;22;3.8;0.5;118;22;-85;TSSOP-16;103;31;;74473;Datasheet/analog-switches/DG456/DG456.pdf;None
DG456;SPST x 4, Comp;12;36;5;22;3.8;0.5;118;22;-85;SO-16 (Narrow) AS;103;31;;74473;Datasheet/analog-switches/DG456/DG456.pdf;None
DG467;SPST x 1, NC;7;36;4.5;20;7;1;140;21;;TSOP-6;76;30;;74413;Datasheet/analog-switches/DG467/DG467.pdf;None
DG468;SPST x 1, NO;7;36;4.5;20;7;1;140;21;;TSOP-6;76;30;;74413;Datasheet/analog-switches/DG468/DG468.pdf;None
DG469;SPDT x 1;12;36;4.5;22;3.6;0.5;166;58;-63;MSOP-8;125;37;;71470;Datasheet/analog-switches/DG469/DG469.pdf;None
DG469;SPDT x 1;12;36;4.5;22;3.6;0.5;166;58;-63;SO-8 (Narrow) AS;125;37;;71470;Datasheet/analog-switches/DG469/DG469.pdf;None
DG470;SPDT x 1;12;36;4.5;22;3.6;0.5;166;58;-63;SO-8 (Narrow) AS;125;37;;71470;Datasheet/analog-switches/DG470/DG470.pdf;None
DG470;SPDT x 1;12;36;4.5;22;3.6;0.5;166;58;-63;MSOP-8;125;37;;71470;Datasheet/analog-switches/DG470/DG470.pdf;None
DG5043;SPDT x 2;13;36;7;22;50;1;1200;30;-80;Plastic DIP-16;;;;70059;Datasheet/analog-switches/DG5043/DG5043.pdf;None
DG506B;16:1 x 1;12;44;5;20;170;1;250;1;-85;TSSOP-28;38;3;114;65150;Datasheet/analog-switches/DG506B/DG506B.pdf;None
DG506B;16:1 x 1;12;44;5;20;170;1;250;1;-85;PLCC-28;38;3;114;65150;Datasheet/analog-switches/DG506B/DG506B.pdf;None
DG506B;16:1 x 1;12;44;5;20;170;1;250;1;-85;SO-28 (Wide);38;3;114;65150;Datasheet/analog-switches/DG506B/DG506B.pdf;None
DG507B;8:1 x 2;12;44;5;20;170;1;250;1;-84;PLCC-28;24;3;217;65150;Datasheet/analog-switches/DG507B/DG507B.pdf;None
DG507B;8:1 x 2;12;44;5;20;170;1;250;1;-84;TSSOP-28;24;3;217;65150;Datasheet/analog-switches/DG507B/DG507B.pdf;None
DG507B;8:1 x 2;12;44;5;20;170;1;250;1;-84;SO-28 (Wide);24;3;217;65150;Datasheet/analog-switches/DG507B/DG507B.pdf;None
DG508B;8:1 x 1;12;44;5;22;180;1;250;2;-88;Plastic DIP-16;18;3;250;64821;Datasheet/analog-switches/DG508B/DG508B.pdf;None
DG508B;8:1 x 1;12;44;5;22;180;1;250;2;-88;SO-16 (Narrow) AS;18;3;250;64821;Datasheet/analog-switches/DG508B/DG508B.pdf;None
DG508B;8:1 x 1;12;44;5;22;180;1;250;2;-88;TSSOP-16;18;3;250;64821;Datasheet/analog-switches/DG508B/DG508B.pdf;None
DG508B;8:1 x 1;12;44;5;22;180;1;250;2;-88;miniQFN-16 (0.55mm);18;3;250;64821;Datasheet/analog-switches/DG508B/DG508B.pdf;None
DG509B;4:1 x 2;12;44;5;22;180;1;250;2;-88;Plastic DIP-16;11;3;250;64821;Datasheet/analog-switches/DG509B/DG509B.pdf;None
DG509B;4:1 x 2;12;44;5;22;180;1;250;2;-88;miniQFN-16 (0.55mm);11;3;250;64821;Datasheet/analog-switches/DG509B/DG509B.pdf;None
DG509B;4:1 x 2;12;44;5;22;180;1;250;2;-88;TSSOP-16;11;3;250;64821;Datasheet/analog-switches/DG509B/DG509B.pdf;None
DG509B;4:1 x 2;12;44;5;22;180;1;250;2;-88;SO-16 (Narrow) AS;11;3;250;64821;Datasheet/analog-switches/DG509B/DG509B.pdf;None
DG5143;SPDT x 2;13;36;7;22;75;5;175;150;-50;Plastic DIP-16;;;;70060;Datasheet/analog-switches/DG5143/DG5143.pdf;None
DG604E;4:1 x 1;3;16;3;8;64;18;61;-0.3;-65;miniQFN-16 (0.55mm);11;4.2;414;75612;Datasheet/analog-switches/DG604E/DG604E.pdf;None
DG604E;4:1 x 1;3;16;3;8;64;18;61;-0.3;-65;TSSOP-14;11;4.2;414;75612;Datasheet/analog-switches/DG604E/DG604E.pdf;None
DG611E;SPST x 4, NC;3;16;3;8;72;0.1;50;1.4;-59;miniQFN-16 (0.55 mm);7;3;1000;78910;Datasheet/analog-switches/DG611E/DG611E.pdf;None
DG611E;SPST x 4, NC;3;16;3;8;72;0.1;50;1.4;-59;TSSOP-16;7;3;1000;78910;Datasheet/analog-switches/DG611E/DG611E.pdf;None
DG611E;SPST x 4, NC;3;16;3;8;72;0.1;50;1.4;-59;SO-16 (narrow) AS;7;3;1000;78910;Datasheet/analog-switches/DG611E/DG611E.pdf;None
DG612E;SPST x 4, NO;3;16;3;8;72;0.1;50;1.4;-59;TSSOP-16;7;3;1000;78910;Datasheet/analog-switches/DG612E/DG612E.pdf;None
DG612E;SPST x 4, NO;3;16;3;8;72;0.1;50;1.4;-59;SO-16 (narrow) AS;7;3;1000;78910;Datasheet/analog-switches/DG612E/DG612E.pdf;None
DG612E;SPST x 4, NO;3;16;3;8;72;0.1;50;1.4;-59;miniQFN-16 (0.55 mm);7;3;1000;78910;Datasheet/analog-switches/DG612E/DG612E.pdf;None
