Part Number;Configuration;SingleSupplyMin.;SingleSupplyMax.;DualSupplyMin.;DualSupplyMax.;On-Resistance(Ω);Is(off)Max.;tonMax.;QINJTyp.;XTALK&OIRR;Package;CS(on)(pF);CS(off)(pF);-3 dBBandwidth(MHz);Image path;Datasheet part;3d model part
DG221B;SPST x 4, Latch;13;18;7;18;90;5;550;20;-60;SO-16 (Narrow) AS;;;;71616;Datasheet/analog-switches/DG221B/DG221B.pdf;None
DG221B;SPST x 4, Latch;13;18;7;18;90;5;550;20;-60;Plastic DIP-16;;;;71616;Datasheet/analog-switches/DG221B/DG221B.pdf;None
DG2501;Quad SPST;1.8;5.5;;;150;1;150;-0.7;-85;WCSP16 0.35mm;;2.9;510;62962;Datasheet/analog-switches/DG2501/DG2501.pdf;None
DG2502;Quad SPST;1.8;5.5;;;150;1;150;-0.7;-85;WCSP16 0.35mm;;2.9;510;62962;Datasheet/analog-switches/DG2502/DG2502.pdf;None
DG2503;Quad SPST;1.8;5.5;;;150;1;150;-0.7;-85;WCSP16 0.35mm;;2.9;510;62962;Datasheet/analog-switches/DG2503/DG2503.pdf;None
DG2517E;SPDT x 2;1.8;5.5;;;2.5;5;45;-9;-55;DFN-10;23;7;226;74518;Datasheet/analog-switches/DG2517E/DG2517E.pdf;None
DG2517E;SPDT x 2;1.8;5.5;;;2.5;5;45;-9;-55;MSOP-10;23;7;226;74518;Datasheet/analog-switches/DG2517E/DG2517E.pdf;None
DG2519E;SPDT x 2;1.8;5.5;;;2.5;5;45;-10.2;-58;DFN-10;24;7;222;78595;Datasheet/analog-switches/DG2519E/DG2519E.pdf;None
DG2519E;SPDT x 2;1.8;5.5;;;2.5;5;45;-10.2;-58;MSOP-10;24;7;222;78595;Datasheet/analog-switches/DG2519E/DG2519E.pdf;None
DG2523;DPDT x 2;1.8;5.5;;;0.4;1;60;-19;-55;QFN-16 3 x 3;26;14.5;310;67894;Datasheet/analog-switches/DG2523/DG2523.pdf;None
DG2524;SPDT x 4;1.8;5.5;;;0.4;1;60;-19;-55;QFN-16 3 x 3;26;14.5;310;67894;Datasheet/analog-switches/DG2524/DG2524.pdf;None
DG2525;DPDT x 2;1.8;5.5;;;0.37;5;60000;-19;-55;miniQFN-16 (0.55mm);26;14.5;310;78295;Datasheet/analog-switches/DG2525/DG2525.pdf;None
DG2535E;SPDT x 2;1.65;5.5;;;0.25;8;78;;-70;MSOP-10;120;40;120;75646;Datasheet/analog-switches/DG2535E/DG2535E.pdf;None
DG2535E;SPDT x 2;1.65;5.5;;;0.25;8;78;;-70;DFN-10;120;40;120;75646;Datasheet/analog-switches/DG2535E/DG2535E.pdf;None
DG2592;;1.6;5.5;;;;;;;;miniQFN-10;;;;62970;Datasheet/analog-switches/DG2592/DG2592.pdf;None
DG2715E;SPST x 1, NO;1.8;5.5;;;0.7;-5;25;-7;-57;SC-70-5;73;29;;75025;Datasheet/analog-switches/DG2715E/DG2715E.pdf;None
DG2716E;SPST x 1, NC;1.8;5.5;;;0.7;5;25;-7;-57;SC-70-5;73;29;;75025;Datasheet/analog-switches/DG2716E/DG2716E.pdf;None
DG2723;SPDT x 2;2.7;4.3;;;8;100;30;0.5;-45;miniQFN-10;6;2;700;68767;Datasheet/analog-switches/DG2723/DG2723.pdf;None
DG2730;DPDT x 1;2.7;4.3;;;7;100;30;0.5;-45;miniQFN-10;6.5;2.7;900;67786;Datasheet/analog-switches/DG2730/DG2730.pdf;None
DG2733E;SPDT x 2;1.65;5.5;;;0.25;8;78;;-70;DFN-10;120;40;120;75646;Datasheet/analog-switches/DG2733E/DG2733E.pdf;None
DG2733E;SPDT x 2;1.65;5.5;;;0.25;8;78;;-70;MSOP-10;120;40;120;75646;Datasheet/analog-switches/DG2733E/DG2733E.pdf;None
DG2735A;SPDT x 2;1.65;4.3;;;0.6;10;75;;-70;miniQFN-10;168;52;30;67590;Datasheet/analog-switches/DG2735A/DG2735A.pdf;None
DG2750;SPDT x 2;1.8;5;;;1;50;1350;4;-60.8;miniQFN-10;81;30;34;64736;Datasheet/analog-switches/DG2750/DG2750.pdf;None
DG2788A;DPDT x 2;1.8;5.5;;;0.37;0.5;50;-245;-56;miniQFN-16 (0.55mm);26;14.5;338;79391;Datasheet/analog-switches/DG2788A/DG2788A.pdf;None
DG300B;SPST x 2, NO;5;36;5;22;15;5;150;8;-62;Plastic DIP-14;40;14;;71402;Datasheet/analog-switches/DG300B/DG300B.pdf;None
DG301B;DPST, comp;5;36;5;22;15;5;150;8;-62;Plastic DIP-14;40;14;;71402;Datasheet/analog-switches/DG301B/DG301B.pdf;None
DG302B;DPST x 2, NO;5;36;5;22;15;5;150;8;-62;Plastic DIP-14;40;14;;71402;Datasheet/analog-switches/DG302B/DG302B.pdf;None
DG303B;DPST x 2, comp;5;36;5;22;15;5;150;8;-62;Plastic DIP-14;40;14;;71402;Datasheet/analog-switches/DG303B/DG303B.pdf;None
DG303B;DPST x 2, comp;5;36;5;22;15;5;150;8;-62;SO-14 (narrow) AS;40;14;;71402;Datasheet/analog-switches/DG303B/DG303B.pdf;None
DG3157E;SPDT x 1;1.65;5.5;;;8;100;;1.3;-61;SC-70-6;12;7;580;76387;Datasheet/analog-switches/DG3157E/DG3157E.pdf;None
DG3257;SPDT x 1;1.65;5.5;;;5;20;23;4;-32;UDFN-6;9;3;714;75945;Datasheet/analog-switches/DG3257/DG3257.pdf;None
DG333A;SPDT x 4;5;36;5;22;25;0.25;175;10;-72;SO-20 (wide);12;8;;70803;Datasheet/analog-switches/DG333A/DG333A.pdf;None
DG333A;SPDT x 4;5;36;5;22;25;0.25;175;10;-72;TSSOP-20;12;8;;70803;Datasheet/analog-switches/DG333A/DG333A.pdf;None
DG333AL;SPDT x 4;5;36;5;22;25;0.25;175;10;-72;SO-20 (wide);12;8;;70803;Datasheet/analog-switches/DG333AL/DG333AL.pdf;None
DG333AL;SPDT x 4;5;36;5;22;25;0.25;175;10;-72;TSSOP-20;12;8;;70803;Datasheet/analog-switches/DG333AL/DG333AL.pdf;None
DG401B;SPST x 2, NO;5;36;5;22;23;0.5;150;60;-94.8;Plastic DIP-16;39;12;;73069;Datasheet/analog-switches/DG401B/DG401B.pdf;None
DG401B;SPST x 2, NO;5;36;5;22;23;0.5;150;60;-94.8;SO-16 (narrow) AS;39;12;;73069;Datasheet/analog-switches/DG401B/DG401B.pdf;None
