Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size(mm);Image path;Datasheet part;3d model part
T51;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;16.0;70;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;4.0;40;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;2.2 µF;35.0;300;3.5 x 2.8 x 2.1 (B);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;47 µF;10.0;70;3.5 x 2.8 x 2.1 (B);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;10 µF;25.0;120;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;150 µF;6.3;40;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;68 µF;16.0;70;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;220 µF;4.0;40;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;2.5;70;3.5 x 2.8 x 2.1 (B);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;3.3 µF;35.0;300;3.5 x 2.8 x 2.1 (B);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;100 µF;10.0;40;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
T51;Enlarge;Polymer;SMD, molded;SMD, molded;15 µF;25.0;100;7.3 x 4.3 x 3.1 (D);image/capacitors\40259.png;Datasheet\capacitors\T51\T51.pdf;Datasheet\capacitors\T51\T51.zip
