Part Number;Product Image;Voltage;Capacitance;Dielectric;Lead Spacing(mm/inch);Lead Style;Packaging;Image path;Datasheet part;3d model part
PA0140WF30238BJ1;Enlarge;12000;3000;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140WF30238BJ1\PA0140WF30238BJ1.pdf;Datasheet\capacitors\PA0140WF30238BJ1\PA0140WF30238BJ1.zip
PA0140WH20238BJ1;Enlarge;13000;2000;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140WH20238BJ1\PA0140WH20238BJ1.pdf;Datasheet\capacitors\PA0140WH20238BJ1\PA0140WH20238BJ1.zip
PA0140WH25238BJ1;Enlarge;13000;2500;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140WH25238BJ1\PA0140WH25238BJ1.pdf;Datasheet\capacitors\PA0140WH25238BJ1\PA0140WH25238BJ1.zip
PA0140WH60138BH1;Enlarge;13000;600;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140WH60138BH1\PA0140WH60138BH1.pdf;Datasheet\capacitors\PA0140WH60138BH1\PA0140WH60138BH1.zip
PA0140WH80138BH1;Enlarge;13000;800;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140WH80138BH1\PA0140WH80138BH1.pdf;Datasheet\capacitors\PA0140WH80138BH1\PA0140WH80138BH1.zip
PA0140WJ10238BJ1;Enlarge;14000;1000;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140WJ10238BJ1\PA0140WJ10238BJ1.pdf;Datasheet\capacitors\PA0140WJ10238BJ1\PA0140WJ10238BJ1.zip
PA0140WJ12238BJ1;Enlarge;14000;1200;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140WJ12238BJ1\PA0140WJ12238BJ1.pdf;Datasheet\capacitors\PA0140WJ12238BJ1\PA0140WJ12238BJ1.zip
PA0140WJ16238BJ1;Enlarge;14000;1600;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140WJ16238BJ1\PA0140WJ16238BJ1.pdf;Datasheet\capacitors\PA0140WJ16238BJ1\PA0140WJ16238BJ1.zip
PA0140WJ30138BG1;Enlarge;14000;300;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140WJ30138BG1\PA0140WJ30138BG1.pdf;Datasheet\capacitors\PA0140WJ30138BG1\PA0140WJ30138BG1.zip
PA0140WJ50138BH1;Enlarge;14000;500;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140WJ50138BH1\PA0140WJ50138BH1.pdf;Datasheet\capacitors\PA0140WJ50138BH1\PA0140WJ50138BH1.zip
PA0140WL30238BK1;Enlarge;16000;3000;R230;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0140WL30238BK1\PA0140WL30238BK1.pdf;Datasheet\capacitors\PA0140WL30238BK1\PA0140WL30238BK1.zip
PA0200BJ16138BF1;Enlarge;15000;160;R7;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200BJ16138BF1\PA0200BJ16138BF1.pdf;Datasheet\capacitors\PA0200BJ16138BF1\PA0200BJ16138BF1.zip
PA0200BJ20138BF1;Enlarge;15000;200;R7;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200BJ20138BF1\PA0200BJ20138BF1.pdf;Datasheet\capacitors\PA0200BJ20138BF1\PA0200BJ20138BF1.zip
PA0200BJ25138BF1;Enlarge;15000;250;R7;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200BJ25138BF1\PA0200BJ25138BF1.pdf;Datasheet\capacitors\PA0200BJ25138BF1\PA0200BJ25138BF1.zip
PA0200BJ50138BG1;Enlarge;15000;500;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200BJ50138BG1\PA0200BJ50138BG1.pdf;Datasheet\capacitors\PA0200BJ50138BG1\PA0200BJ50138BG1.zip
PA0200BJ60138BG1;Enlarge;15000;600;R16;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200BJ60138BG1\PA0200BJ60138BG1.pdf;Datasheet\capacitors\PA0200BJ60138BG1\PA0200BJ60138BG1.zip
PA0200BJ80138BH1;Enlarge;15000;800;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200BJ80138BH1\PA0200BJ80138BH1.pdf;Datasheet\capacitors\PA0200BJ80138BH1\PA0200BJ80138BH1.zip
PA0200WF40138BF1;Enlarge;12000;400;R7;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200WF40138BF1\PA0200WF40138BF1.pdf;Datasheet\capacitors\PA0200WF40138BF1\PA0200WF40138BF1.zip
PA0200WF60238BJ1;Enlarge;12000;6000;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200WF60238BJ1\PA0200WF60238BJ1.pdf;None
PA0200WH40238BJ1;Enlarge;13000;4000;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200WH40238BJ1\PA0200WH40238BJ1.pdf;None
PA0200WH50238BJ1;Enlarge;13000;5000;R85;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200WH50238BJ1\PA0200WH50238BJ1.pdf;Datasheet\capacitors\PA0200WH50238BJ1\PA0200WH50238BJ1.zip
PA0200WJ10238BH1;Enlarge;14000;1000;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200WJ10238BH1\PA0200WJ10238BH1.pdf;Datasheet\capacitors\PA0200WJ10238BH1\PA0200WJ10238BH1.zip
PA0200WJ12238BH1;Enlarge;14000;1200;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200WJ12238BH1\PA0200WJ12238BH1.pdf;Datasheet\capacitors\PA0200WJ12238BH1\PA0200WJ12238BH1.zip
PA0200WJ16238BH1;Enlarge;14000;1600;R42;NA;NA;Individual;image\capacitors\22082.png;Datasheet\capacitors\PA0200WJ16238BH1\PA0200WJ16238BH1.pdf;Datasheet\capacitors\PA0200WJ16238BH1\PA0200WJ16238BH1.zip
