Series;Product Image;Order Code;Cap (µF);Voltage (V);Form;Case Size;Temp Max (°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
225 EDLC-R ENYCAP™;Enlarge;MAL222591003E3;20000000;2.7;Radial;Ø16x20;+85 °C;2000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222551003E3;20000000;2.7;Radial;Ø16x20;+85 °C;2000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222551017E3;22000000;2.7;Radial;Ø12.5x40;+85 °C;1500;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222531017E3;22000000;2.7;Radial;Ø12.5x40;+85 °C;1500;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222531006E3;25000000;2.7;Radial;Ø16x25;+85 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222591006E3;25000000;2.7;Radial;Ø16x25;+85 °C;2000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222551006E3;25000000;2.7;Radial;Ø16x25;+85 °C;2000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222531004E3;25000000;2.7;Radial;Ø18x20;+85 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222551004E3;25000000;2.7;Radial;Ø18x20;+85 °C;2000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222591004E3;25000000;2.7;Radial;Ø18x20;+85 °C;2000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222591007E3;30000000;2.7;Radial;Ø18x25;+85 °C;2000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
225 EDLC-R ENYCAP™;Enlarge;MAL222531007E3;30000000;2.7;Radial;Ø18x25;+85 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28449.png;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.pdf;Datasheet\capacitors\225 EDLC-R ENYCAP™\225 EDLC-R ENYCAP™.zip
