Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF;IFSM(A);trr(ns);TJmax.(°C);Package (JEDEC®) Code;CircuitConfiguration;AEC-Q101 Qualified;Image path;Datasheet part;3d model part
MURS340S-M3;Enlarge;400;3;1.20;35;50;175;SMB (DO-214AA);Single;No;image/diodes\89925.png;Datasheet\diodes\MURS340S-M3\MURS340S-M3.pdf;Datasheet\diodes\MURS340S-M3\MURS340S-M3.zip
MURS360;Enlarge;600;3;1.05;125;50;175;SMC (DO-214AB);Single;Yes;image/diodes\88816.png;Datasheet\diodes\MURS360\MURS360.pdf;Datasheet\diodes\MURS360\MURS360.zip
MURS360S;Enlarge;600;3;1.20;35;50;175;SMB (DO-214AA);Single;Yes;image/diodes\89110.png;Datasheet\diodes\MURS360S\MURS360S.pdf;Datasheet\diodes\MURS360S\MURS360S.zip
MURS360S-M3;Enlarge;600;3;1.20;35;50;175;SMB (DO-214AA);Single;No;image/diodes\89925.png;Datasheet\diodes\MURS360S-M3\MURS360S-M3.pdf;Datasheet\diodes\MURS360S-M3\MURS360S-M3.zip
MURS460;Enlarge;600;4;1.28;110;50;175;SMC (DO-214AB);Single;No;image/diodes\87541.png;Datasheet\diodes\MURS460\MURS460.pdf;Datasheet\diodes\MURS460\MURS460.zip
SBYV27-100;Enlarge;100;2;0.88;50;15;150;DO-15 (DO-204AC);Single;No;image/diodes\88736.png;Datasheet\diodes\SBYV27-100\SBYV27-100.pdf;None
SBYV27-150;Enlarge;150;2;0.88;50;15;150;DO-15 (DO-204AC);Single;No;image/diodes\88736.png;Datasheet\diodes\SBYV27-150\SBYV27-150.pdf;None
SBYV27-200;Enlarge;200;2;0.88;50;15;150;DO-15 (DO-204AC);Single;No;image/diodes\88736.png;Datasheet\diodes\SBYV27-200\SBYV27-200.pdf;None
SBYV27-50;Enlarge;50;2;0.88;50;15;150;DO-15 (DO-204AC);Single;No;image/diodes\88736.png;Datasheet\diodes\SBYV27-50\SBYV27-50.pdf;None
SBYV28-100;Enlarge;100;3.5;0.89;90;20;150;DO-201AD;Single;No;image/diodes\88737.png;Datasheet\diodes\SBYV28-100\SBYV28-100.pdf;None
SBYV28-150;Enlarge;150;3.5;0.89;90;20;150;DO-201AD;Single;No;image/diodes\88737.png;Datasheet\diodes\SBYV28-150\SBYV28-150.pdf;None
SBYV28-200;Enlarge;200;3.5;0.89;90;20;150;DO-201AD;Single;No;image/diodes\88737.png;Datasheet\diodes\SBYV28-200\SBYV28-200.pdf;None
SBYV28-50;Enlarge;50;3.5;0.89;90;20;150;DO-201AD;Single;No;image/diodes\88737.png;Datasheet\diodes\SBYV28-50\SBYV28-50.pdf;None
SF1200;Enlarge;1200;1;3.4 at 1;30;75;175;SOD-57;;No;image/diodes\86059.png;Datasheet\diodes\SF1200\SF1200.pdf;Datasheet\diodes\SF1200\SF1200.zip
SF1600;Enlarge;1600;1;3.4 at 1;30;75;175;SOD-57;;No;image/diodes\86059.png;Datasheet\diodes\SF1600\SF1600.pdf;Datasheet\diodes\SF1600\SF1600.zip
SF4001;Enlarge;50;1;1 at 1;30;50;175;SOD-57;;No;image/diodes\86060.png;Datasheet\diodes\SF4001\SF4001.pdf;Datasheet\diodes\SF4001\SF4001.zip
SF4002;Enlarge;100;1;1 at 1;30;50;175;SOD-57;;No;image/diodes\86060.png;Datasheet\diodes\SF4002\SF4002.pdf;Datasheet\diodes\SF4002\SF4002.zip
SF4003;Enlarge;200;1;1 at 1;30;50;175;SOD-57;;No;image/diodes\86060.png;Datasheet\diodes\SF4003\SF4003.pdf;Datasheet\diodes\SF4003\SF4003.zip
SF4004;Enlarge;400;1;1 at 1;30;50;175;SOD-57;;No;image/diodes\86060.png;Datasheet\diodes\SF4004\SF4004.pdf;Datasheet\diodes\SF4004\SF4004.zip
SF4005;Enlarge;600;1;1.7 at 1;30;75;175;SOD-57;;No;image/diodes\86060.png;Datasheet\diodes\SF4005\SF4005.pdf;Datasheet\diodes\SF4005\SF4005.zip
SF4006;Enlarge;800;1;1.7 at 1;30;75;175;SOD-57;;No;image/diodes\86060.png;Datasheet\diodes\SF4006\SF4006.pdf;Datasheet\diodes\SF4006\SF4006.zip
SF4007;Enlarge;1000;1;1.7 at 1;30;75;175;SOD-57;;No;image/diodes\86060.png;Datasheet\diodes\SF4007\SF4007.pdf;Datasheet\diodes\SF4007\SF4007.zip
SF5400;Enlarge;50;3;1.1 at 3;150;50;175;SOD-64;;No;image/diodes\86061.png;Datasheet\diodes\SF5400\SF5400.pdf;Datasheet\diodes\SF5400\SF5400.zip
SF5401;Enlarge;100;3;1.1 at 3;150;50;175;SOD-64;;No;image/diodes\86061.png;Datasheet\diodes\SF5401\SF5401.pdf;Datasheet\diodes\SF5401\SF5401.zip
SF5402;Enlarge;200;3;1.1 at 3;150;50;175;SOD-64;;No;image/diodes\86061.png;Datasheet\diodes\SF5402\SF5402.pdf;Datasheet\diodes\SF5402\SF5402.zip
SF5403;Enlarge;300;3;1.1 at 3;150;50;175;SOD-64;;No;image/diodes\86061.png;Datasheet\diodes\SF5403\SF5403.pdf;Datasheet\diodes\SF5403\SF5403.zip
SF5404;Enlarge;400;3;1.1 at 3;150;50;175;SOD-64;;No;image/diodes\86061.png;Datasheet\diodes\SF5404\SF5404.pdf;Datasheet\diodes\SF5404\SF5404.zip
SF5405;Enlarge;500;3;1.7 at 3;150;75;175;SOD-64;;No;image/diodes\86061.png;Datasheet\diodes\SF5405\SF5405.pdf;Datasheet\diodes\SF5405\SF5405.zip
SF5406;Enlarge;600;3;1.7 at 3;150;75;175;SOD-64;;No;image/diodes\86061.png;Datasheet\diodes\SF5406\SF5406.pdf;Datasheet\diodes\SF5406\SF5406.zip
SF5407;Enlarge;800;3;1.7 at 3;150;75;175;SOD-64;;No;image/diodes\86061.png;Datasheet\diodes\SF5407\SF5407.pdf;Datasheet\diodes\SF5407\SF5407.zip
SF5408;Enlarge;1000;3;1.7 at 3;150;75;175;SOD-64;;No;image/diodes\86061.png;Datasheet\diodes\SF5408\SF5408.pdf;Datasheet\diodes\SF5408\SF5408.zip
UF1005;Enlarge;600 to 1000;1;1.7;30;75;150;DO-41 (DO-204AL);Single;No;image/diodes\89880.png;Datasheet\diodes\UF1005\UF1005.pdf;None
UF1006;Enlarge;600 to 1000;1;1.7;30;75;150;DO-41 (DO-204AL);Single;No;image/diodes\89880.png;Datasheet\diodes\UF1006\UF1006.pdf;None
UF1007;Enlarge;600 to 1000;1;1.7;30;75;150;DO-41 (DO-204AL);Single;No;image/diodes\89880.png;Datasheet\diodes\UF1007\UF1007.pdf;None
UF4001;Enlarge;50;1;see datasheet;30;50;150;DO-41 (DO-204AL);Single;No;image/diodes\88755.png;Datasheet\diodes\UF4001\UF4001.pdf;Datasheet\diodes\UF4001\UF4001.zip
UF4002;Enlarge;100;1;see datasheet;30;50;150;DO-41 (DO-204AL);Single;No;image/diodes\88755.png;Datasheet\diodes\UF4002\UF4002.pdf;Datasheet\diodes\UF4002\UF4002.zip
UF4003;Enlarge;200;1;see datasheet;30;50;150;DO-41 (DO-204AL);Single;No;image/diodes\88755.png;Datasheet\diodes\UF4003\UF4003.pdf;Datasheet\diodes\UF4003\UF4003.zip
UF4004;Enlarge;400;1;see datasheet;30;50;150;DO-41 (DO-204AL);Single;No;image/diodes\88755.png;Datasheet\diodes\UF4004\UF4004.pdf;Datasheet\diodes\UF4004\UF4004.zip
UF4005;Enlarge;600;1;see datasheet;30;50;150;DO-41 (DO-204AL);Single;No;image/diodes\88755.png;Datasheet\diodes\UF4005\UF4005.pdf;Datasheet\diodes\UF4005\UF4005.zip
UF4006;Enlarge;800;1;see datasheet;30;50;150;DO-41 (DO-204AL);Single;No;image/diodes\88755.png;Datasheet\diodes\UF4006\UF4006.pdf;Datasheet\diodes\UF4006\UF4006.zip
UF4007;Enlarge;1000;1;see datasheet;30;50;150;DO-41 (DO-204AL);Single;No;image/diodes\88755.png;Datasheet\diodes\UF4007\UF4007.pdf;Datasheet\diodes\UF4007\UF4007.zip
UF5400;Enlarge;50;3;see datasheet;150;50;150;DO-201AD;Single;No;image/diodes\88756.png;Datasheet\diodes\UF5400\UF5400.pdf;Datasheet\diodes\UF5400\UF5400.zip
UF5401;Enlarge;100;3;see datasheet;150;50;150;DO-201AD;Single;No;image/diodes\88756.png;Datasheet\diodes\UF5401\UF5401.pdf;Datasheet\diodes\UF5401\UF5401.zip
UF5402;Enlarge;200;3;see datasheet;150;50;150;DO-201AD;Single;No;image/diodes\88756.png;Datasheet\diodes\UF5402\UF5402.pdf;Datasheet\diodes\UF5402\UF5402.zip
UF5403;Enlarge;300;3;see datasheet;150;50;150;DO-201AD;Single;No;image/diodes\88756.png;Datasheet\diodes\UF5403\UF5403.pdf;Datasheet\diodes\UF5403\UF5403.zip
UF5404;Enlarge;400;3;see datasheet;150;50;150;DO-201AD;Single;No;image/diodes\88756.png;Datasheet\diodes\UF5404\UF5404.pdf;Datasheet\diodes\UF5404\UF5404.zip
UF5405;Enlarge;500;3;see datasheet;150;50;150;DO-201AD;Single;No;image/diodes\88756.png;Datasheet\diodes\UF5405\UF5405.pdf;Datasheet\diodes\UF5405\UF5405.zip
UF5406;Enlarge;600;3;see datasheet;150;50;150;DO-201AD;Single;No;image/diodes\88756.png;Datasheet\diodes\UF5406\UF5406.pdf;Datasheet\diodes\UF5406\UF5406.zip
UF5407;Enlarge;800;3;see datasheet;150;50;150;DO-201AD;Single;No;image/diodes\88756.png;Datasheet\diodes\UF5407\UF5407.pdf;Datasheet\diodes\UF5407\UF5407.zip
UF5408;Enlarge;1000;3;see datasheet;150;50;150;DO-201AD;Single;No;image/diodes\88756.png;Datasheet\diodes\UF5408\UF5408.pdf;Datasheet\diodes\UF5408\UF5408.zip
UG10xCT;Enlarge;100 to 200;2 x 5.0;0.895;55;25;150;TO-220AB;Common cathode;No;image/diodes\88549.png;Datasheet\diodes\UG10xCT\UG10xCT.pdf;Datasheet\diodes\UG10xCT\UG10xCT.zip
UG1A;Enlarge;50;1;0.95;40;15;150;DO-41 (DO-204AL);Single;No;image/diodes\88760.png;Datasheet\diodes\UG1A\UG1A.pdf;Datasheet\diodes\UG1A\UG1A.zip
UG1B;Enlarge;100;1;0.95;40;15;150;DO-41 (DO-204AL);Single;No;image/diodes\88760.png;Datasheet\diodes\UG1B\UG1B.pdf;Datasheet\diodes\UG1B\UG1B.zip
UG1C;Enlarge;150;1;0.95;40;15;150;DO-41 (DO-204AL);Single;No;image/diodes\88760.png;Datasheet\diodes\UG1C\UG1C.pdf;Datasheet\diodes\UG1C\UG1C.zip
UG1D;Enlarge;200;1;0.95;40;15;150;DO-41 (DO-204AL);Single;No;image/diodes\88760.png;Datasheet\diodes\UG1D\UG1D.pdf;Datasheet\diodes\UG1D\UG1D.zip
UG2A;Enlarge;50;2;0.95;80;15;150;DO-15 (DO-204AC);Single;No;image/diodes\88761.png;Datasheet\diodes\UG2A\UG2A.pdf;None
UG2B;Enlarge;100;2;0.95;80;15;150;DO-15 (DO-204AC);Single;No;image/diodes\88761.png;Datasheet\diodes\UG2B\UG2B.pdf;None
UG2C;Enlarge;150;2;0.95;80;15;150;DO-15 (DO-204AC);Single;No;image/diodes\88761.png;Datasheet\diodes\UG2C\UG2C.pdf;None
UG2D;Enlarge;200;2;0.95;80;15;150;DO-15 (DO-204AC);Single;No;image/diodes\88761.png;Datasheet\diodes\UG2D\UG2D.pdf;None
UG4A;Enlarge;50;4;0.95;150;20;150;DO-201AD;Single;No;image/diodes\88763.png;Datasheet\diodes\UG4A\UG4A.pdf;Datasheet\diodes\UG4A\UG4A.zip
UG4B;Enlarge;100;4;0.95;150;20;150;DO-201AD;Single;No;image/diodes\88763.png;Datasheet\diodes\UG4B\UG4B.pdf;Datasheet\diodes\UG4B\UG4B.zip
UG4C;Enlarge;150;4;0.95;150;20;150;DO-201AD;Single;No;image/diodes\88763.png;Datasheet\diodes\UG4C\UG4C.pdf;Datasheet\diodes\UG4C\UG4C.zip
UG4D;Enlarge;200;4;0.95;150;20;150;DO-201AD;Single;No;image/diodes\88763.png;Datasheet\diodes\UG4D\UG4D.pdf;Datasheet\diodes\UG4D\UG4D.zip
UH4PBC;Enlarge;100;2 x 2.0;0.77;40;25;175;SMPC (TO-277A);Common cathode;Yes;image/diodes\88991.png;Datasheet\diodes\UH4PBC\UH4PBC.pdf;Datasheet\diodes\UH4PBC\UH4PBC.zip
UH4PCC;Enlarge;150;2 x 2.0;0.77;40;25;175;SMPC (TO-277A);Common cathode;Yes;image/diodes\88991.png;Datasheet\diodes\UH4PCC\UH4PCC.pdf;Datasheet\diodes\UH4PCC\UH4PCC.zip
US1A;Enlarge;50;1;see datasheet;30;50;150;SMA (DO-214AC);Single;Yes;image/diodes\88768.png;Datasheet\diodes\US1A\US1A.pdf;Datasheet\diodes\US1A\US1A.zip
US1B;Enlarge;100;1;see datasheet;30;50;150;SMA (DO-214AC);Single;Yes;image/diodes\88768.png;Datasheet\diodes\US1B\US1B.pdf;Datasheet\diodes\US1B\US1B.zip
US1D;Enlarge;200;1;see datasheet;30;50;150;SMA (DO-214AC);Single;Yes;image/diodes\88768.png;Datasheet\diodes\US1D\US1D.pdf;Datasheet\diodes\US1D\US1D.zip
US1G;Enlarge;400;1;see datasheet;30;50;150;SMA (DO-214AC);Single;Yes;image/diodes\88768.png;Datasheet\diodes\US1G\US1G.pdf;Datasheet\diodes\US1G\US1G.zip
US1J;Enlarge;600;1;see datasheet;30;50;150;SMA (DO-214AC);Single;Yes;image/diodes\88768.png;Datasheet\diodes\US1J\US1J.pdf;Datasheet\diodes\US1J\US1J.zip
US1K;Enlarge;800;1;see datasheet;30;50;150;SMA (DO-214AC);Single;Yes;image/diodes\88768.png;Datasheet\diodes\US1K\US1K.pdf;Datasheet\diodes\US1K\US1K.zip
US1M;Enlarge;1000;1;see datasheet;30;50;150;SMA (DO-214AC);Single;Yes;image/diodes\88768.png;Datasheet\diodes\US1M\US1M.pdf;Datasheet\diodes\US1M\US1M.zip
USB260;Enlarge;600;2;1.0;90;30;150;SMB (DO-214AA);Single;Yes;image/diodes\89483.png;Datasheet\diodes\USB260\USB260.pdf;Datasheet\diodes\USB260\USB260.zip
VS-10CDU06-M3;Enlarge;600;2 x 5;1;110;35;175;SMPD (TO-263AC);Common cathode;No;image/diodes\96518.png;Datasheet\diodes\VS-10CDU06-M3\VS-10CDU06-M3.pdf;None
VS-10CDU06HM3;Enlarge;600;2 x 5;1;110;35;175;SMPD (TO-263AC);Common cathode;Yes;image/diodes\96519.png;Datasheet\diodes\VS-10CDU06HM3\VS-10CDU06HM3.pdf;None
VS-10CSH01-M3;Enlarge;100;2 x 5;0.75;130;25;175;SMPC (TO-277A);Common cathode;No;image/diodes\94994.png;Datasheet\diodes\VS-10CSH01-M3\VS-10CSH01-M3.pdf;Datasheet\diodes\VS-10CSH01-M3\VS-10CSH01-M3.zip
VS-10CSH01HM3;Enlarge;100;2 x 5;0.75;130;25;175;SMPC (TO-277A);Common cathode;Yes;image/diodes\94995.png;Datasheet\diodes\VS-10CSH01HM3\VS-10CSH01HM3.pdf;Datasheet\diodes\VS-10CSH01HM3\VS-10CSH01HM3.zip
VS-10CSH02-M3;Enlarge;200;2 x 5;0.75;130;25;175;SMPC (TO-277A);Common cathode;No;image/diodes\94974.png;Datasheet\diodes\VS-10CSH02-M3\VS-10CSH02-M3.pdf;Datasheet\diodes\VS-10CSH02-M3\VS-10CSH02-M3.zip
VS-10CSH02HM3;Enlarge;200;2 x 5;0.75;130;25;175;SMPC (TO-277A);Common cathode;Yes;image/diodes\94975.png;Datasheet\diodes\VS-10CSH02HM3\VS-10CSH02HM3.pdf;Datasheet\diodes\VS-10CSH02HM3\VS-10CSH02HM3.zip
VS-10CVH01-M3;Enlarge;100;2 x 5;0.74;100;16;175;SlimDPAK (TO-252AE);Common cathode;No;image/diodes\96098.png;Datasheet\diodes\VS-10CVH01-M3\VS-10CVH01-M3.pdf;None
VS-10CVH01HM3;Enlarge;100;2 x 5;0.74;100;16;175;SlimDPAK (TO-252AE);Common cathode;Yes;image/diodes\96099.png;Datasheet\diodes\VS-10CVH01HM3\VS-10CVH01HM3.pdf;None
VS-10CVH02-M3;Enlarge;200;2 x 5;0.74;100;16;175;SlimDPAK (TO-252AE);Common cathode;No;image/diodes\96097.png;Datasheet\diodes\VS-10CVH02-M3\VS-10CVH02-M3.pdf;None
VS-10CVH02HM3;Enlarge;200;2 x 5;0.74;100;16;175;SlimDPAK (TO-252AE);Common cathode;Yes;image/diodes\95668.png;Datasheet\diodes\VS-10CVH02HM3\VS-10CVH02HM3.pdf;None
VS-10CWH02FN-M3;Enlarge;200;2 x 5;0.74;80;23;175;DPAK (TO-252AA);Common cathode;No;image/diodes\93263.png;Datasheet\diodes\VS-10CWH02FN-M3\VS-10CWH02FN-M3.pdf;Datasheet\diodes\VS-10CWH02FN-M3\VS-10CWH02FN-M3.zip
VS-12CDU06-M3;Enlarge;600;2 x 6;0.89;200;45;175;SMPD (TO-263AC);Common cathode;No;image/diodes\95810.png;Datasheet\diodes\VS-12CDU06-M3\VS-12CDU06-M3.pdf;None
VS-12CDU06HM3;Enlarge;600;2 x 6;0.89;200;45;175;SMPD (TO-263AC);Common cathode;Yes;image/diodes\95811.png;Datasheet\diodes\VS-12CDU06HM3\VS-12CDU06HM3.pdf;None
VS-12EWH06FN-M3;Enlarge;600;12;1.34;110;18;175;DPAK (TO-252AA);Single;No;image/diodes\93254.png;Datasheet\diodes\VS-12EWH06FN-M3\VS-12EWH06FN-M3.pdf;Datasheet\diodes\VS-12EWH06FN-M3\VS-12EWH06FN-M3.zip
VS-150EBU02-N4;Enlarge;200;150;0.79;1600;see datasheet;175;PowerTab®;Single;No;image/diodes\97194.png;Datasheet\diodes\VS-150EBU02-N4\VS-150EBU02-N4.pdf;Datasheet\diodes\VS-150EBU02-N4\VS-150EBU02-N4.zip
VS-150EBU02HN4;Enlarge;200;150;0.77;1600;see datasheet;175;PowerTab®;Single;Yes;image/diodes\97195.png;Datasheet\diodes\VS-150EBU02HN4\VS-150EBU02HN4.pdf;Datasheet\diodes\VS-150EBU02HN4\VS-150EBU02HN4.zip
VS-150EBU04-N4;Enlarge;400;150;0.9;1500;see datasheet;175;PowerTab®;Single;No;image/diodes\97192.png;Datasheet\diodes\VS-150EBU04-N4\VS-150EBU04-N4.pdf;Datasheet\diodes\VS-150EBU04-N4\VS-150EBU04-N4.zip
VS-150EBU04HN4;Enlarge;400;150;0.9;1500;see datasheet;175;PowerTab®;Single;Yes;image/diodes\97193.png;Datasheet\diodes\VS-150EBU04HN4\VS-150EBU04HN4.pdf;Datasheet\diodes\VS-150EBU04HN4\VS-150EBU04HN4.zip
VS-15AWL06FN-M3;Enlarge;600;15;0.85;180;60;175;DPAK (TO-252AA);Single;No;image/diodes\93568.png;Datasheet\diodes\VS-15AWL06FN-M3\VS-15AWL06FN-M3.pdf;Datasheet\diodes\VS-15AWL06FN-M3\VS-15AWL06FN-M3.zip
VS-15ETH03-1-M3;Enlarge;300;15;0.85;140;40;175;TO-262AA;Single;No;image/diodes\96230.png;Datasheet\diodes\VS-15ETH03-1-M3\VS-15ETH03-1-M3.pdf;None
VS-15ETH03-M3;Enlarge;300;15;0.85;140;see datasheet;175;TO-220AC 2L;Single;No;image/diodes\96181.png;Datasheet\diodes\VS-15ETH03-M3\VS-15ETH03-M3.pdf;None
VS-15ETH03S-M3;Enlarge;300;15;0.85;140;40;175;D2PAK (TO-263AB);Single;No;image/diodes\96230.png;Datasheet\diodes\VS-15ETH03S-M3\VS-15ETH03S-M3.pdf;None
VS-15ETH03SHM3;Enlarge;;;;;;;;;;image/diodes\96231.png;Datasheet\diodes\VS-15ETH03SHM3\VS-15ETH03SHM3.pdf;None
VS-15ETH06-1-M3;Enlarge;600;15;1.3;120;22;175;TO-262AA;Single;No;image/diodes\96301.png;Datasheet\diodes\VS-15ETH06-1-M3\VS-15ETH06-1-M3.pdf;None
VS-15ETH06-M3;Enlarge;600;15;1.3;120;22;175;TO-220AC 2L;Single;No;image/diodes\96174.png;Datasheet\diodes\VS-15ETH06-M3\VS-15ETH06-M3.pdf;None
VS-15ETH06FP-N3;Enlarge;600;15;1.3;180;22;175;TO-220 FullPAK 2L;Single;No;image/diodes\96426.png;Datasheet\diodes\VS-15ETH06FP-N3\VS-15ETH06FP-N3.pdf;None
VS-15ETH06HN3;Enlarge;600;15;2.2;120;22;175;TO-220AC;Single die;Yes;image/diodes\94767.png;Datasheet\diodes\VS-15ETH06HN3\VS-15ETH06HN3.pdf;None
VS-15ETH06S-M3;Enlarge;600;15;1.3;120;22;175;D2PAK (TO-263AB);Single;No;image/diodes\96301.png;Datasheet\diodes\VS-15ETH06S-M3\VS-15ETH06S-M3.pdf;None
VS-15ETL06-1-M3;Enlarge;600;15;0.85;250;60;175;TO-262AA;Single;No;image/diodes\96315.png;Datasheet\diodes\VS-15ETL06-1-M3\VS-15ETL06-1-M3.pdf;None
VS-15ETL06-M3;Enlarge;600;15;0.85;250;60;175;TO-220AC 2L;Single;No;image/diodes\96175.png;Datasheet\diodes\VS-15ETL06-M3\VS-15ETL06-M3.pdf;None
VS-15ETL06FP-N3;Enlarge;600;15;0.85;250;60;175;TO-220 FullPAK 2L;Single;No;image/diodes\96427.png;Datasheet\diodes\VS-15ETL06FP-N3\VS-15ETL06FP-N3.pdf;None
VS-15ETL06HN3;Enlarge;600;15;0.85;250;60;175;TO-220AC;Single die;Yes;image/diodes\94816.png;Datasheet\diodes\VS-15ETL06HN3\VS-15ETL06HN3.pdf;None
VS-15ETL06S-M3;Enlarge;600;15;0.85;250;60;175;D2PAK (TO-263AB);Single;No;image/diodes\96315.png;Datasheet\diodes\VS-15ETL06S-M3\VS-15ETL06S-M3.pdf;None
VS-15ETU12-M3;Enlarge;1200;15;2.25;150;44;175;TO-220AC 2L;Single;No;image/diodes\96207.png;Datasheet\diodes\VS-15ETU12-M3\VS-15ETU12-M3.pdf;None
VS-15ETU12HN3;Enlarge;1200;15;2.25;150;44;175;TO-220AC;Single die;Yes;image/diodes\95645.png;Datasheet\diodes\VS-15ETU12HN3\VS-15ETU12HN3.pdf;None
VS-15ETX06-1-M3;Enlarge;600;15;1.5;170;18;175;TO-262AA;Single;No;image/diodes\96302.png;Datasheet\diodes\VS-15ETX06-1-M3\VS-15ETX06-1-M3.pdf;None
VS-15ETX06-M3;Enlarge;600;15;1.5;170;18;175;TO-220AC 2L;Single;No;image/diodes\96176.png;Datasheet\diodes\VS-15ETX06-M3\VS-15ETX06-M3.pdf;None
VS-15ETX06FP-N3;Enlarge;600;15;1.5;170;18;175;TO-220 FullPAK 2L;Single;No;image/diodes\96428.png;Datasheet\diodes\VS-15ETX06FP-N3\VS-15ETX06FP-N3.pdf;None
VS-15ETX06S-M3;Enlarge;600;15;1.5;170;18;175;D2PAK (TO-263AB);Single;No;image/diodes\96302.png;Datasheet\diodes\VS-15ETX06S-M3\VS-15ETX06S-M3.pdf;None
VS-15EVH06-M3;Enlarge;600;15;1.2;120;20;175;SlimDPAK (TO-252AE);Single;No;image/diodes\96159.png;Datasheet\diodes\VS-15EVH06-M3\VS-15EVH06-M3.pdf;None
VS-15EVH06HM3;Enlarge;600;15;1.2;120;20;175;SlimDPAK (TO-252AE);Single;Yes;image/diodes\96158.png;Datasheet\diodes\VS-15EVH06HM3\VS-15EVH06HM3.pdf;None
VS-15EVL06-M3;Enlarge;600;15;0.98;180;38;175;SlimDPAK (TO-252AE);Single;No;image/diodes\96161.png;Datasheet\diodes\VS-15EVL06-M3\VS-15EVL06-M3.pdf;None
VS-15EVL06HM3;Enlarge;600;15;0.98;180;38;175;SlimDPAK (TO-252AE);Single;Yes;image/diodes\96160.png;Datasheet\diodes\VS-15EVL06HM3\VS-15EVL06HM3.pdf;None
VS-15EVU06-M3;Enlarge;600;15;1.10;160;26;175;SlimDPAK (TO-252AE);Single;No;image/diodes\96163.png;Datasheet\diodes\VS-15EVU06-M3\VS-15EVU06-M3.pdf;None
VS-15EVU06HM3;Enlarge;600;15;1.10;160;26;175;SlimDPAK (TO-252AE);Single;Yes;image/diodes\96162.png;Datasheet\diodes\VS-15EVU06HM3\VS-15EVU06HM3.pdf;None
VS-15EWH06FN-M3;Enlarge;600;15;1.2;120;22;175;DPAK (TO-252AA);Single;No;image/diodes\93237.png;Datasheet\diodes\VS-15EWH06FN-M3\VS-15EWH06FN-M3.pdf;Datasheet\diodes\VS-15EWH06FN-M3\VS-15EWH06FN-M3.zip
VS-15EWL06FN-M3;Enlarge;600;15;0.85;180;60;175;DPAK (TO-252AA);Single;No;image/diodes\93568.png;Datasheet\diodes\VS-15EWL06FN-M3\VS-15EWL06FN-M3.pdf;Datasheet\diodes\VS-15EWL06FN-M3\VS-15EWL06FN-M3.zip
VS-15EWX06FN-M3;Enlarge;600;15;1.5;120;18;175;DPAK (TO-252AA);Single;No;image/diodes\93239.png;Datasheet\diodes\VS-15EWX06FN-M3\VS-15EWX06FN-M3.pdf;Datasheet\diodes\VS-15EWX06FN-M3\VS-15EWX06FN-M3.zip
VS-16CDH02-M3;Enlarge;200;2 x 8;0.77;190;27;175;SMPD (TO-263AC);Common cathode;No;image/diodes\95812.png;Datasheet\diodes\VS-16CDH02-M3\VS-16CDH02-M3.pdf;None
VS-16CDH02HM3;Enlarge;200;2 x 8;0.77;190;27;175;SMPD (TO-263AC);Common cathode;Yes;image/diodes\95813.png;Datasheet\diodes\VS-16CDH02HM3\VS-16CDH02HM3.pdf;None
VS-16CDU06-M3;Enlarge;600;2 x 8;0.94;200;45;175;SMPD (TO-263AC);Common cathode;No;image/diodes\95814.png;Datasheet\diodes\VS-16CDU06-M3\VS-16CDU06-M3.pdf;None
VS-16CDU06HM3;Enlarge;600;2 x 8;0.94;200;45;175;SMPD (TO-263AC);Common cathode;Yes;image/diodes\95815.png;Datasheet\diodes\VS-16CDU06HM3\VS-16CDU06HM3.pdf;None
VS-16CTU04-1-M3;Enlarge;400;2 x 8;0.94;100;35;175;TO-262AA;Common cathode;No;image/diodes\96232.png;Datasheet\diodes\VS-16CTU04-1-M3\VS-16CTU04-1-M3.pdf;None
VS-16CTU04-M3;Enlarge;400;2 x 8;0.94;100;see datasheet;175;TO-220AB 3L;Common cathode;No;image/diodes\96197.png;Datasheet\diodes\VS-16CTU04-M3\VS-16CTU04-M3.pdf;None
VS-16CTU04HN3;Enlarge;400;2 x 8;0.94;100;24;175;TO-220AB;Common cathode;Yes;image/diodes\94720.png;Datasheet\diodes\VS-16CTU04HN3\VS-16CTU04HN3.pdf;None
VS-16CTU04S-M3;Enlarge;400;2 x 8;0.94;100;35;175;D2PAK (TO-263AB);Common cathode;No;image/diodes\96232.png;Datasheet\diodes\VS-16CTU04S-M3\VS-16CTU04S-M3.pdf;None
VS-16EDH02-M3;Enlarge;200;16;0.75;250;32;175;SMPD (TO-263AC);Single;No;image/diodes\95816.png;Datasheet\diodes\VS-16EDH02-M3\VS-16EDH02-M3.pdf;None
VS-16EDH02HM3;Enlarge;200;16;0.75;250;32;175;SMPD (TO-263AC);Single;Yes;image/diodes\95817.png;Datasheet\diodes\VS-16EDH02HM3\VS-16EDH02HM3.pdf;None
VS-16EDH06-M3;Enlarge;600;16;1.24;160;30;175;SMPD (TO-263AC);Single;No;image/diodes\96228.png;Datasheet\diodes\VS-16EDH06-M3\VS-16EDH06-M3.pdf;None
VS-16EDH06HM3;Enlarge;600;16;1.24;160;30;175;SMPD (TO-263AC);Single;Yes;image/diodes\96229.png;Datasheet\diodes\VS-16EDH06HM3\VS-16EDH06HM3.pdf;None
