Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF;IFSM(A);trr(ns);TJmax.(°C);Package (JEDEC®) Code;CircuitConfiguration;AEC-Q101 Qualified;Image path;Datasheet part;3d model part
ES1PC;Enlarge;150;1;0.92;30;15;150;SMP (DO-220AA);Single;Yes;image/diodes\88918.png;Datasheet\diodes\ES1PC\ES1PC.pdf;Datasheet\diodes\ES1PC\ES1PC.zip
ES1PD;Enlarge;200;1;0.92;30;15;150;SMP (DO-220AA);Single;Yes;image/diodes\88918.png;Datasheet\diodes\ES1PD\ES1PD.pdf;Datasheet\diodes\ES1PD\ES1PD.zip
ES2A;Enlarge;50;2;0.90;50;20;150;SMB (DO-214AA);Single;Yes;image/diodes\88587.png;Datasheet\diodes\ES2A\ES2A.pdf;Datasheet\diodes\ES2A\ES2A.zip
ES2B;Enlarge;100;2;0.90;50;20;150;SMB (DO-214AA);Single;Yes;image/diodes\88587.png;Datasheet\diodes\ES2B\ES2B.pdf;Datasheet\diodes\ES2B\ES2B.zip
ES2C;Enlarge;150;2;0.90;50;20;150;SMB (DO-214AA);Single;Yes;image/diodes\88587.png;Datasheet\diodes\ES2C\ES2C.pdf;Datasheet\diodes\ES2C\ES2C.zip
ES2D;Enlarge;200;2;0.90;50;20;150;SMB (DO-214AA);Single;Yes;image/diodes\88587.png;Datasheet\diodes\ES2D\ES2D.pdf;Datasheet\diodes\ES2D\ES2D.zip
ES2F;Enlarge;300;2;1.1;50;35;150;SMB (DO-214AA);Single;Yes;image/diodes\88588.png;Datasheet\diodes\ES2F\ES2F.pdf;Datasheet\diodes\ES2F\ES2F.zip
ES2F-M3;Enlarge;300;2;1.1;50;35;150;SMB (DO-214AA);Single;No;image/diodes\89484.png;Datasheet\diodes\ES2F-M3\ES2F-M3.pdf;Datasheet\diodes\ES2F-M3\ES2F-M3.zip
ES2G;Enlarge;400;2;1.1;50;35;150;SMB (DO-214AA);Single;Yes;image/diodes\88588.png;Datasheet\diodes\ES2G\ES2G.pdf;Datasheet\diodes\ES2G\ES2G.zip
ES2G-M3;Enlarge;400;2;1.1;50;35;150;SMB (DO-214AA);Single;No;image/diodes\89484.png;Datasheet\diodes\ES2G-M3\ES2G-M3.pdf;Datasheet\diodes\ES2G-M3\ES2G-M3.zip
ES3A;Enlarge;50;3;0.90;100;20;150;SMC (DO-214AB);Single;Yes;image/diodes\88589.png;Datasheet\diodes\ES3A\ES3A.pdf;Datasheet\diodes\ES3A\ES3A.zip
ES3B;Enlarge;100;3;0.90;100;20;150;SMC (DO-214AB);Single;Yes;image/diodes\88589.png;Datasheet\diodes\ES3B\ES3B.pdf;Datasheet\diodes\ES3B\ES3B.zip
ES3C;Enlarge;150;3;0.90;100;20;150;SMC (DO-214AB);Single;Yes;image/diodes\88589.png;Datasheet\diodes\ES3C\ES3C.pdf;Datasheet\diodes\ES3C\ES3C.zip
ES3D;Enlarge;200;3;0.90;100;20;150;SMC (DO-214AB);Single;Yes;image/diodes\88589.png;Datasheet\diodes\ES3D\ES3D.pdf;Datasheet\diodes\ES3D\ES3D.zip
ES3F;Enlarge;300;3;1.1;100;35;150;SMC (DO-214AB);Single;Yes;image/diodes\88590.png;Datasheet\diodes\ES3F\ES3F.pdf;Datasheet\diodes\ES3F\ES3F.zip
ES3G;Enlarge;400;3;1.1;100;35;150;SMC (DO-214AB);Single;Yes;image/diodes\88590.png;Datasheet\diodes\ES3G\ES3G.pdf;Datasheet\diodes\ES3G\ES3G.zip
ESH1B;Enlarge;100;1;0.90;50;25;175;SMA (DO-214AC);Single;Yes;image/diodes\88890.png;Datasheet\diodes\ESH1B\ESH1B.pdf;Datasheet\diodes\ESH1B\ESH1B.zip
ESH1C;Enlarge;150;1;0.90;50;25;175;SMA (DO-214AC);Single;Yes;image/diodes\88890.png;Datasheet\diodes\ESH1C\ESH1C.pdf;Datasheet\diodes\ESH1C\ESH1C.zip
ESH1D;Enlarge;200;1;0.90;50;25;175;SMA (DO-214AC);Single;Yes;image/diodes\88890.png;Datasheet\diodes\ESH1D\ESH1D.pdf;Datasheet\diodes\ESH1D\ESH1D.zip
ESH1PB;Enlarge;100;1;0.90;50;25;175;SMP (DO-220AA);Single;Yes;image/diodes\88895.png;Datasheet\diodes\ESH1PB\ESH1PB.pdf;Datasheet\diodes\ESH1PB\ESH1PB.zip
ESH1PC;Enlarge;150;1;0.90;50;25;175;SMP (DO-220AA);Single;Yes;image/diodes\88895.png;Datasheet\diodes\ESH1PC\ESH1PC.pdf;Datasheet\diodes\ESH1PC\ESH1PC.zip
ESH1PD;Enlarge;200;1;0.90;50;25;175;SMP (DO-220AA);Single;Yes;image/diodes\88895.png;Datasheet\diodes\ESH1PD\ESH1PD.pdf;Datasheet\diodes\ESH1PD\ESH1PD.zip
ESH2B;Enlarge;100;2;0.93;60;25;175;SMB (DO-214AA);Single;Yes;image/diodes\84649.png;Datasheet\diodes\ESH2B\ESH2B.pdf;Datasheet\diodes\ESH2B\ESH2B.zip
ESH2B-M3;Enlarge;100;2;0.93;60;25;175;SMB (DO-214AA);Single;No;image/diodes\89482.png;Datasheet\diodes\ESH2B-M3\ESH2B-M3.pdf;Datasheet\diodes\ESH2B-M3\ESH2B-M3.zip
ESH2C;Enlarge;150;2;0.93;60;25;175;SMB (DO-214AA);Single;Yes;image/diodes\84649.png;Datasheet\diodes\ESH2C\ESH2C.pdf;Datasheet\diodes\ESH2C\ESH2C.zip
ESH2C-M3;Enlarge;150;2;0.93;60;25;175;SMB (DO-214AA);Single;No;image/diodes\89482.png;Datasheet\diodes\ESH2C-M3\ESH2C-M3.pdf;Datasheet\diodes\ESH2C-M3\ESH2C-M3.zip
ESH2D;Enlarge;200;2;0.93;60;25;175;SMB (DO-214AA);Single;Yes;image/diodes\84649.png;Datasheet\diodes\ESH2D\ESH2D.pdf;Datasheet\diodes\ESH2D\ESH2D.zip
ESH2D-M3;Enlarge;200;2;0.93;60;25;175;SMB (DO-214AA);Single;No;image/diodes\89482.png;Datasheet\diodes\ESH2D-M3\ESH2D-M3.pdf;Datasheet\diodes\ESH2D-M3\ESH2D-M3.zip
ESH2PB;Enlarge;100;2;0.75;50;25;175;SMP (DO-220AA);Single;Yes;image/diodes\89016.png;Datasheet\diodes\ESH2PB\ESH2PB.pdf;Datasheet\diodes\ESH2PB\ESH2PB.zip
ESH2PC;Enlarge;150;2;0.75;50;25;175;SMP (DO-220AA);Single;Yes;image/diodes\89016.png;Datasheet\diodes\ESH2PC\ESH2PC.pdf;Datasheet\diodes\ESH2PC\ESH2PC.zip
