Series;Product Image;Package (JEDEC®) Code;VRRM(V);IRat VR(nA at V);VFat IF(V at mA);trr(ns);Circuit Configuration;AEC-Q101 Qualified;Image path;Datasheet part;3d model part
BAV19W, BAV20W, BAV21W;Enlarge;SOD-123;120;100 at 100;1 at 100;50;Single;Yes;image/diodes/86372.png;Datasheet/diodes/switching/BAV19W, BAV20W, BAV21W/BAV19W, BAV20W, BAV21W.pdf;Datasheet/diodes/switching/BAV19W, BAV20W, BAV21W/BAV19W, BAV20W, BAV21W.zip
BAV19W, BAV20W, BAV21W;Enlarge;SOD-123;200;100 at 150;1 at 100;50;Single;Yes;image/diodes/86372.png;Datasheet/diodes/switching/BAV19W, BAV20W, BAV21W/BAV19W, BAV20W, BAV21W.pdf;Datasheet/diodes/switching/BAV19W, BAV20W, BAV21W/BAV19W, BAV20W, BAV21W.zip
BAV19W, BAV20W, BAV21W;Enlarge;SOD-123;250;100 at 200;1 at 100;50;Single;Yes;image/diodes/86372.png;Datasheet/diodes/switching/BAV19W, BAV20W, BAV21W/BAV19W, BAV20W, BAV21W.pdf;Datasheet/diodes/switching/BAV19W, BAV20W, BAV21W/BAV19W, BAV20W, BAV21W.zip
BAV19W-G, BAV20W-G, BAV21W-G;Enlarge;SOD-123;120;100 at 100;1 at 100;50;Single;Yes;image/diodes/86373.png;Datasheet/diodes/switching/BAV19W-G, BAV20W-G, BAV21W-G/BAV19W-G, BAV20W-G, BAV21W-G.pdf;Datasheet/diodes/switching/BAV19W-G, BAV20W-G, BAV21W-G/BAV19W-G, BAV20W-G, BAV21W-G.zip
BAV19WS, BAV20WS, BAV21WS;Enlarge;SOD-323;120;100 at 100;1 at 100;50;Single;Yes;image/diodes/85726.png;Datasheet/diodes/switching/BAV19WS, BAV20WS, BAV21WS/BAV19WS, BAV20WS, BAV21WS.pdf;Datasheet/diodes/switching/BAV19WS, BAV20WS, BAV21WS/BAV19WS, BAV20WS, BAV21WS.zip
BAV19WS, BAV20WS, BAV21WS;Enlarge;SOD-323;200;100 at 150;1 at 100;50;Single;Yes;image/diodes/85726.png;Datasheet/diodes/switching/BAV19WS, BAV20WS, BAV21WS/BAV19WS, BAV20WS, BAV21WS.pdf;Datasheet/diodes/switching/BAV19WS, BAV20WS, BAV21WS/BAV19WS, BAV20WS, BAV21WS.zip
BAV19WS, BAV20WS, BAV21WS;Enlarge;SOD-323;250;100 at 200;1 at 100;50;Single;Yes;image/diodes/85726.png;Datasheet/diodes/switching/BAV19WS, BAV20WS, BAV21WS/BAV19WS, BAV20WS, BAV21WS.pdf;Datasheet/diodes/switching/BAV19WS, BAV20WS, BAV21WS/BAV19WS, BAV20WS, BAV21WS.zip
BAV19WS-G, BAV20WS-G, BAV21WS-G;Enlarge;SOD-323;200;100 at 150;1 at 100;50;Single;Yes;image/diodes/83423.png;Datasheet/diodes/switching/BAV19WS-G, BAV20WS-G, BAV21WS-G/BAV19WS-G, BAV20WS-G, BAV21WS-G.pdf;Datasheet/diodes/switching/BAV19WS-G, BAV20WS-G, BAV21WS-G/BAV19WS-G, BAV20WS-G, BAV21WS-G.zip
BAV19WS-G, BAV20WS-G, BAV21WS-G;Enlarge;SOD-323;250;100 at 200;1 at 100;50;Single;Yes;image/diodes/83423.png;Datasheet/diodes/switching/BAV19WS-G, BAV20WS-G, BAV21WS-G/BAV19WS-G, BAV20WS-G, BAV21WS-G.pdf;Datasheet/diodes/switching/BAV19WS-G, BAV20WS-G, BAV21WS-G/BAV19WS-G, BAV20WS-G, BAV21WS-G.zip
BAV19WS-G, BAV20WS-G, BAV21WS-G;Enlarge;SOD-323;120;100 at 100;1 at 100;50;Single;Yes;image/diodes/83423.png;Datasheet/diodes/switching/BAV19WS-G, BAV20WS-G, BAV21WS-G/BAV19WS-G, BAV20WS-G, BAV21WS-G.pdf;Datasheet/diodes/switching/BAV19WS-G, BAV20WS-G, BAV21WS-G/BAV19WS-G, BAV20WS-G, BAV21WS-G.zip
BAV200, BAV201, BAV202, BAV203;Enlarge;QuadroMELF (SOD-80);250;100 at 200;1 at 100;50;Single;No;image/diodes/85544.png;Datasheet/diodes/switching/BAV200, BAV201, BAV202, BAV203/BAV200, BAV201, BAV202, BAV203.pdf;None
BAV200, BAV201, BAV202, BAV203;Enlarge;QuadroMELF (SOD-80);60;100 at 50;1 at 100;50;Single;No;image/diodes/85544.png;Datasheet/diodes/switching/BAV200, BAV201, BAV202, BAV203/BAV200, BAV201, BAV202, BAV203.pdf;None
BAV200, BAV201, BAV202, BAV203;Enlarge;QuadroMELF (SOD-80);120;100 at 100;1 at 100;50;Single;No;image/diodes/85544.png;Datasheet/diodes/switching/BAV200, BAV201, BAV202, BAV203/BAV200, BAV201, BAV202, BAV203.pdf;None
BAV200, BAV201, BAV202, BAV203;Enlarge;QuadroMELF (SOD-80);200;100 at 150;1 at 100;50;Single;No;image/diodes/85544.png;Datasheet/diodes/switching/BAV200, BAV201, BAV202, BAV203/BAV200, BAV201, BAV202, BAV203.pdf;None
BAV23C;Enlarge;SOT-23;250;100 at 200;1 at 100;50;Common cathode;Yes;image/diodes/86374.png;Datasheet/diodes/switching/BAV23C/BAV23C.pdf;Datasheet/diodes/switching/BAV23C/BAV23C.zip
BAV23C;Enlarge;SOT-23;250;100 at 200;1 at 100;50;10 000;Yes;image/diodes/86374.png;Datasheet/diodes/switching/BAV23C/BAV23C.pdf;Datasheet/diodes/switching/BAV23C/BAV23C.zip
BAV23C-G;Enlarge;SOT-23;250;100 at 200;1 at 100;50;Common cathode;Yes;image/diodes/86375.png;Datasheet/diodes/switching/BAV23C-G/BAV23C-G.pdf;Datasheet/diodes/switching/BAV23C-G/BAV23C-G.zip
BAV300, BAV301, BAV302, BAV303;Enlarge;MicroMELF;60;100 at 50;1 at 100;50;Single;No;image/diodes/85545.png;Datasheet/diodes/switching/BAV300, BAV301, BAV302, BAV303/BAV300, BAV301, BAV302, BAV303.pdf;Datasheet/diodes/switching/BAV300, BAV301, BAV302, BAV303/BAV300, BAV301, BAV302, BAV303.zip
BAV300, BAV301, BAV302, BAV303;Enlarge;MicroMELF;120;100 at 100;1 at 100;50;Single;No;image/diodes/85545.png;Datasheet/diodes/switching/BAV300, BAV301, BAV302, BAV303/BAV300, BAV301, BAV302, BAV303.pdf;Datasheet/diodes/switching/BAV300, BAV301, BAV302, BAV303/BAV300, BAV301, BAV302, BAV303.zip
BAV300, BAV301, BAV302, BAV303;Enlarge;MicroMELF;200;100 at 150;1 at 100;50;Single;No;image/diodes/85545.png;Datasheet/diodes/switching/BAV300, BAV301, BAV302, BAV303/BAV300, BAV301, BAV302, BAV303.pdf;Datasheet/diodes/switching/BAV300, BAV301, BAV302, BAV303/BAV300, BAV301, BAV302, BAV303.zip
BAV300, BAV301, BAV302, BAV303;Enlarge;MicroMELF;250;100 at 200;1 at 100;50;Single;No;image/diodes/85545.png;Datasheet/diodes/switching/BAV300, BAV301, BAV302, BAV303/BAV300, BAV301, BAV302, BAV303.pdf;Datasheet/diodes/switching/BAV300, BAV301, BAV302, BAV303/BAV300, BAV301, BAV302, BAV303.zip
BAV70;Enlarge;SOT-23;70;100 at 70;0.715 at 1;6;Common cathode;Yes;image/diodes/86376.png;Datasheet/diodes/switching/BAV70/BAV70.pdf;Datasheet/diodes/switching/BAV70/BAV70.zip
BAV70-G;Enlarge;SOT-23;70;100 at 70;0.715 at 1;6;Common cathode;Yes;image/diodes/86377.png;Datasheet/diodes/switching/BAV70-G/BAV70-G.pdf;Datasheet/diodes/switching/BAV70-G/BAV70-G.zip
