Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF(V);IFSM(A);trr(ns);TJmax.(°C);Package (JEDEC®) Code;CircuitConfiguration;Snap factor;AEC-Q101Qualified;Image path;Datasheet part;3d model part
AR1FD;Enlarge;200;1;see datasheet;30;140;175;SMF (DO-219AB);Single;;Yes;image/diodes/87167.png;Datasheet/diodes/standard-recovery/AR1FD/AR1FD.pdf;None
AR1FG;Enlarge;400;1;see datasheet;30;140;175;SMF (DO-219AB);Single;;Yes;image/diodes/87167.png;Datasheet/diodes/standard-recovery/AR1FG/AR1FG.pdf;None
AR1FJ;Enlarge;600;1;see datasheet;30;140;175;SMF (DO-219AB);Single;;Yes;image/diodes/87167.png;Datasheet/diodes/standard-recovery/AR1FJ/AR1FJ.pdf;None
AR1FK;Enlarge;800;1;see datasheet;30;140;175;SMF (DO-219AB);Single;;Yes;image/diodes/87167.png;Datasheet/diodes/standard-recovery/AR1FK/AR1FK.pdf;None
AR1FM;Enlarge;1000;1;see datasheet;30;140;175;SMF (DO-219AB);Single;;Yes;image/diodes/87167.png;Datasheet/diodes/standard-recovery/AR1FM/AR1FM.pdf;None
AR1PD;Enlarge;200;1;see datasheet;30;140;175;SMP (DO-220AA);Single;;Yes;image/diodes/89289.png;Datasheet/diodes/standard-recovery/AR1PD/AR1PD.pdf;Datasheet/diodes/standard-recovery/AR1PD/AR1PD.zip
AR1PG;Enlarge;400;1;see datasheet;30;140;175;SMP (DO-220AA);Single;;Yes;image/diodes/89289.png;Datasheet/diodes/standard-recovery/AR1PG/AR1PG.pdf;Datasheet/diodes/standard-recovery/AR1PG/AR1PG.zip
AR1PJ;Enlarge;600;1;see datasheet;30;140;175;SMP (DO-220AA);Single;;Yes;image/diodes/89289.png;Datasheet/diodes/standard-recovery/AR1PJ/AR1PJ.pdf;Datasheet/diodes/standard-recovery/AR1PJ/AR1PJ.zip
AR1PK;Enlarge;800;1;see datasheet;30;140;175;SMP (DO-220AA);Single;;Yes;image/diodes/89289.png;Datasheet/diodes/standard-recovery/AR1PK/AR1PK.pdf;Datasheet/diodes/standard-recovery/AR1PK/AR1PK.zip
AR1PM;Enlarge;1000;1;see datasheet;30;140;175;SMP (DO-220AA);Single;;Yes;image/diodes/89289.png;Datasheet/diodes/standard-recovery/AR1PM/AR1PM.pdf;Datasheet/diodes/standard-recovery/AR1PM/AR1PM.zip
AR3PD;Enlarge;200;3;1.04;50;140;175;SMPC (TO-277A);Single;;Yes;image/diodes/89332.png;Datasheet/diodes/standard-recovery/AR3PD/AR3PD.pdf;None
AR3PG;Enlarge;400;3;1.04;50;140;175;SMPC (TO-277A);Single;;Yes;image/diodes/89332.png;Datasheet/diodes/standard-recovery/AR3PG/AR3PG.pdf;None
AR3PJ;Enlarge;600;3;1.04;50;140;175;SMPC (TO-277A);Single;;Yes;image/diodes/89332.png;Datasheet/diodes/standard-recovery/AR3PJ/AR3PJ.pdf;None
AR3PK;Enlarge;800;3;1.26;50;120;175;SMPC (TO-277A);Single;;Yes;image/diodes/89333.png;Datasheet/diodes/standard-recovery/AR3PK/AR3PK.pdf;Datasheet/diodes/standard-recovery/AR3PK/AR3PK.zip
AR3PM;Enlarge;1000;3;1.26;50;120;175;SMPC (TO-277A);Single;;Yes;image/diodes/89333.png;Datasheet/diodes/standard-recovery/AR3PM/AR3PM.pdf;Datasheet/diodes/standard-recovery/AR3PM/AR3PM.zip
AR4PD;Enlarge;200;4;1.02;65;140;175;SMPC (TO-277A);Single;;Yes;image/diodes/89334.png;Datasheet/diodes/standard-recovery/AR4PD/AR4PD.pdf;None
AR4PG;Enlarge;400;4;1.02;65;140;175;SMPC (TO-277A);Single;;Yes;image/diodes/89334.png;Datasheet/diodes/standard-recovery/AR4PG/AR4PG.pdf;None
AR4PJ;Enlarge;600;4;1.02;65;140;175;SMPC (TO-277A);Single;;Yes;image/diodes/89334.png;Datasheet/diodes/standard-recovery/AR4PJ/AR4PJ.pdf;None
AR4PK;Enlarge;800;4;1.27;65;120;175;SMPC (TO-277A);Single;;Yes;image/diodes/89335.png;Datasheet/diodes/standard-recovery/AR4PK/AR4PK.pdf;None
AR4PM;Enlarge;1000;4;1.27;65;120;175;SMPC (TO-277A);Single;;Yes;image/diodes/89335.png;Datasheet/diodes/standard-recovery/AR4PM/AR4PM.pdf;None
AS1FD;Enlarge;200;1.5;0.84;30;;175;SMF (DO-219AB);Single;;Yes;image/diodes/87021.png;Datasheet/diodes/standard-recovery/AS1FD/AS1FD.pdf;None
AS1FG;Enlarge;400;1.5;0.84;30;;175;SMF (DO-219AB);Single;;Yes;image/diodes/87021.png;Datasheet/diodes/standard-recovery/AS1FG/AS1FG.pdf;None
AS1FJ;Enlarge;600;1.5;0.84;30;;175;SMF (DO-219AB);Single;;Yes;image/diodes/87021.png;Datasheet/diodes/standard-recovery/AS1FJ/AS1FJ.pdf;None
AS1FK;Enlarge;800;1.5;0.84;30;;175;SMF (DO-219AB);Single;;Yes;image/diodes/87021.png;Datasheet/diodes/standard-recovery/AS1FK/AS1FK.pdf;None
AS1FM;Enlarge;1000;1.5;0.84;30;;175;SMF (DO-219AB);Single;;Yes;image/diodes/87021.png;Datasheet/diodes/standard-recovery/AS1FM/AS1FM.pdf;None
