Series;Product Image;Product Group;VRmax. / VRRM(V);IFmax.(mA);VFmax. at IF(mV at mA);AEC-Q101 Qualified;Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
BAS86-M;Enlarge;Small Signal Schottky Diode;50;200;900 at 100;No;MiniMELF (SOD-80);Single;image/diodes\83402.png;Datasheet\diodes\BAS86-M\BAS86-M.pdf;Datasheet\diodes\BAS86-M\BAS86-M.zip
BAT165;Enlarge;Small Signal Schottky Diode;40;750;740 at 750;Yes;MicroSMF (DO-219AC);Single;image/diodes\86134.png;Datasheet\diodes\BAT165\BAT165.pdf;None
BAT41;Enlarge;Small Signal Schottky Diode;100;100;1000 at 200;No;DO-35 (DO-204AH);Single;image/diodes\85659.png;Datasheet\diodes\BAT41\BAT41.pdf;Datasheet\diodes\BAT41\BAT41.zip
BAT42, BAT43;Enlarge;Small Signal Schottky Diode;30;200;650 at 200;No;DO-35 (DO-204AH);Single;image/diodes\85660.png;Datasheet\diodes\BAT42, BAT43\BAT42, BAT43.pdf;Datasheet\diodes\BAT42, BAT43\BAT42, BAT43.zip
BAT42, BAT43;Enlarge;Small Signal Schottky Diode;30;200;450 at 200;No;DO-35 (DO-204AH);Single;image/diodes\85660.png;Datasheet\diodes\BAT42, BAT43\BAT42, BAT43.pdf;Datasheet\diodes\BAT42, BAT43\BAT42, BAT43.zip
BAT42W, BAT43W;Enlarge;Small Signal Schottky Diode;30;300;650 at 200;Yes;SOD-123;Single;image/diodes\86404.png;Datasheet\diodes\BAT42W, BAT43W\BAT42W, BAT43W.pdf;Datasheet\diodes\BAT42W, BAT43W\BAT42W, BAT43W.zip
BAT42W, BAT43W;Enlarge;Small Signal Schottky Diode;30;300;450 at 200;Yes;SOD-123;Single;image/diodes\86404.png;Datasheet\diodes\BAT42W, BAT43W\BAT42W, BAT43W.pdf;Datasheet\diodes\BAT42W, BAT43W\BAT42W, BAT43W.zip
BAT42W-G, BAT43W-G;Enlarge;Small Signal Schottky Diode;30;300;1000 at 200;Yes;SOD-123;Single;image/diodes\86405.png;Datasheet\diodes\BAT42W-G, BAT43W-G\BAT42W-G, BAT43W-G.pdf;Datasheet\diodes\BAT42W-G, BAT43W-G\BAT42W-G, BAT43W-G.zip
BAT42WS, BAT43WS;Enlarge;Small Signal Schottky Diode;30;200;650 at 200;Yes;SOD-323;Single;image/diodes\81813.png;Datasheet\diodes\BAT42WS, BAT43WS\BAT42WS, BAT43WS.pdf;Datasheet\diodes\BAT42WS, BAT43WS\BAT42WS, BAT43WS.zip
BAT42WS, BAT43WS;Enlarge;Small Signal Schottky Diode;30;200;450 at 200;Yes;SOD-323;Single;image/diodes\81813.png;Datasheet\diodes\BAT42WS, BAT43WS\BAT42WS, BAT43WS.pdf;Datasheet\diodes\BAT42WS, BAT43WS\BAT42WS, BAT43WS.zip
