Part Number;Product Image;IF(AV)(A);VFat IF(V at A);IFSM(A);Rev. Voltage(V);TJmax.(°C);Package (JEDEC®) Code;Circuit Configuration;Image path;Datasheet part;3d model part
B125C1500G;Enlarge;1.5;1.0;50;400;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B125C1500G/B125C1500G.pdf;None
B125C800DM;Enlarge;0.9;1.0;45;200;125;DFM;Quad;image/diodes/88533.png;Datasheet/diodes/bridge/B125C800DM/B125C800DM.pdf;Datasheet/diodes/bridge/B125C800DM/B125C800DM.zip
B125C800G;Enlarge;0.9;1.0;45;65;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B125C800G/B125C800G.pdf;None
B125C800G;Enlarge;0.9;1.0;45;400;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B125C800G/B125C800G.pdf;None
B125C800G;Enlarge;0.9;1.0;45;125;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B125C800G/B125C800G.pdf;None
B125C800G;Enlarge;0.9;1.0;45;600;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B125C800G/B125C800G.pdf;None
B125C800G;Enlarge;0.9;1.0;45;200;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B125C800G/B125C800G.pdf;None
B250C1000G;Enlarge;1;1.0;45;65;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B250C1000G/B250C1000G.pdf;None
B250C1000G;Enlarge;1;1.0;45;400;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B250C1000G/B250C1000G.pdf;None
B250C1000G;Enlarge;1;1.0;45;125;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B250C1000G/B250C1000G.pdf;None
B250C1000G;Enlarge;1;1.0;45;600;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B250C1000G/B250C1000G.pdf;None
B250C1000G;Enlarge;1;1.0;45;200;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B250C1000G/B250C1000G.pdf;None
B250C1500G;Enlarge;1.5;1.0;50;600;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B250C1500G/B250C1500G.pdf;None
B250C1500G;Enlarge;1.5;1.0;50;200;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B250C1500G/B250C1500G.pdf;None
B250C1500G;Enlarge;1.5;1.0;50;65;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B250C1500G/B250C1500G.pdf;None
B250C1500G;Enlarge;1.5;1.0;50;400;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B250C1500G/B250C1500G.pdf;None
B250C1500G;Enlarge;1.5;1.0;50;125;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B250C1500G/B250C1500G.pdf;None
B250C800DM;Enlarge;0.9;1.0;45;400;125;DFM;Quad;image/diodes/88533.png;Datasheet/diodes/bridge/B250C800DM/B250C800DM.pdf;Datasheet/diodes/bridge/B250C800DM/B250C800DM.zip
B250C800G;Enlarge;0.9;1.0;45;400;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B250C800G/B250C800G.pdf;None
B250C800G;Enlarge;0.9;1.0;45;125;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B250C800G/B250C800G.pdf;None
B250C800G;Enlarge;0.9;1.0;45;600;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B250C800G/B250C800G.pdf;None
B250C800G;Enlarge;0.9;1.0;45;200;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B250C800G/B250C800G.pdf;None
B250C800G;Enlarge;0.9;1.0;45;65;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B250C800G/B250C800G.pdf;None
B2M;Enlarge;0.5;1.0;30;200;150;MBM;Quad;image/diodes/88898.png;Datasheet/diodes/bridge/B2M/B2M.pdf;Datasheet/diodes/bridge/B2M/B2M.zip
B2S;Enlarge;0.5;1.0;30;200;150;MBS (TO-269AA);Quad;image/diodes/88893.png;Datasheet/diodes/bridge/B2S/B2S.pdf;Datasheet/diodes/bridge/B2S/B2S.zip
B380C1000G;Enlarge;1;1.0;45;65;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B380C1000G/B380C1000G.pdf;None
B380C1000G;Enlarge;1;1.0;45;400;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B380C1000G/B380C1000G.pdf;None
B380C1000G;Enlarge;1;1.0;45;125;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B380C1000G/B380C1000G.pdf;None
B380C1000G;Enlarge;1;1.0;45;600;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B380C1000G/B380C1000G.pdf;None
B380C1000G;Enlarge;1;1.0;45;200;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B380C1000G/B380C1000G.pdf;None
B380C1500G;Enlarge;1.5;1.0;50;200;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B380C1500G/B380C1500G.pdf;None
B380C1500G;Enlarge;1.5;1.0;50;65;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B380C1500G/B380C1500G.pdf;None
B380C1500G;Enlarge;1.5;1.0;50;400;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B380C1500G/B380C1500G.pdf;None
B380C1500G;Enlarge;1.5;1.0;50;125;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B380C1500G/B380C1500G.pdf;None
B380C1500G;Enlarge;1.5;1.0;50;600;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B380C1500G/B380C1500G.pdf;None
B380C800DM;Enlarge;0.9;1.0;45;600;125;DFM;Quad;image/diodes/88533.png;Datasheet/diodes/bridge/B380C800DM/B380C800DM.pdf;Datasheet/diodes/bridge/B380C800DM/B380C800DM.zip
B380C800G;Enlarge;0.9;1.0;45;125;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B380C800G/B380C800G.pdf;None
B380C800G;Enlarge;0.9;1.0;45;600;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B380C800G/B380C800G.pdf;None
B380C800G;Enlarge;0.9;1.0;45;200;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B380C800G/B380C800G.pdf;None
B380C800G;Enlarge;0.9;1.0;45;65;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B380C800G/B380C800G.pdf;None
B380C800G;Enlarge;0.9;1.0;45;400;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B380C800G/B380C800G.pdf;None
B40C1000G;Enlarge;1;1.0;45;65;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B40C1000G/B40C1000G.pdf;None
B40C1000G;Enlarge;1;1.0;45;400;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B40C1000G/B40C1000G.pdf;None
B40C1000G;Enlarge;1;1.0;45;125;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B40C1000G/B40C1000G.pdf;None
B40C1000G;Enlarge;1;1.0;45;600;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B40C1000G/B40C1000G.pdf;None
B40C1000G;Enlarge;1;1.0;45;200;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B40C1000G/B40C1000G.pdf;None
B40C1500G;Enlarge;1.5;1.0;50;200;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B40C1500G/B40C1500G.pdf;None
B40C1500G;Enlarge;1.5;1.0;50;65;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B40C1500G/B40C1500G.pdf;None
B40C1500G;Enlarge;1.5;1.0;50;400;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B40C1500G/B40C1500G.pdf;None
B40C1500G;Enlarge;1.5;1.0;50;125;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B40C1500G/B40C1500G.pdf;None
B40C1500G;Enlarge;1.5;1.0;50;600;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B40C1500G/B40C1500G.pdf;None
B40C800DM;Enlarge;0.9;1.0;45;65;125;DFM;Quad;image/diodes/88533.png;Datasheet/diodes/bridge/B40C800DM/B40C800DM.pdf;Datasheet/diodes/bridge/B40C800DM/B40C800DM.zip
B40C800G;Enlarge;0.9;1.0;45;125;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B40C800G/B40C800G.pdf;None
B40C800G;Enlarge;0.9;1.0;45;600;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B40C800G/B40C800G.pdf;None
B40C800G;Enlarge;0.9;1.0;45;200;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B40C800G/B40C800G.pdf;None
B40C800G;Enlarge;0.9;1.0;45;65;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B40C800G/B40C800G.pdf;None
B40C800G;Enlarge;0.9;1.0;45;400;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B40C800G/B40C800G.pdf;None
B4M;Enlarge;0.5;1.0;30;400;150;MBM;Quad;image/diodes/88898.png;Datasheet/diodes/bridge/B4M/B4M.pdf;Datasheet/diodes/bridge/B4M/B4M.zip
B4S;Enlarge;0.5;1.0;30;400;150;MBS (TO-269AA);Quad;image/diodes/88893.png;Datasheet/diodes/bridge/B4S/B4S.pdf;Datasheet/diodes/bridge/B4S/B4S.zip
B6M;Enlarge;0.5;1.0;30;600;150;MBM;Quad;image/diodes/88898.png;Datasheet/diodes/bridge/B6M/B6M.pdf;Datasheet/diodes/bridge/B6M/B6M.zip
B6S;Enlarge;0.5;1.0;30;600;150;MBS (TO-269AA);Quad;image/diodes/88893.png;Datasheet/diodes/bridge/B6S/B6S.pdf;Datasheet/diodes/bridge/B6S/B6S.zip
B80C1000G;Enlarge;1;1.0;45;125;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B80C1000G/B80C1000G.pdf;None
B80C1000G;Enlarge;1;1.0;45;600;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B80C1000G/B80C1000G.pdf;None
B80C1000G;Enlarge;1;1.0;45;200;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B80C1000G/B80C1000G.pdf;None
B80C1000G;Enlarge;1;1.0;45;65;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B80C1000G/B80C1000G.pdf;None
B80C1000G;Enlarge;1;1.0;45;400;125;WOG;Quad;image/diodes/88500.png;Datasheet/diodes/bridge/B80C1000G/B80C1000G.pdf;None
B80C1500G;Enlarge;1.5;1.0;50;65;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B80C1500G/B80C1500G.pdf;None
B80C1500G;Enlarge;1.5;1.0;50;400;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B80C1500G/B80C1500G.pdf;None
B80C1500G;Enlarge;1.5;1.0;50;125;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B80C1500G/B80C1500G.pdf;None
B80C1500G;Enlarge;1.5;1.0;50;600;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B80C1500G/B80C1500G.pdf;None
B80C1500G;Enlarge;1.5;1.0;50;200;125;WOG;Quad;image/diodes/88501.png;Datasheet/diodes/bridge/B80C1500G/B80C1500G.pdf;None
B80C800DM;Enlarge;0.9;1.0;45;125;125;DFM;Quad;image/diodes/88533.png;Datasheet/diodes/bridge/B80C800DM/B80C800DM.pdf;Datasheet/diodes/bridge/B80C800DM/B80C800DM.zip
B80C800G;Enlarge;0.9;1.0;45;200;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B80C800G/B80C800G.pdf;None
B80C800G;Enlarge;0.9;1.0;45;65;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B80C800G/B80C800G.pdf;None
B80C800G;Enlarge;0.9;1.0;45;400;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B80C800G/B80C800G.pdf;None
B80C800G;Enlarge;0.9;1.0;45;125;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B80C800G/B80C800G.pdf;None
B80C800G;Enlarge;0.9;1.0;45;600;125;WOG;Quad;image/diodes/88534.png;Datasheet/diodes/bridge/B80C800G/B80C800G.pdf;None
BU1006;Enlarge;10;0.88;120;600;150;BU;In-line;image/diodes/84801.png;Datasheet/diodes/bridge/BU1006/BU1006.pdf;Datasheet/diodes/bridge/BU1006/BU1006.zip
BU1006A;Enlarge;10;0.94;90;600;150;BU;In-line;image/diodes/84800.png;Datasheet/diodes/bridge/BU1006A/BU1006A.pdf;Datasheet/diodes/bridge/BU1006A/BU1006A.zip
BU1008;Enlarge;10;0.88;120;800;150;BU;In-line;image/diodes/84801.png;Datasheet/diodes/bridge/BU1008/BU1008.pdf;Datasheet/diodes/bridge/BU1008/BU1008.zip
BU1008A;Enlarge;10;0.94;90;800;150;BU;In-line;image/diodes/84800.png;Datasheet/diodes/bridge/BU1008A/BU1008A.pdf;Datasheet/diodes/bridge/BU1008A/BU1008A.zip
BU1010;Enlarge;10;0.88;120;1000;150;BU;In-line;image/diodes/84801.png;Datasheet/diodes/bridge/BU1010/BU1010.pdf;Datasheet/diodes/bridge/BU1010/BU1010.zip
BU1010A;Enlarge;10;0.94;90;1000;150;BU;In-line;image/diodes/84800.png;Datasheet/diodes/bridge/BU1010A/BU1010A.pdf;Datasheet/diodes/bridge/BU1010A/BU1010A.zip
BU1206;Enlarge;12;0.88;150;600;150;BU;In-line;image/diodes/84802.png;Datasheet/diodes/bridge/BU1206/BU1206.pdf;Datasheet/diodes/bridge/BU1206/BU1206.zip
BU1208;Enlarge;12;0.88;150;800;150;BU;In-line;image/diodes/84802.png;Datasheet/diodes/bridge/BU1208/BU1208.pdf;Datasheet/diodes/bridge/BU1208/BU1208.zip
BU1210;Enlarge;12;0.88;150;1000;150;BU;In-line;image/diodes/84802.png;Datasheet/diodes/bridge/BU1210/BU1210.pdf;Datasheet/diodes/bridge/BU1210/BU1210.zip
BU1506;Enlarge;15;0.87;200;600;150;BU;In-line;image/diodes/84803.png;Datasheet/diodes/bridge/BU1506/BU1506.pdf;Datasheet/diodes/bridge/BU1506/BU1506.zip
BU1508;Enlarge;15;0.87;200;800;150;BU;In-line;image/diodes/84803.png;Datasheet/diodes/bridge/BU1508/BU1508.pdf;Datasheet/diodes/bridge/BU1508/BU1508.zip
BU1510;Enlarge;15;0.87;200;1000;150;BU;In-line;image/diodes/84803.png;Datasheet/diodes/bridge/BU1510/BU1510.pdf;Datasheet/diodes/bridge/BU1510/BU1510.zip
BU2006;Enlarge;20;0.85;240;600;150;BU;In-line;image/diodes/84804.png;Datasheet/diodes/bridge/BU2006/BU2006.pdf;Datasheet/diodes/bridge/BU2006/BU2006.zip
BU2008;Enlarge;20;0.85;240;800;150;BU;In-line;image/diodes/84804.png;Datasheet/diodes/bridge/BU2008/BU2008.pdf;Datasheet/diodes/bridge/BU2008/BU2008.zip
BU2010;Enlarge;20;0.85;240;1000;150;BU;In-line;image/diodes/84804.png;Datasheet/diodes/bridge/BU2010/BU2010.pdf;Datasheet/diodes/bridge/BU2010/BU2010.zip
BU2506;Enlarge;25;0.87;300;600;150;BU;In-line;image/diodes/84805.png;Datasheet/diodes/bridge/BU2506/BU2506.pdf;Datasheet/diodes/bridge/BU2506/BU2506.zip
BU2508;Enlarge;25;0.87;300;800;150;BU;In-line;image/diodes/84805.png;Datasheet/diodes/bridge/BU2508/BU2508.pdf;Datasheet/diodes/bridge/BU2508/BU2508.zip
BU2510;Enlarge;25;0.87;300;1000;150;BU;In-line;image/diodes/84805.png;Datasheet/diodes/bridge/BU2510/BU2510.pdf;Datasheet/diodes/bridge/BU2510/BU2510.zip
BU25H06;Enlarge;25;0.87;300;600;175;BU;In-line;image/diodes/87650.png;Datasheet/diodes/bridge/BU25H06/BU25H06.pdf;Datasheet/diodes/bridge/BU25H06/BU25H06.zip
BU25H08;Enlarge;25;0.87;300;800;175;BU;In-line;image/diodes/87650.png;Datasheet/diodes/bridge/BU25H08/BU25H08.pdf;Datasheet/diodes/bridge/BU25H08/BU25H08.zip
DF005M;Enlarge;1;1.1;50;50;150;DFM;Quad;image/diodes/88571.png;Datasheet/diodes/bridge/DF005M/DF005M.pdf;Datasheet/diodes/bridge/DF005M/DF005M.zip
DF005MA;Enlarge;1;1.1;30;50;150;DFM;Quad;image/diodes/88572.png;Datasheet/diodes/bridge/DF005MA/DF005MA.pdf;Datasheet/diodes/bridge/DF005MA/DF005MA.zip
DF005S;Enlarge;1;1.1;50;50;150;DFS;Quad;image/diodes/88573.png;Datasheet/diodes/bridge/DF005S/DF005S.pdf;Datasheet/diodes/bridge/DF005S/DF005S.zip
DF005SA;Enlarge;1;1.1;30;50;150;DFS;Quad;image/diodes/88574.png;Datasheet/diodes/bridge/DF005SA/DF005SA.pdf;Datasheet/diodes/bridge/DF005SA/DF005SA.zip
DF01M;Enlarge;1;1.1;50;100;150;DFM;Quad;image/diodes/88571.png;Datasheet/diodes/bridge/DF01M/DF01M.pdf;Datasheet/diodes/bridge/DF01M/DF01M.zip
DF01MA;Enlarge;1;1.1;30;100;150;DFM;Quad;image/diodes/88572.png;Datasheet/diodes/bridge/DF01MA/DF01MA.pdf;Datasheet/diodes/bridge/DF01MA/DF01MA.zip
DF01S;Enlarge;1;1.1;50;100;150;DFS;Quad;image/diodes/88573.png;Datasheet/diodes/bridge/DF01S/DF01S.pdf;Datasheet/diodes/bridge/DF01S/DF01S.zip
DF01SA;Enlarge;1;1.1;30;100;150;DFS;Quad;image/diodes/88574.png;Datasheet/diodes/bridge/DF01SA/DF01SA.pdf;Datasheet/diodes/bridge/DF01SA/DF01SA.zip
DF02M;Enlarge;1;1.1;50;200;150;DFM;Quad;image/diodes/88571.png;Datasheet/diodes/bridge/DF02M/DF02M.pdf;Datasheet/diodes/bridge/DF02M/DF02M.zip
DF02MA;Enlarge;1;1.1;30;200;150;DFM;Quad;image/diodes/88572.png;Datasheet/diodes/bridge/DF02MA/DF02MA.pdf;Datasheet/diodes/bridge/DF02MA/DF02MA.zip
DF02S;Enlarge;1;1.1;50;200;150;DFS;Quad;image/diodes/88573.png;Datasheet/diodes/bridge/DF02S/DF02S.pdf;Datasheet/diodes/bridge/DF02S/DF02S.zip
DF02SA;Enlarge;1;1.1;30;200;150;DFS;Quad;image/diodes/88574.png;Datasheet/diodes/bridge/DF02SA/DF02SA.pdf;Datasheet/diodes/bridge/DF02SA/DF02SA.zip
DF04M;Enlarge;1;1.1;50;400;150;DFM;Quad;image/diodes/88571.png;Datasheet/diodes/bridge/DF04M/DF04M.pdf;Datasheet/diodes/bridge/DF04M/DF04M.zip
DF04MA;Enlarge;1;1.1;30;400;150;DFM;Quad;image/diodes/88572.png;Datasheet/diodes/bridge/DF04MA/DF04MA.pdf;Datasheet/diodes/bridge/DF04MA/DF04MA.zip
DF04S;Enlarge;1;1.1;50;400;150;DFS;Quad;image/diodes/88573.png;Datasheet/diodes/bridge/DF04S/DF04S.pdf;Datasheet/diodes/bridge/DF04S/DF04S.zip
DF04SA;Enlarge;1;1.1;30;400;150;DFS;Quad;image/diodes/88574.png;Datasheet/diodes/bridge/DF04SA/DF04SA.pdf;Datasheet/diodes/bridge/DF04SA/DF04SA.zip
DF06M;Enlarge;1;1.1;50;600;150;DFM;Quad;image/diodes/88571.png;Datasheet/diodes/bridge/DF06M/DF06M.pdf;Datasheet/diodes/bridge/DF06M/DF06M.zip
DF06MA;Enlarge;1;1.1;30;600;150;DFM;Quad;image/diodes/88572.png;Datasheet/diodes/bridge/DF06MA/DF06MA.pdf;Datasheet/diodes/bridge/DF06MA/DF06MA.zip
DF06S;Enlarge;1;1.1;50;600;150;DFS;Quad;image/diodes/88573.png;Datasheet/diodes/bridge/DF06S/DF06S.pdf;Datasheet/diodes/bridge/DF06S/DF06S.zip
DF06SA;Enlarge;1;1.1;30;600;150;DFS;Quad;image/diodes/88574.png;Datasheet/diodes/bridge/DF06SA/DF06SA.pdf;Datasheet/diodes/bridge/DF06SA/DF06SA.zip
DF08M;Enlarge;1;1.1;50;800;150;DFM;Quad;image/diodes/88571.png;Datasheet/diodes/bridge/DF08M/DF08M.pdf;Datasheet/diodes/bridge/DF08M/DF08M.zip
DF08MA;Enlarge;1;1.1;30;800;150;DFM;Quad;image/diodes/88572.png;Datasheet/diodes/bridge/DF08MA/DF08MA.pdf;Datasheet/diodes/bridge/DF08MA/DF08MA.zip
DF08S;Enlarge;1;1.1;50;800;150;DFS;Quad;image/diodes/88573.png;Datasheet/diodes/bridge/DF08S/DF08S.pdf;Datasheet/diodes/bridge/DF08S/DF08S.zip
DF08SA;Enlarge;1;1.1;30;800;150;DFS;Quad;image/diodes/88574.png;Datasheet/diodes/bridge/DF08SA/DF08SA.pdf;Datasheet/diodes/bridge/DF08SA/DF08SA.zip
DF10M;Enlarge;1;1.1;50;1000;150;DFM;Quad;image/diodes/88571.png;Datasheet/diodes/bridge/DF10M/DF10M.pdf;Datasheet/diodes/bridge/DF10M/DF10M.zip
DF10MA;Enlarge;1;1.1;30;1000;150;DFM;Quad;image/diodes/88572.png;Datasheet/diodes/bridge/DF10MA/DF10MA.pdf;Datasheet/diodes/bridge/DF10MA/DF10MA.zip
DF10S;Enlarge;1;1.1;50;1000;150;DFS;Quad;image/diodes/88573.png;Datasheet/diodes/bridge/DF10S/DF10S.pdf;Datasheet/diodes/bridge/DF10S/DF10S.zip
DF10SA;Enlarge;1;1.1;30;1000;150;DFS;Quad;image/diodes/88574.png;Datasheet/diodes/bridge/DF10SA/DF10SA.pdf;Datasheet/diodes/bridge/DF10SA/DF10SA.zip
DF15005S;Enlarge;1.5;1.1;50;50;150;DFS;Quad;image/diodes/88570.png;Datasheet/diodes/bridge/DF15005S/DF15005S.pdf;Datasheet/diodes/bridge/DF15005S/DF15005S.zip
DF1501S;Enlarge;1.5;1.1;50;100;150;DFS;Quad;image/diodes/88570.png;Datasheet/diodes/bridge/DF1501S/DF1501S.pdf;Datasheet/diodes/bridge/DF1501S/DF1501S.zip
DF1502S;Enlarge;1.5;1.1;50;200;150;DFS;Quad;image/diodes/88570.png;Datasheet/diodes/bridge/DF1502S/DF1502S.pdf;Datasheet/diodes/bridge/DF1502S/DF1502S.zip
DF1504S;Enlarge;1.5;1.1;50;400;150;DFS;Quad;image/diodes/88570.png;Datasheet/diodes/bridge/DF1504S/DF1504S.pdf;Datasheet/diodes/bridge/DF1504S/DF1504S.zip
DF1506S;Enlarge;1.5;1.1;50;600;150;DFS;Quad;image/diodes/88570.png;Datasheet/diodes/bridge/DF1506S/DF1506S.pdf;Datasheet/diodes/bridge/DF1506S/DF1506S.zip
DF1508S;Enlarge;1.5;1.1;50;800;150;DFS;Quad;image/diodes/88570.png;Datasheet/diodes/bridge/DF1508S/DF1508S.pdf;Datasheet/diodes/bridge/DF1508S/DF1508S.zip
DF1510S;Enlarge;1.5;1.1;50;1000;150;DFS;Quad;image/diodes/88570.png;Datasheet/diodes/bridge/DF1510S/DF1510S.pdf;Datasheet/diodes/bridge/DF1510S/DF1510S.zip
DFL15005S;Enlarge;1.5;1.1;50;50;150;DFS low profile;Quad;image/diodes/88874.png;Datasheet/diodes/bridge/DFL15005S/DFL15005S.pdf;Datasheet/diodes/bridge/DFL15005S/DFL15005S.zip
DFL1501S;Enlarge;1.5;1.1;50;100;150;DFS low profile;Quad;image/diodes/88874.png;Datasheet/diodes/bridge/DFL1501S/DFL1501S.pdf;Datasheet/diodes/bridge/DFL1501S/DFL1501S.zip
DFL1502S;Enlarge;1.5;1.1;50;200;150;DFS low profile;Quad;image/diodes/88874.png;Datasheet/diodes/bridge/DFL1502S/DFL1502S.pdf;Datasheet/diodes/bridge/DFL1502S/DFL1502S.zip
DFL1504S;Enlarge;1.5;1.1;50;400;150;DFS low profile;Quad;image/diodes/88874.png;Datasheet/diodes/bridge/DFL1504S/DFL1504S.pdf;Datasheet/diodes/bridge/DFL1504S/DFL1504S.zip
DFL1506S;Enlarge;1.5;1.1;50;600;150;DFS low profile;Quad;image/diodes/88874.png;Datasheet/diodes/bridge/DFL1506S/DFL1506S.pdf;Datasheet/diodes/bridge/DFL1506S/DFL1506S.zip
