Part Number;Product Image;Rev. Voltage(V);IF(AV)(A);VFat IF(V at A);IFSM(A);IRM(mA);TJmax.(°C);Package (JEDEC®) Code;Circuit Configuration;AEC-Q101Qualified;Image path;Datasheet part;3d model part
B230LA;Enlarge;30;2;see datasheet;50;;150;SMA (DO-214AC);Single;No;image/diodes\88894.png;Datasheet\diodes\B230LA\B230LA.pdf;Datasheet\diodes\B230LA\B230LA.zip
B230LA-M3;Enlarge;30;2;see datasheet;50;;150;SMA (DO-214AC);Single;No;image/diodes\89413.png;Datasheet\diodes\B230LA-M3\B230LA-M3.pdf;Datasheet\diodes\B230LA-M3\B230LA-M3.zip
B240A;Enlarge;40;2;see datasheet;50;;150;SMA (DO-214AC);Single;No;image/diodes\88894.png;Datasheet\diodes\B240A\B240A.pdf;Datasheet\diodes\B240A\B240A.zip
B240A-M3;Enlarge;40;2;see datasheet;50;;150;SMA (DO-214AC);Single;No;image/diodes\89413.png;Datasheet\diodes\B240A-M3\B240A-M3.pdf;Datasheet\diodes\B240A-M3\B240A-M3.zip
B330LA;Enlarge;30;3;see datasheet;65;;150;SMA (DO-214AC);Single;No;image/diodes\88896.png;Datasheet\diodes\B330LA\B330LA.pdf;Datasheet\diodes\B330LA\B330LA.zip
B330LA-M3;Enlarge;30;3;see datasheet;65;;150;SMA (DO-214AC);Single;No;image/diodes\89415.png;Datasheet\diodes\B330LA-M3\B330LA-M3.pdf;Datasheet\diodes\B330LA-M3\B330LA-M3.zip
B340A;Enlarge;40;3;see datasheet;65;;150;SMA (DO-214AC);Single;No;image/diodes\88896.png;Datasheet\diodes\B340A\B340A.pdf;Datasheet\diodes\B340A\B340A.zip
B340A-M3;Enlarge;40;3;see datasheet;65;;150;SMA (DO-214AC);Single;No;image/diodes\89415.png;Datasheet\diodes\B340A-M3\B340A-M3.pdf;Datasheet\diodes\B340A-M3\B340A-M3.zip
B340LB;Enlarge;40;3;0.34;100;;150;SMB (DO-214AA);Single;No;image/diodes\89039.png;Datasheet\diodes\B340LB\B340LB.pdf;Datasheet\diodes\B340LB\B340LB.zip
B350A;Enlarge;50;3;0.55;50;;150;SMA (DO-214AC);Single;No;image/diodes\89071.png;Datasheet\diodes\B350A\B350A.pdf;Datasheet\diodes\B350A\B350A.zip
B350A-M3;Enlarge;50;3;0.55;50;;150;SMA (DO-214AC);Single;No;image/diodes\89414.png;Datasheet\diodes\B350A-M3\B350A-M3.pdf;Datasheet\diodes\B350A-M3\B350A-M3.zip
B350B;Enlarge;50;3;0.51;60;;150;SMB (DO-214AA);Single;No;image/diodes\89122.png;Datasheet\diodes\B350B\B350B.pdf;Datasheet\diodes\B350B\B350B.zip
B350B;Enlarge;50;3;0.51;60;;150;SMB (DO-214AA);Single;No;image/diodes\89446.png;Datasheet\diodes\B350B\B350B.pdf;Datasheet\diodes\B350B\B350B.zip
B360A;Enlarge;60;3;0.55;50;;150;SMA (DO-214AC);Single;No;image/diodes\89071.png;Datasheet\diodes\B360A\B360A.pdf;Datasheet\diodes\B360A\B360A.zip
B360A-M3;Enlarge;60;3;0.55;50;;150;SMA (DO-214AC);Single;No;image/diodes\89414.png;Datasheet\diodes\B360A-M3\B360A-M3.pdf;Datasheet\diodes\B360A-M3\B360A-M3.zip
B360B;Enlarge;60;3;0.51;60;;150;SMB (DO-214AA);Single;No;image/diodes\89122.png;Datasheet\diodes\B360B\B360B.pdf;Datasheet\diodes\B360B\B360B.zip
B360B;Enlarge;60;3;0.51;60;;150;SMB (DO-214AA);Single;No;image/diodes\89446.png;Datasheet\diodes\B360B\B360B.pdf;Datasheet\diodes\B360B\B360B.zip
BYM13-xx;Enlarge;20;1;see datasheet;30;;see datasheet;GL41 (DO-213AB);Single;Yes;image/diodes\88548.png;Datasheet\diodes\BYM13-xx\BYM13-xx.pdf;Datasheet\diodes\BYM13-xx\BYM13-xx.zip
BYM13-xx;Enlarge;30;1;see datasheet;30;;see datasheet;GL41 (DO-213AB);Single;Yes;image/diodes\88548.png;Datasheet\diodes\BYM13-xx\BYM13-xx.pdf;Datasheet\diodes\BYM13-xx\BYM13-xx.zip
BYM13-xx;Enlarge;40;1;see datasheet;30;;see datasheet;GL41 (DO-213AB);Single;Yes;image/diodes\88548.png;Datasheet\diodes\BYM13-xx\BYM13-xx.pdf;Datasheet\diodes\BYM13-xx\BYM13-xx.zip
BYM13-xx;Enlarge;50;1;see datasheet;30;;see datasheet;GL41 (DO-213AB);Single;Yes;image/diodes\88548.png;Datasheet\diodes\BYM13-xx\BYM13-xx.pdf;Datasheet\diodes\BYM13-xx\BYM13-xx.zip
BYM13-xx;Enlarge;60;1;see datasheet;30;;see datasheet;GL41 (DO-213AB);Single;Yes;image/diodes\88548.png;Datasheet\diodes\BYM13-xx\BYM13-xx.pdf;Datasheet\diodes\BYM13-xx\BYM13-xx.zip
BYS10-25;Enlarge;25;1.5;0.50;40;;150;SMA (DO-214AC);Single;Yes;image/diodes\86013.png;Datasheet\diodes\BYS10-25\BYS10-25.pdf;Datasheet\diodes\BYS10-25\BYS10-25.zip
BYS10-35;Enlarge;35;1.5;0.50;40;;150;SMA (DO-214AC);Single;Yes;image/diodes\86013.png;Datasheet\diodes\BYS10-35\BYS10-35.pdf;Datasheet\diodes\BYS10-35\BYS10-35.zip
BYS10-45;Enlarge;45;1.5;0.50;40;;150;SMA (DO-214AC);Single;Yes;image/diodes\86013.png;Datasheet\diodes\BYS10-45\BYS10-45.pdf;Datasheet\diodes\BYS10-45\BYS10-45.zip
BYS11-90;Enlarge;90;1.5;0.75;40;;150;SMA (DO-214AC);Single;Yes;image/diodes\86014.png;Datasheet\diodes\BYS11-90\BYS11-90.pdf;Datasheet\diodes\BYS11-90\BYS11-90.zip
BYS11-90-M3;Enlarge;90;1.5;0.75;40;;150;SMA (DO-214AC);Single;No;image/diodes\89409.png;Datasheet\diodes\BYS11-90-M3\BYS11-90-M3.pdf;Datasheet\diodes\BYS11-90-M3\BYS11-90-M3.zip
BYS12-90;Enlarge;90;1.5;0.75;40;;150;SMA (DO-214AC);Single;Yes;image/diodes\88950.png;Datasheet\diodes\BYS12-90\BYS12-90.pdf;Datasheet\diodes\BYS12-90\BYS12-90.zip
BYS12-90-M3;Enlarge;90;1.5;0.75;40;;150;SMA (DO-214AC);Single;No;image/diodes\89412.png;Datasheet\diodes\BYS12-90-M3\BYS12-90-M3.pdf;Datasheet\diodes\BYS12-90-M3\BYS12-90-M3.zip
M6035P;Enlarge;35;2 x 30;see datasheet;350;;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88980.png;Datasheet\diodes\M6035P\M6035P.pdf;Datasheet\diodes\M6035P\M6035P.zip
M6045P;Enlarge;45;2 x 30;see datasheet;350;;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88980.png;Datasheet\diodes\M6045P\M6045P.pdf;Datasheet\diodes\M6045P\M6045P.zip
M6060P;Enlarge;60;2 x 30;see datasheet;350;;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88980.png;Datasheet\diodes\M6060P\M6060P.pdf;Datasheet\diodes\M6060P\M6060P.zip
MB10H100;Enlarge;100;10;0.64;250;;175;ITO-220AC;Single;Yes;image/diodes\87727.png;Datasheet\diodes\MB10H100\MB10H100.pdf;None
MB10H100CT;Enlarge;100;2 x 5;0.61;150;;175;ITO-220AB;Common cathode;Yes;image/diodes\87728.png;Datasheet\diodes\MB10H100CT\MB10H100CT.pdf;None
MB20H100CT;Enlarge;100;2 x 10;0.64;250;;175;ITO-220AB;Common cathode;Yes;image/diodes\87736.png;Datasheet\diodes\MB20H100CT\MB20H100CT.pdf;None
MB30H100CT;Enlarge;100;2 x 15;0.67;275;;175;ITO-220AB;Common cathode;Yes;image/diodes\87737.png;Datasheet\diodes\MB30H100CT\MB30H100CT.pdf;None
MBR10100-M3;Enlarge;100;10;0.65;150;;150;TO-220AC;Single;No;image/diodes\89193.png;Datasheet\diodes\MBR10100-M3\MBR10100-M3.pdf;None
MBR10100CT;Enlarge;100;2 x 5.0;0.75;120;;150;TO-220AB;Common cathode;No;image/diodes\89197.png;Datasheet\diodes\MBR10100CT\MBR10100CT.pdf;None
MBR10100CT-E3;Enlarge;100;2 x 5.0;0.75;120;;150;TO-220AB;Common cathode;No;image/diodes\89125.png;Datasheet\diodes\MBR10100CT-E3\MBR10100CT-E3.pdf;None
MBR1090-M3;Enlarge;90;10;0.65;150;;150;TO-220AC;Single;No;image/diodes\89193.png;Datasheet\diodes\MBR1090-M3\MBR1090-M3.pdf;None
MBR1090CT;Enlarge;90;2 x 5.0;0.75;120;;150;TO-220AB;Common cathode;No;image/diodes\89197.png;Datasheet\diodes\MBR1090CT\MBR1090CT.pdf;None
MBR1090CT-E3;Enlarge;90;2 x 5.0;0.75;120;;150;TO-220AB;Common cathode;No;image/diodes\89125.png;Datasheet\diodes\MBR1090CT-E3\MBR1090CT-E3.pdf;None
MBR10H100;Enlarge;100;10;0.64;250;;175;TO-220AC;Single;No;image/diodes\88667.png;Datasheet\diodes\MBR10H100\MBR10H100.pdf;Datasheet\diodes\MBR10H100\MBR10H100.zip
MBR10H100CT;Enlarge;100;2 x 5;0.61;150;;175;TO-220AC;Common cathode;No;image/diodes\88668.png;Datasheet\diodes\MBR10H100CT\MBR10H100CT.pdf;Datasheet\diodes\MBR10H100CT\MBR10H100CT.zip
MBR10xx;Enlarge;45;10;see datasheet;150;;150;TO-220AC;Single;Yes;image/diodes\88669.png;Datasheet\diodes\MBR10xx\MBR10xx.pdf;Datasheet\diodes\MBR10xx\MBR10xx.zip
MBR10xx;Enlarge;60;10;see datasheet;150;;150;TO-220AC;Single;Yes;image/diodes\88669.png;Datasheet\diodes\MBR10xx\MBR10xx.pdf;Datasheet\diodes\MBR10xx\MBR10xx.zip
MBR10xxx-E3;Enlarge;90;10;0.65;150;;150;TO-220AC;Single;No;image/diodes\89034.png;Datasheet\diodes\MBR10xxx-E3\MBR10xxx-E3.pdf;Datasheet\diodes\MBR10xxx-E3\MBR10xxx-E3.zip
MBR10xxx-E3;Enlarge;100;10;0.65;150;;150;TO-220AC;Single;No;image/diodes\89034.png;Datasheet\diodes\MBR10xxx-E3\MBR10xxx-E3.pdf;Datasheet\diodes\MBR10xxx-E3\MBR10xxx-E3.zip
MBR1545CT;Enlarge;45;2 x 7.5;see datasheet;150;;150;TO-220AB;Common cathode;No;image/diodes\87589.png;Datasheet\diodes\MBR1545CT\MBR1545CT.pdf;None
MBR1560CT;Enlarge;60;2 x 7.5;see datasheet;150;;150;TO-220AB;Common cathode;No;image/diodes\87589.png;Datasheet\diodes\MBR1560CT\MBR1560CT.pdf;None
MBR1635;Enlarge;35;16;see datasheet;150;;150;TO-220AC;Single;No;image/diodes\87590.png;Datasheet\diodes\MBR1635\MBR1635.pdf;Datasheet\diodes\MBR1635\MBR1635.zip
MBR1645;Enlarge;45;16;see datasheet;150;;150;TO-220AC;Single;No;image/diodes\87590.png;Datasheet\diodes\MBR1645\MBR1645.pdf;Datasheet\diodes\MBR1645\MBR1645.zip
MBR1660;Enlarge;60;16;see datasheet;150;;150;TO-220AC;Single;No;image/diodes\87590.png;Datasheet\diodes\MBR1660\MBR1660.pdf;Datasheet\diodes\MBR1660\MBR1660.zip
MBR20100CT-M3;Enlarge;100;2 x 10;0.65;150;;150;TO-220AB;Common cathode;No;image/diodes\89192.png;Datasheet\diodes\MBR20100CT-M3\MBR20100CT-M3.pdf;None
MBR2090CT-M3;Enlarge;90;2 x 10;0.65;150;;150;TO-220AB;Common cathode;No;image/diodes\89192.png;Datasheet\diodes\MBR2090CT-M3\MBR2090CT-M3.pdf;None
MBR20H100CT;Enlarge;100;2 x 10;0.64;250;;175;TO-220AB;Common cathode;No;image/diodes\88673.png;Datasheet\diodes\MBR20H100CT\MBR20H100CT.pdf;Datasheet\diodes\MBR20H100CT\MBR20H100CT.zip
MBR20H100CTG;Enlarge;100;2 x 10;0.70;150;;175;TO-220AB;Common cathode;No;image/diodes\88856.png;Datasheet\diodes\MBR20H100CTG\MBR20H100CTG.pdf;None
MBR20xxxCT-E3;Enlarge;90;2 x 10;0.65;150;;150;TO-220AB;Common cathode;No;image/diodes\89033.png;Datasheet\diodes\MBR20xxxCT-E3\MBR20xxxCT-E3.pdf;Datasheet\diodes\MBR20xxxCT-E3\MBR20xxxCT-E3.zip
MBR20xxxCT-E3;Enlarge;100;2 x 10;0.65;150;;150;TO-220AB;Common cathode;No;image/diodes\89033.png;Datasheet\diodes\MBR20xxxCT-E3\MBR20xxxCT-E3.pdf;Datasheet\diodes\MBR20xxxCT-E3\MBR20xxxCT-E3.zip
MBR2560CT;Enlarge;60;2 x 12.5;see datasheet;150;;150;TO-220AB;Common cathode;No;image/diodes\87593.png;Datasheet\diodes\MBR2560CT\MBR2560CT.pdf;None
MBR25xxCT;Enlarge;35;2 x 12.5;see datasheet;150;;150;TO-220AB;Common cathode;No;image/diodes\88675.png;Datasheet\diodes\MBR25xxCT\MBR25xxCT.pdf;Datasheet\diodes\MBR25xxCT\MBR25xxCT.zip
MBR25xxCT;Enlarge;45;2 x 12.5;see datasheet;150;;150;TO-220AB;Common cathode;No;image/diodes\88675.png;Datasheet\diodes\MBR25xxCT\MBR25xxCT.pdf;Datasheet\diodes\MBR25xxCT\MBR25xxCT.zip
MBR3035PT;Enlarge;35;30;see datasheet;200;;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88676.png;Datasheet\diodes\MBR3035PT\MBR3035PT.pdf;None
MBR3045PT;Enlarge;45;30;see datasheet;200;;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88676.png;Datasheet\diodes\MBR3045PT\MBR3045PT.pdf;None
MBR3050PT;Enlarge;50;30;see datasheet;200;;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88676.png;Datasheet\diodes\MBR3050PT\MBR3050PT.pdf;None
MBR3060PT;Enlarge;60;30;see datasheet;200;;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88676.png;Datasheet\diodes\MBR3060PT\MBR3060PT.pdf;None
MBR30H100CT;Enlarge;100;2 x 15;0.67;275;;175;TO-220AB;Common cathode;No;image/diodes\88791.png;Datasheet\diodes\MBR30H100CT\MBR30H100CT.pdf;Datasheet\diodes\MBR30H100CT\MBR30H100CT.zip
MBR30H100PT;Enlarge;100;2 x 15;0.67;265;;175;TO-3P (TO-247AD);Common cathode;No;image/diodes\88678.png;Datasheet\diodes\MBR30H100PT\MBR30H100PT.pdf;None
MBR30H35PT;Enlarge;35;30;see datasheet;200;;175;TO-3P (TO-247AD);Common cathode;No;image/diodes\88792.png;Datasheet\diodes\MBR30H35PT\MBR30H35PT.pdf;None
MBR30H45PT;Enlarge;45;30;see datasheet;200;;175;TO-3P (TO-247AD);Common cathode;No;image/diodes\88792.png;Datasheet\diodes\MBR30H45PT\MBR30H45PT.pdf;None
MBR30H50PT;Enlarge;50;30;see datasheet;200;;175;TO-3P (TO-247AD);Common cathode;No;image/diodes\88792.png;Datasheet\diodes\MBR30H50PT\MBR30H50PT.pdf;None
MBR30H60CT;Enlarge;60;2 x 15;0.59;150;;175;TO-220AB;Common cathode;No;image/diodes\88866.png;Datasheet\diodes\MBR30H60CT\MBR30H60CT.pdf;Datasheet\diodes\MBR30H60CT\MBR30H60CT.zip
MBR30H60PT;Enlarge;60;30;see datasheet;200;;175;TO-3P (TO-247AD);Common cathode;No;image/diodes\88792.png;Datasheet\diodes\MBR30H60PT\MBR30H60PT.pdf;None
MBR30H90PT;Enlarge;90;2 x 15;0.67;265;;175;TO-3P (TO-247AD);Common cathode;No;image/diodes\88678.png;Datasheet\diodes\MBR30H90PT\MBR30H90PT.pdf;None
MBR4035PT;Enlarge;35;40;see datasheet;400;;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88679.png;Datasheet\diodes\MBR4035PT\MBR4035PT.pdf;Datasheet\diodes\MBR4035PT\MBR4035PT.zip
MBR4045PT;Enlarge;45;40;see datasheet;400;;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88679.png;Datasheet\diodes\MBR4045PT\MBR4045PT.pdf;Datasheet\diodes\MBR4045PT\MBR4045PT.zip
MBR4050PT;Enlarge;50;40;see datasheet;400;;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88679.png;Datasheet\diodes\MBR4050PT\MBR4050PT.pdf;Datasheet\diodes\MBR4050PT\MBR4050PT.zip
MBR4060PT;Enlarge;60;40;see datasheet;400;;150;TO-3P (TO-247AD);Common cathode;No;image/diodes\88679.png;Datasheet\diodes\MBR4060PT\MBR4060PT.pdf;Datasheet\diodes\MBR4060PT\MBR4060PT.zip
MBR40H35PT;Enlarge;35;40;see datasheet;400;;175;TO-3P (TO-247AD);Common cathode;No;image/diodes\88794.png;Datasheet\diodes\MBR40H35PT\MBR40H35PT.pdf;None
MBR40H45PT;Enlarge;45;40;see datasheet;400;;175;TO-3P (TO-247AD);Common cathode;No;image/diodes\88794.png;Datasheet\diodes\MBR40H45PT\MBR40H45PT.pdf;None
MBR40H50PT;Enlarge;50;40;see datasheet;400;;175;TO-3P (TO-247AD);Common cathode;No;image/diodes\88794.png;Datasheet\diodes\MBR40H50PT\MBR40H50PT.pdf;None
MBR40H60PT;Enlarge;60;40;see datasheet;400;;175;TO-3P (TO-247AD);Common cathode;No;image/diodes\88794.png;Datasheet\diodes\MBR40H60PT\MBR40H60PT.pdf;None
MBR745;Enlarge;45;7.5;see datasheet;150;;150;TO-220AC;Single;No;image/diodes\88680.png;Datasheet\diodes\MBR745\MBR745.pdf;Datasheet\diodes\MBR745\MBR745.zip
MBR760;Enlarge;60;7.5;see datasheet;150;;150;TO-220AC;Single;No;image/diodes\88680.png;Datasheet\diodes\MBR760\MBR760.pdf;Datasheet\diodes\MBR760\MBR760.zip
MBRB10100-M3;Enlarge;100;10;0.65;150;;150;D2PAK (TO-263AB);Single;No;image/diodes\87981.png;Datasheet\diodes\MBRB10100-M3\MBRB10100-M3.pdf;None
MBRB1090-M3;Enlarge;90;10;0.65;150;;150;D2PAK (TO-263AB);Single;No;image/diodes\87981.png;Datasheet\diodes\MBRB1090-M3\MBRB1090-M3.pdf;None
MBRB10H100;Enlarge;100;10;0.64;250;;175;D2PAK (TO-263AB);Single;No;image/diodes\88667.png;Datasheet\diodes\MBRB10H100\MBRB10H100.pdf;Datasheet\diodes\MBRB10H100\MBRB10H100.zip
MBRB10H100CT;Enlarge;100;2 x 5;0.61;150;;175;D2PAK (TO-263AB);Common cathode;No;image/diodes\88668.png;Datasheet\diodes\MBRB10H100CT\MBRB10H100CT.pdf;Datasheet\diodes\MBRB10H100CT\MBRB10H100CT.zip
MBRB10H60;Enlarge;60;10;0.61;150;;175;D2PAK (TO-263AB);Single;Yes;image/diodes\88780.png;Datasheet\diodes\MBRB10H60\MBRB10H60.pdf;None
MBRB10xx;Enlarge;45;10;see datasheet;150;;150;D2PAK (TO-263AB);Single;Yes;image/diodes\88669.png;Datasheet\diodes\MBRB10xx\MBRB10xx.pdf;Datasheet\diodes\MBRB10xx\MBRB10xx.zip
MBRB10xx;Enlarge;60;10;see datasheet;150;;150;D2PAK (TO-263AB);Single;Yes;image/diodes\88669.png;Datasheet\diodes\MBRB10xx\MBRB10xx.pdf;Datasheet\diodes\MBRB10xx\MBRB10xx.zip
MBRB10xxx-E3;Enlarge;90;10;0.65;150;;150;D2PAK (TO-263AB);Single;No;image/diodes\89034.png;Datasheet\diodes\MBRB10xxx-E3\MBRB10xxx-E3.pdf;Datasheet\diodes\MBRB10xxx-E3\MBRB10xxx-E3.zip
MBRB10xxx-E3;Enlarge;100;10;0.65;150;;150;D2PAK (TO-263AB);Single;No;image/diodes\89034.png;Datasheet\diodes\MBRB10xxx-E3\MBRB10xxx-E3.pdf;Datasheet\diodes\MBRB10xxx-E3\MBRB10xxx-E3.zip
MBRB15H45CT;Enlarge;45;2 x 7.5;0.55;150;;175;D2PAK (TO-263AB);Common cathode;Yes;image/diodes\88782.png;Datasheet\diodes\MBRB15H45CT\MBRB15H45CT.pdf;None
MBRB15xxCT;Enlarge;45;2 x 7.5;see datasheet;150;;150;D2PAK (TO-263AB);Common cathode;Yes;image/diodes\88670.png;Datasheet\diodes\MBRB15xxCT\MBRB15xxCT.pdf;Datasheet\diodes\MBRB15xxCT\MBRB15xxCT.zip
MBRB15xxCT;Enlarge;60;2 x 7.5;see datasheet;150;;150;D2PAK (TO-263AB);Common cathode;Yes;image/diodes\88670.png;Datasheet\diodes\MBRB15xxCT\MBRB15xxCT.pdf;Datasheet\diodes\MBRB15xxCT\MBRB15xxCT.zip
MBRB16H60;Enlarge;35;16;see datasheet;150;;175;D2PAK (TO-263AB);Single;Yes;image/diodes\88784.png;Datasheet\diodes\MBRB16H60\MBRB16H60.pdf;Datasheet\diodes\MBRB16H60\MBRB16H60.zip
MBRB16xx;Enlarge;35 to 60;16;see datasheet;150;;150;D2PAK (TO-263AB);Single;Yes;image/diodes\88671.png;Datasheet\diodes\MBRB16xx\MBRB16xx.pdf;Datasheet\diodes\MBRB16xx\MBRB16xx.zip
MBRB20100CT-M3;Enlarge;100;2 x 10;0.65;150;;150;D2PAK (TO-263AB);Common cathode;No;image/diodes\87980.png;Datasheet\diodes\MBRB20100CT-M3\MBRB20100CT-M3.pdf;None
MBRB2090CT-M3;Enlarge;90;2 x 10;0.65;150;;150;D2PAK (TO-263AB);Common cathode;No;image/diodes\87980.png;Datasheet\diodes\MBRB2090CT-M3\MBRB2090CT-M3.pdf;None
MBRB20H100CT;Enlarge;100;2 x 10;0.64;250;;175;D2PAK (TO-263AB);Common cathode;No;image/diodes\88673.png;Datasheet\diodes\MBRB20H100CT\MBRB20H100CT.pdf;Datasheet\diodes\MBRB20H100CT\MBRB20H100CT.zip
MBRB20H60CT;Enlarge;60;2 x 10;0.61;150;;175;D2PAK (TO-263AB);Common cathode;Yes;image/diodes\88787.png;Datasheet\diodes\MBRB20H60CT\MBRB20H60CT.pdf;None
MBRB20xxCT;Enlarge;45;2 x 10;see datasheet;150;;150;D2PAK (TO-263AB);Common cathode;Yes;image/diodes\88674.png;Datasheet\diodes\MBRB20xxCT\MBRB20xxCT.pdf;None
MBRB20xxCT;Enlarge;60;2 x 10;see datasheet;150;;150;D2PAK (TO-263AB);Common cathode;Yes;image/diodes\88674.png;Datasheet\diodes\MBRB20xxCT\MBRB20xxCT.pdf;None
MBRB20xxxCT-E3;Enlarge;90;2 x 10;0.65;150;;150;D2PAK (TO-263AB);Common cathode;No;image/diodes\89033.png;Datasheet\diodes\MBRB20xxxCT-E3\MBRB20xxxCT-E3.pdf;Datasheet\diodes\MBRB20xxxCT-E3\MBRB20xxxCT-E3.zip
MBRB20xxxCT-E3;Enlarge;100;2 x 10;0.65;150;;150;D2PAK (TO-263AB);Common cathode;No;image/diodes\89033.png;Datasheet\diodes\MBRB20xxxCT-E3\MBRB20xxxCT-E3.pdf;Datasheet\diodes\MBRB20xxxCT-E3\MBRB20xxxCT-E3.zip
MBRB2545CT;Enlarge;45;2 x 12.5;see datasheet;150;;150;D2PAK (TO-263AB);Common cathode;Yes;image/diodes\87592.png;Datasheet\diodes\MBRB2545CT\MBRB2545CT.pdf;None
MBRB2560CT;Enlarge;60;2 x 12.5;see datasheet;150;;150;D2PAK (TO-263AB);Common cathode;No;image/diodes\87593.png;Datasheet\diodes\MBRB2560CT\MBRB2560CT.pdf;None
MBRB25H35CT;Enlarge;35;2 x 15;see datasheet;150;;175;D2PAK (TO-263AB);Common cathode;Yes;image/diodes\88789.png;Datasheet\diodes\MBRB25H35CT\MBRB25H35CT.pdf;Datasheet\diodes\MBRB25H35CT\MBRB25H35CT.zip
MBRB25H45CT;Enlarge;45;2 x 15;see datasheet;150;;175;D2PAK (TO-263AB);Common cathode;Yes;image/diodes\88789.png;Datasheet\diodes\MBRB25H45CT\MBRB25H45CT.pdf;Datasheet\diodes\MBRB25H45CT\MBRB25H45CT.zip
MBRB25H60CT;Enlarge;60;2 x 15;see datasheet;150;;175;D2PAK (TO-263AB);Common cathode;Yes;image/diodes\88789.png;Datasheet\diodes\MBRB25H60CT\MBRB25H60CT.pdf;Datasheet\diodes\MBRB25H60CT\MBRB25H60CT.zip
