Series;Product Image;Type;Description;Technology;Resistance (min)(Ω);Resistance (max)(Ω);TCR Absolute(ppm/°C);TCR Tracking(ppm/°C);Absolute Tolerance(%);Ratio Tolerance(%);Power(W);Package Type;Case (EIA & Mil);Image path;Datasheet part;3d model part
SC7, SCB;Enlarge;Resistor Networks;Thin Film Resistor Divider Network on Silicon, User Trimmable;Thin Film;100;50 K;25;n/a;0.1;n/a;0.25;n/a;0505;image/networks-and-arrays/61011.png;Datasheet\/networks-and-arrays/SC7, SCB\SC7, SCB.pdf;Datasheet\/networks-and-arrays/SC7, SCB\SC7, SCB.zip
SLCC (CNP);Enlarge;Resistor Networks;Hermetic, 50 Mil Pitch, Leadless Chip Thin Film Resistor Networks;Thin Film;10;100 K;25;2;0.1;0.1;0.050;Hermetic;3535;image/networks-and-arrays/60014.png;Datasheet\/networks-and-arrays/SLCC (CNP)\SLCC (CNP).pdf;Datasheet\/networks-and-arrays/SLCC (CNP)\SLCC (CNP).zip
SOGC 01, 03, 05;Enlarge;Resistor Networks;Thick Film Resistor Networks, Dual-In-Line, Wide Body, Small Outline, Molded DIP, Surface Mount;Thick Film;10;1 M;100;n/a;1;n/a;0.1;SOIC (molded);n/a;image/networks-and-arrays/31506.png;Datasheet\/networks-and-arrays/SOGC 01, 03, 05\SOGC 01, 03, 05.pdf;None
SOGC 01, 03, 05;Enlarge;Resistor Networks;Thick Film Resistor Networks, Dual-In-Line, Wide Body, Small Outline, Molded DIP, Surface Mount;Thick Film;10;1 M;100;n/a;1;n/a;0.19;SOIC (molded);n/a;image/networks-and-arrays/31506.png;Datasheet\/networks-and-arrays/SOGC 01, 03, 05\SOGC 01, 03, 05.pdf;None
SOGC 45, 46;Enlarge;Resistor Networks;Thick Film Resistor Networks, Dual-In-Line, Wide Body, Small Outline, Molded DIP, Surface Mount;Thick Film;180;820;100;n/a;2;n/a;0.1;SOIC (molded);n/a;image/networks-and-arrays/31507.png;Datasheet\/networks-and-arrays/SOGC 45, 46\SOGC 45, 46.pdf;None
SOMC;Enlarge;Resistor Networks;Thick Film Resistor Networks, Dual-In-Line, Medium Body, Small Outline, Molded DIP, Surface Mount;Thick Film;10;1 M;100;n/a;1;n/a;0.08;SOIC (molded);n/a;image/networks-and-arrays/31508.png;Datasheet\/networks-and-arrays/SOMC\SOMC.pdf;None
SOMC;Enlarge;Resistor Networks;Thick Film Resistor Networks, Dual-In-Line, Medium Body, Small Outline, Molded DIP, Surface Mount;Thick Film;10;1 M;100;n/a;1;n/a;0.16;SOIC (molded);n/a;image/networks-and-arrays/31508.png;Datasheet\/networks-and-arrays/SOMC\SOMC.pdf;None
STR, DTR Custom Networks;Enlarge;Resistor Networks;Custom Thin Film Dual Resistor Divider Network;Thin Film;100;500 K;25;5;0.1;0.05;0.125;n/a;0303;image/networks-and-arrays/61032.png;Datasheet\/networks-and-arrays/STR, DTR Custom Networks\STR, DTR Custom Networks.pdf;None
T14L;Enlarge;Resistor Networks;Thick Film Resistor Networks, Dual-In-Line, Molded DIP;Thick Film;50;1 M;100;n/a;2;n/a;0.050;n/a;n/a;image/networks-and-arrays/68012.png;Datasheet\/networks-and-arrays/T14L\T14L.pdf;None
T16L;Enlarge;Resistor Networks;Thick Film Resistor Networks, Dual-In-Line, Molded DIP;Thick Film;50;1 M;100;n/a;2;n/a;0.050;n/a;n/a;image/networks-and-arrays/68011.png;Datasheet\/networks-and-arrays/T16L\T16L.pdf;Datasheet\/networks-and-arrays/T16L\T16L.zip
TAS (CNS);Enlarge;Resistor Networks;Conformal Coating, Single-In-Line Thin Film Resistor, Through Hole Networks;Thin Film;1 K;9.9 M;10;2;0.01;0.1;0.100;SIP;n/a;image/networks-and-arrays/60040.png;Datasheet\/networks-and-arrays/TAS (CNS)\TAS (CNS).pdf;Datasheet\/networks-and-arrays/TAS (CNS)\TAS (CNS).zip
