Series;Product Image;Resistance Min.(Ω);Resistance Max.(Ω);E-Series;Tolerance(± %);Power Rating(W);Maximum Voltage(V);TCR(± ppm/°C);MountingTechnology;Size / Device Style;OperatingTemperature(°C);Automotive;Image path;Datasheet part;3d model part
AST;Enlarge;1;337000;;10.0;225;8708;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;337000;;10.0;225;8708;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;337000;;5.0;225;8708;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;337000;;5.0;225;8708;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;37500;;10.0;60;1500;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;37500;;10.0;60;1500;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;37500;;5.0;60;1500;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;37500;;5.0;60;1500;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;398000;;10.0;175;8346;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;398000;;10.0;175;8346;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;398000;;5.0;175;8346;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;398000;;5.0;175;8346;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;42150;;10.0;70;1718;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;42150;;10.0;70;1718;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;42150;;5.0;70;1718;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;42150;;5.0;70;1718;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;42750;;10.0;75;1791;260;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
AST;Enlarge;1;42750;;10.0;75;1791;400;Through-hole;Tubular;-55 to +350;No;image/resistors-fixed/31852.png;Datasheet\/resistors-fixed/AST\AST.pdf;
