Part Number;Product Image;Device Type;Package Type;Package Form;Package Dimensions L x W x H(mm);Peak Wavelength λp(nm);Spectral Bandwidth(1)(nm);Output Current(2)(µA);Angle of Half Sensitivity φ;Photo Sensitive Area(mm2);Image path;Datasheet part;3d model part
TEMD1000;Enlarge;Silicon PIN Photodiode, RoHS-Compliant;surface-mount;Reverse gullwing;2.5 x 2 x 2.7;940;790 to 1050;10;15;0.23;image/photo-detectors81564.png;photo-detectors\TEMD1000\TEMD1000.pdf;None
TEMD1020;Enlarge;Silicon PIN Photodiode, RoHS-Compliant;surface-mount;Gullwing;2.5 x 2 x 2.7;940;790 to 1050;10;15;0.23;image/photo-detectors81564.png;photo-detectors\TEMD1020\TEMD1020.pdf;None
TEMD1030;Enlarge;Silicon PIN Photodiode, RoHS-Compliant;surface-mount;Yoke;2.5 x 2 x 2.7;940;790 to 1050;10;15;0.23;image/photo-detectors81564.png;photo-detectors\TEMD1030\TEMD1030.pdf;None
TEMD1040;Enlarge;Silicon PIN Photodiode, RoHS-Compliant;surface-mount;Axial leads;2.5 x 2 x 2.7;940;790 to 1050;10;15;0.23;image/photo-detectors81564.png;photo-detectors\TEMD1040\TEMD1040.pdf;None
TEMD5010X01;Enlarge;Silicon PIN Photodiode;surface-mount;Top view;5 x 4.24 x 1.12;940;430 to 1100;55;65;7.5;image/photo-detectors84679.png;photo-detectors\TEMD5010X01\TEMD5010X01.pdf;None
TEMD5020X01;Enlarge;Silicon PIN Photodiode, RoHS Compliant, Released for Lead (Pb)-free Reflow Soldering, AEC-Q101 Released;surface mount;Top view;5 x 4.24 x 1.12;900;430 to 1100;35;65;4.4;image/photo-detectors84685.png;photo-detectors\TEMD5020X01\TEMD5020X01.pdf;None
TEMD5080X01;Enlarge;Silicon PIN Photodiode;surface mount;Top view;5 x 4.24 x 1.12;940;350 to 1100;60;65;7.7;image/photo-detectors81643.png;photo-detectors\TEMD5080X01\TEMD5080X01.pdf;None
TEMD5110X01;Enlarge;Silicon PIN Photodiode;surface mount;Top view;5 x 4.24 x 1.12;940;790 to 1050;55;65;7.5;image/photo-detectors84658.png;photo-detectors\TEMD5110X01\TEMD5110X01.pdf;None
TEMD5120X01;Enlarge;Silicon PIN Photodiode, RoHS Compliant, Released for Lead (Pb)-free Reflow Soldering, AEC-Q101 Released;surface mount;Top view;5 x 4.24 x 1.12;940;790 to 1050;35;65;4.4;image/photo-detectors84680.png;photo-detectors\TEMD5120X01\TEMD5120X01.pdf;None
TEMD5510FX01;Enlarge;Ambient Light Sensor;surface-mount;Top view;5 x 4.24 x 1.12;540;430 to 610;1;65;7.5;image/photo-detectors81293.png;photo-detectors\TEMD5510FX01\TEMD5510FX01.pdf;None
TEMD6010FX01;Enlarge;Ambient Light Sensor;surface mount;1206;4 x 2 x 1.05;540;430 to 610;1;60;0.27;image/photo-detectors81308.png;photo-detectors\TEMD6010FX01\TEMD6010FX01.pdf;None
TEMD6200FITX01;Enlarge;Ambient Light Sensor;surface-mount;0805;2 x 1.25 x 0.85;540;430 to 610;0.04;60;0.27;image/photo-detectors80220.png;photo-detectors\TEMD6200FITX01\TEMD6200FITX01.pdf;None
TEMD6200FX01;Enlarge;Ambient Light Sensor;surface mount;0805;2 x 1.25 x 0.85;540;430 to 610;0.04;60;0.27;image/photo-detectors81812.png;photo-detectors\TEMD6200FX01\TEMD6200FX01.pdf;None
TEMD7000ITX01;Enlarge;Silicon PIN Photodiode;surface mount;0805;2 x 1.25 x 0.85;900;350 to 1120;3;60;0.23;image/photo-detectors84316.png;photo-detectors\TEMD7000ITX01\TEMD7000ITX01.pdf;None
TEMD7000X01;Enlarge;Silicon PIN Photodiode;surface mount;0805;2 x 1.25 x 0.85;900;350 to 1120;3;60;0.23;image/photo-detectors81951.png;photo-detectors\TEMD7000X01\TEMD7000X01.pdf;None
TEMD7100ITX01;Enlarge;Silicon PIN Photodiode;surface mount;0805;2 x 1.25 x 0.85;950;750 to 1050;3;60;0.23;image/photo-detectors84317.png;photo-detectors\TEMD7100ITX01\TEMD7100ITX01.pdf;None
TEMD7100X01;Enlarge;Silicon PIN Photodiode;surface mount;0805;2 x 1.25 x 0.85;950;750 to 1050;3;60;0.23;image/photo-detectors81960.png;photo-detectors\TEMD7100X01\TEMD7100X01.pdf;None
TEMT1000;Enlarge;Silicon NPN Phototransistor, RoHS-Compliant;surface-mount;Reverse gullwing;2.5 x 2 x 2.7;880;730 to 1000;7000;15;;image/photo-detectors81554.png;photo-detectors\TEMT1000\TEMT1000.pdf;None
TEMT1020;Enlarge;Silicon NPN Phototransistor, RoHS-Compliant;surface-mount;Gullwing;2.5 x 2 x 2.7;880;730 to 1000;7000;15;;image/photo-detectors81554.png;photo-detectors\TEMT1020\TEMT1020.pdf;None
TEMT1030;Enlarge;Silicon NPN Phototransistor, RoHS-Compliant;surface-mount;Yoke;2.5 x 2 x 2.7;880;730 to 1000;7000;15;;image/photo-detectors81554.png;photo-detectors\TEMT1030\TEMT1030.pdf;None
TEMT1040;Enlarge;Silicon NPN Phototransistor, RoHS-Compliant;surface-mount;Axial leads;2.5 x 2 x 2.7;880;730 to 1000;7000;15;;image/photo-detectors81554.png;photo-detectors\TEMT1040\TEMT1040.pdf;None
TEMT6000X01;Enlarge;Ambient Light Sensor;surface mount;1206;4 x 2 x 1.05;570;440 to 800;50;60;;image/photo-detectors81579.png;photo-detectors\TEMT6000X01\TEMT6000X01.pdf;None
TEMT6200FX01;Enlarge;Ambient Light Sensor in 0805 Package;surface-mount;0805;2 x 1.25 x 0.85;550;450 to 610;23;60;;image/photo-detectors81317.png;photo-detectors\TEMT6200FX01\TEMT6200FX01.pdf;None
TEMT7000X01;Enlarge;Silicon Phototransistor in 0805 Package;surface-mount;0805;2 x 1.25 x 0.85;850;470 to 1090;225 to 675;60;;image/photo-detectors81961.png;photo-detectors\TEMT7000X01\TEMT7000X01.pdf;None
TEMT7100ITX01;Enlarge;Silicon Phototransistor in 0805 Package;surface mount;0805;2 x 1.25 x 0.85;870;750 to 1010;225 to 675;60;;image/photo-detectors84257.png;photo-detectors\TEMT7100ITX01\TEMT7100ITX01.pdf;None
TEMT7100X01;Enlarge;Silicon Phototransistor in 0805 Package;surface-mount;0805;2 x 1.25 x 0.85;870;750 to 1010;225 to 675;60;;image/photo-detectors81770.png;photo-detectors\TEMT7100X01\TEMT7100X01.pdf;None
VBP104FAS;Enlarge;Silicon PIN Photodiode;surface mount;Gullwing;6.4 x 3.9 x 1.2;950;780 to 1050;35;65;4.4;image/photo-detectors81169.png;photo-detectors\VBP104FAS\VBP104FAS.pdf;None
VBP104FASR;Enlarge;Silicon PIN Photodiode;surface mount;Reverse gullwing;6.4 x 3.9 x 1.2;950;780 to 1050;35;65;4.4;image/photo-detectors81169.png;photo-detectors\VBP104FASR\VBP104FASR.pdf;None
VBP104S;Enlarge;Silicon PIN Photodiode;surface mount;Gullwing;6.4 x 3.9 x 1.2;940;430 to 1100;35;65;4.4;image/photo-detectors81170.png;photo-detectors\VBP104S\VBP104S.pdf;None
VBP104SR;Enlarge;Silicon PIN Photodiode;surface mount;Reverse gullwing;6.4 x 3.9 x 1.2;940;430 to 1100;35;65;4.4;image/photo-detectors81170.png;photo-detectors\VBP104SR\VBP104SR.pdf;None
VBPW34FAS;Enlarge;Silicon PIN Photodiode;surface mount;Gullwing;6.4 x 3.9 x 1.2;950;780 to 1050;55;65;7.5;image/photo-detectors81127.png;photo-detectors\VBPW34FAS\VBPW34FAS.pdf;None
VBPW34FASR;Enlarge;Silicon PIN Photodiode;surface mount;Reverse gullwing;6.4 x 3.9 x 1.2;950;780 to 1050;55;65;7.5;image/photo-detectors81127.png;photo-detectors\VBPW34FASR\VBPW34FASR.pdf;None
VBPW34S;Enlarge;Silicon PIN Photodiode;surface mount;Gullwing;6.4 x 3.9 x 1.2;940;430 to 1100;55;65;7.5;image/photo-detectors81128.png;photo-detectors\VBPW34S\VBPW34S.pdf;None
VBPW34SR;Enlarge;Silicon PIN Photodiode;surface mount;Reverse gullwing;6.4 x 3.9 x 1.2;940;430 to 1100;55;65;7.5;image/photo-detectors81128.png;photo-detectors\VBPW34SR\VBPW34SR.pdf;None
VEMD1060X01;Enlarge;Silicon PIN Photodiode;surface mount;0805 top view;2 x 1.25 x 0.85;820;350 to 1070;1.8;70;0.23;image/photo-detectors84295.png;photo-detectors\VEMD1060X01\VEMD1060X01.pdf;None
VEMD10940F;Enlarge;Silicon PIN Photodiode;surface mount;Side view;3 x 2 x 1;920;780 to 1050;3;75;;image/photo-detectors84171.png;photo-detectors\VEMD10940F\VEMD10940F.pdf;None
VEMD10940FX01;Enlarge;Silicon PIN Photodiode;surface mount;Side view;3 x 2 x 1;950;780 to 1050;3;75;;image/photo-detectors84217.png;photo-detectors\VEMD10940FX01\VEMD10940FX01.pdf;None
VEMD1160X01;Enlarge;Silicon PIN Photodiode;surface mount;0805 top view;2 x 1.25 x 0.85;840;700 to 1070;1.8;70;0.23;image/photo-detectors84305.png;photo-detectors\VEMD1160X01\VEMD1160X01.pdf;None
VEMD2000X01;Enlarge;Silicon PIN Photodiode;surface mount;Reverse gullwing;2.3 x 2.3 x 2.8;940;750 to 1050;12;15;;image/photo-detectors81962.png;photo-detectors\VEMD2000X01\VEMD2000X01.pdf;None
VEMD2003X01;Enlarge;Silicon PIN Photodiode;surface mount;Reverse gullwing;2.3 x 2.3 x 2.55;940;750 to 1050;10;35;;image/photo-detectors84147.png;photo-detectors\VEMD2003X01\VEMD2003X01.pdf;None
VEMD2020X01;Enlarge;Silicon PIN Photodiode;surface mount;Gullwing;2.3 x 2.3 x 2.8;940;750 to 1050;12;15;;image/photo-detectors81962.png;photo-detectors\VEMD2020X01\VEMD2020X01.pdf;None
VEMD2023SLX01;Enlarge;Silicon PIN Photodiode;surface mount;Side view;2.3 x 2.55 x 2.3;940;750 to 1050;10;35;;image/photo-detectors83493.png;photo-detectors\VEMD2023SLX01\VEMD2023SLX01.pdf;None
VEMD2023X01;Enlarge;Silicon PIN Photodiode;surface mount;Gullwing;2.3 x 2.3 x 2.55;940;750 to 1050;10;35;;image/photo-detectors84147.png;photo-detectors\VEMD2023X01\VEMD2023X01.pdf;None
VEMD2500X01;Enlarge;Silicon PIN Photodiode;surface mount;Reverse gullwing;2.3 x 2.3 x 2.8;900;350 to 1120;12;15;;image/photo-detectors83294.png;photo-detectors\VEMD2500X01\VEMD2500X01.pdf;None
VEMD2503X01;Enlarge;Silicon PIN Photodiode;surface mount;Reverse gullwing;2.3 x 2.3 x 2.55;900;350 to 1120;10;35;;image/photo-detectors84163.png;photo-detectors\VEMD2503X01\VEMD2503X01.pdf;None
VEMD2520X01;Enlarge;Silicon PIN Photodiode;surface mount;Gullwing;2.3 x 2.3 x 2.8;900;350 to 1120;12;15;;image/photo-detectors83294.png;photo-detectors\VEMD2520X01\VEMD2520X01.pdf;None
VEMD2523SLX01;Enlarge;Silicon PIN Photodiode;surface mount;Side view;2.3 x 2.55 x 2.3;900;350 to 1120;10;35;;image/photo-detectors84164.png;photo-detectors\VEMD2523SLX01\VEMD2523SLX01.pdf;None
VEMD2523X01;Enlarge;Silicon PIN Photodiode;surface mount;Gullwing;2.3 x 2.3 x 2.55;900;350 to 1120;10;35;;image/photo-detectors84163.png;photo-detectors\VEMD2523X01\VEMD2523X01.pdf;None
VEMD2704;Enlarge;Silicon PIN Photodiode;surface-mount;Top view;2.0 x 1.8 x 0.6;940;0.48 350 to 1100;0.48;67;1.51;image/photo-detectors80304.png;photo-detectors\VEMD2704\VEMD2704.pdf;None
VEMD3160FX01;Enlarge;Silicon PIN Photodiode;surface-mount;PLCC-2;3.5 x 2.8 x 1.75;920;860 to 1030;1.6;60;;image/photo-detectors80241.png;photo-detectors\VEMD3160FX01\VEMD3160FX01.pdf;None
VEMD4010X01;Enlarge;Silicon PIN Photodiode;surface-mount;0805;2 x 1.25 x 0.7;910;550 to 1040;2.4;24;0.42;image/photo-detectors80134.png;photo-detectors\VEMD4010X01\VEMD4010X01.pdf;None
VEMD4010X02;Enlarge;Silicon PIN Photodiode;surface-mount;0805;2 x 1.25 x 0.7;910;550 to 1040;2.4;24;0.42;image/photo-detectors80493.png;photo-detectors\VEMD4010X02\VEMD4010X02.pdf;None
VEMD4060X02;Enlarge;Silicon PIN Photodiode;surface-mount;0805;2 x 1.25 x 0.7;820;540 to 960;1.5;58;0.375;image/photo-detectors80402.png;photo-detectors\VEMD4060X02\VEMD4060X02.pdf;None
VEMD4080X02;Enlarge;Silicon PIN Photodiode;surface-mount;0805;2 x 1.25 x 0.7;870;480 to 1030;2.3;57;0.375;image/photo-detectors80403.png;photo-detectors\VEMD4080X02\VEMD4080X02.pdf;None
VEMD4110X01;Enlarge;Silicon PIN Photodiode;surface-mount;0805;2 x 1.25 x 0.7;910;740 to 1040;2.4;24;0.42;image/photo-detectors84910.png;photo-detectors\VEMD4110X01\VEMD4110X01.pdf;None
VEMD4110X02;Enlarge;Silicon PIN Photodiode;surface-mount;0805;2 x 1.25 x 0.7;910;740 to 1040;2.4;24;0.42;image/photo-detectors80494.png;photo-detectors\VEMD4110X02\VEMD4110X02.pdf;None
VEMD4160X02;Enlarge;Silicon PIN Photodiode;surface-mount;0805;2 x 1.25 x 0.7;830;730 to 960;1.4;56;0.375;image/photo-detectors80404.png;photo-detectors\VEMD4160X02\VEMD4160X02.pdf;None
VEMD4200FX01;Enlarge;Ambient Light Sensor;surface-mount;0805;2 x 1.25 x 0.7;540;400 to 660;0.07;55;0.42;image/photo-detectors84950.png;photo-detectors\VEMD4200FX01\VEMD4200FX01.pdf;None
VEMD5010X01;Enlarge;Silicon PIN Photodiode;surface mount;Top view;5 x 4 x 0.9;940;430 to 1100;48;65;7.5;image/photo-detectors84202.png;photo-detectors\VEMD5010X01\VEMD5010X01.pdf;None
VEMD5060X01;Enlarge;Silicon PIN Photodiode;surface mount;Top view;5 x 4 x 0.9;820;350 to 1070;26;65;7.5;image/photo-detectors84278.png;photo-detectors\VEMD5060X01\VEMD5060X01.pdf;None
VEMD5080X01;Enlarge;Silicon PIN Photodiode;surface-mount;Top view;5 x 4 x 0.9;950;350 to 1100;45;65;7.5;image/photo-detectors84386.png;photo-detectors\VEMD5080X01\VEMD5080X01.pdf;None
VEMD5110X01;Enlarge;Silicon PIN Photodiode;surface-mount;Top view;5 x 4 x 0.9;940;790 to 1050;48;65;7.5;image/photo-detectors84204.png;photo-detectors\VEMD5110X01\VEMD5110X01.pdf;None
VEMD5160X01;Enlarge;Silicon PIN Photodiode;surface mount;Top view;5 x 4 x 0.9;840;700 to 1070;26;65;7.5;image/photo-detectors84279.png;photo-detectors\VEMD5160X01\VEMD5160X01.pdf;None
VEMD5510C;Enlarge;Ambient Light Sensor;surface-mount;Top view;5 x 4 x 0.9;550;440 to 700;0.6;65;7.5;image/photo-detectors84354.png;photo-detectors\VEMD5510C\VEMD5510C.pdf;None
VEMD5510CF;Enlarge;Ambient Light Sensor;surface-mount;Top view;5 x 4 x 0.9;540;440 to 620;0.25;65;7.5;image/photo-detectors84387.png;photo-detectors\VEMD5510CF\VEMD5510CF.pdf;None
VEMD5510FX01;Enlarge;Ambient Light Sensor;surface-mount;Top view;5 x 4 x 0.9;540;420 to 620;0.7;65;7.5;image/photo-detectors80219.png;photo-detectors\VEMD5510FX01\VEMD5510FX01.pdf;None
VEMD6010X01;Enlarge;Silicon PIN Photodiode;surface-mount;1206;4 x 2 x 1.05;900;430 to 1100;9.5;60;0.85;image/photo-detectors84175.png;photo-detectors\VEMD6010X01\VEMD6010X01.pdf;None
VEMD6060X01;Enlarge;Silicon PIN Photodiode;surface mount;1206;4 x 2 x 1.05;820;380 to 1070;5;70;0.85;image/photo-detectors84296.png;photo-detectors\VEMD6060X01\VEMD6060X01.pdf;None
VEMD6110X01;Enlarge;Silicon PIN Photodiode;surface-mount;1206;4 x 2 x 1.05;950;750 to 1050;9.5;60;0.85;image/photo-detectors84179.png;photo-detectors\VEMD6110X01\VEMD6110X01.pdf;None
VEMD6160X01;Enlarge;Silicon PIN Photodiode;surface mount;1206;4 x 2 x 1.05;840;700 to 1070;5;70;0.85;image/photo-detectors84306.png;photo-detectors\VEMD6160X01\VEMD6160X01.pdf;None
VEMD8080;Enlarge;Silicon PIN Photodiode;surface mount;Top view;4.8 x 2.5 x 0.48;850;350 to 1100;28;65;4.6;image/photo-detectors84565.png;photo-detectors\VEMD8080\VEMD8080.pdf;None
VEMD8081;Enlarge;Silicon PIN Photodiode;surface-mount;Top view;4.8 x 2.5 x 0.48;840;350 to 1100;33;65;5.4;image/photo-detectors80218.png;photo-detectors\VEMD8081\VEMD8081.pdf;None
VEMD8082;Enlarge;Silicon PIN Photodiode;surface-mount;Top view;4.8 x 2.5 x 0.5;890;350 to 1100;40;65;6.0;image/photo-detectors80381.png;photo-detectors\VEMD8082\VEMD8082.pdf;None
VEMD8130;Enlarge;Silicon PIN Photodiode;surface-mount;Top view;7.5 x 5.3 x 4.0;940;800 to 1050;25;45;2.2;image/photo-detectors80267.png;photo-detectors\VEMD8130\VEMD8130.pdf;None
VEMD8130;Enlarge;Silicon PIN Photodiode;surface-mount;Side view;7.5 x 5.3 x 4.0;940;800 to 1050;25;45;2.2;image/photo-detectors80267.png;photo-detectors\VEMD8130\VEMD8130.pdf;None
VEMT2000X01;Enlarge;Silicon NPN Phototransistor;surface mount;Reverse gullwing;2.3 x 2.3 x 2.8;860;790 to 970;6000;15;;image/photo-detectors81595.png;photo-detectors\VEMT2000X01\VEMT2000X01.pdf;None
VEMT2003X01;Enlarge;Silicon NPN Phototransistor;surface mount;Reverse gullwing;2.3 x 2.3 x 2.55;860;790 to 970;2700;35;;image/photo-detectors84162.png;photo-detectors\VEMT2003X01\VEMT2003X01.pdf;None
VEMT2020X01;Enlarge;Silicon NPN Phototransistor;surface mount;Gullwing;2.3 x 2.3 x 2.8;860;790 to 970;6000;15;;image/photo-detectors81595.png;photo-detectors\VEMT2020X01\VEMT2020X01.pdf;None
VEMT2023SLX01;Enlarge;Silicon NPN Phototransistor;surface mount;Side view;2.3 x 2.55 x 2.3;860;790 to 970;2700;35;;image/photo-detectors84166.png;photo-detectors\VEMT2023SLX01\VEMT2023SLX01.pdf;None
VEMT2023X01;Enlarge;Silicon NPN Phototransistor;surface mount;Gullwing;2.3 x 2.3 x 2.55;860;790 to 970;2700;35;;image/photo-detectors84162.png;photo-detectors\VEMT2023X01\VEMT2023X01.pdf;None
VEMT2500X01;Enlarge;Silicon NPN Phototransistor;surface mount;Reverse gullwing;2.3 x 2.3 x 2.8;850;470 to 1090;6000;15;;image/photo-detectors81134.png;photo-detectors\VEMT2500X01\VEMT2500X01.pdf;None
VEMT2503X01;Enlarge;Silicon NPN Phototransistor;surface mount;Reverse gullwing;2.3 x 2.3 x 2.55;850;470 to 1090;2700;35;;image/photo-detectors84168.png;photo-detectors\VEMT2503X01\VEMT2503X01.pdf;None
VEMT2520X01;Enlarge;Silicon NPN Phototransistor;surface mount;Gullwing;2.3 x 2.3 x 2.8;850;470 to 1090;6000;15;;image/photo-detectors81134.png;photo-detectors\VEMT2520X01\VEMT2520X01.pdf;None
VEMT2523SLX01;Enlarge;Silicon NPN Phototransistor;surface mount;Side view;2.3 x 2.55 x 2.3;850;470 to 1090;2700;35;;image/photo-detectors84167.png;photo-detectors\VEMT2523SLX01\VEMT2523SLX01.pdf;None
VEMT2523X01;Enlarge;Silicon NPN Phototransistor;surface mount;Gullwing;2.3 x 2.3 x 2.55;850;470 to 1090;2700;35;;image/photo-detectors84168.png;photo-detectors\VEMT2523X01\VEMT2523X01.pdf;None
VEMT3700;Enlarge;Silicon NPN Phototransistor;surface mount;PLCC-2;3.5 x 2.8 x 1.75;850;450 to 1080;500;60;;image/photo-detectors81478.png;photo-detectors\VEMT3700\VEMT3700.pdf;None
VEMT3700F;Enlarge;Silicon NPN Phototransistor;surface-mount;PLCC-2;3.5 x 2.8 x 1.75;940;870 to 1050;500;60;;image/photo-detectors81584.png;photo-detectors\VEMT3700F\VEMT3700F.pdf;None
VEMT4700;Enlarge;Silicon NPN Phototransistor;surface mount;PLCC-3;3.5 x 2.8 x 1.75;850;450 to 1080;500;60;;image/photo-detectors81501.png;photo-detectors\VEMT4700\VEMT4700.pdf;None
VEMT4700F;Enlarge;Silicon NPN Phototransistor;surface mount;PLCC-3;3.5 x 2.8 x 1.75;940;870 to 1050;500;60;;image/photo-detectors81120.png;photo-detectors\VEMT4700F\VEMT4700F.pdf;None
