Series;Product Image;Configuration;Package;Ch;VDS(V);VGS(V);RDS(on)@1.2V(Ω);RDS(on)1.5V(Ω);RDS(on)@1.8V(Ω);RDS(on)@2.5V(Ω);RDS(on)@3V(Ω);RDS(on)@4.5V(Ω);RDS(on)@6V(Ω);RDS(on)@7.5V(Ω);RDS(on)@10V(Ω);Qg@4.5V(nC);Qg@10V(nC);Qgs(nC);Qgd(nC);IDMax.(A);PDMax.(W);VGS(th)Min.(V);RgTyp.(Ω);Image path;Datasheet part;3d model part
SQJ990EP;Enlarge;Dual;PowerPAK SO-8L asymmetric;N;100;20;;;;;;0.0505;;;0.04;;10;2;3;17;27;1.5;2.5;image/mosfets/78994.png;Datasheet/mosfets/SQJ990EP/SQJ990EP.pdf;Datasheet/mosfets/SQJ990EP/SQJ990EP.zip
SQJ992EP;Enlarge;Dual;PowerPAK SO-8L;N;60;20;;;;;;0.0745;;;0.0562;;8.1;1.3;1.7;15;34;1.5;0;image/mosfets/77734.png;Datasheet/mosfets/SQJ992EP/SQJ992EP.pdf;Datasheet/mosfets/SQJ992EP/SQJ992EP.zip
SQJA00EP;Enlarge;Single;PowerPAK SO-8L;N;60;20;;;;;;;;;0.013;;20;6;3;30;48;2.5;0.5;image/mosfets/76588.png;Datasheet/mosfets/SQJA00EP/SQJA00EP.pdf;None
SQJA02EP;Enlarge;Single;PowerPAK SO-8L;N;60;20;;;;;;;;;0.0048;;51;16;7;75;68;2.5;0.41;image/mosfets/75171.png;Datasheet/mosfets/SQJA02EP/SQJA02EP.pdf;Datasheet/mosfets/SQJA02EP/SQJA02EP.zip
SQJA04EP;Enlarge;Single;PowerPAK SO-8L;N;60;20;;;;;;;;;0.0062;;35;10;5;75;68;2.5;0.46;image/mosfets/77332.png;Datasheet/mosfets/SQJA04EP/SQJA04EP.pdf;Datasheet/mosfets/SQJA04EP/SQJA04EP.zip
SQJA06EP;Enlarge;Single;PowerPAK SO-8L;N;60;20;;;;;;;;;0.0087;;27;9;3.2;57;55;2.5;0.45;image/mosfets/76936.png;Datasheet/mosfets/SQJA06EP/SQJA06EP.pdf;Datasheet/mosfets/SQJA06EP/SQJA06EP.zip
SQJA16EP;Enlarge;Single;PowerPAK SO-8L;N;60;20;;;;;;0.0047;;;0.003;;56;13;5;278;500;1.5;1.3;image/mosfets/75020.png;Datasheet/mosfets/SQJA16EP/SQJA16EP.pdf;None
SQJA20EP;Enlarge;Single;PowerPAK SO-8L;N;200;20;;;;;;;;;0.05;;17.6;4.1;5.3;22.5;68;2.5;1.18;image/mosfets/62074.png;Datasheet/mosfets/SQJA20EP/SQJA20EP.pdf;Datasheet/mosfets/SQJA20EP/SQJA20EP.zip
SQJA26EP;Enlarge;Single;PowerPAK SO-8L;N;30;20;;;;;;0.00128;;;0.00077;;129;22;25;410;500;1.5;1.7;image/mosfets/75098.png;Datasheet/mosfets/SQJA26EP/SQJA26EP.pdf;Datasheet/mosfets/SQJA26EP/SQJA26EP.zip
SQJA34EP;Enlarge;Single;PowerPAK SO-8L;N;40;20;;;;;;;;;0.0043;;31;8.5;6;75;68;2.5;0.55;image/mosfets/77803.png;Datasheet/mosfets/SQJA34EP/SQJA34EP.pdf;Datasheet/mosfets/SQJA34EP/SQJA34EP.zip
SQJA36EP;Enlarge;Single;PowerPAK SO-8L;N;40;20;;;;;;;;;0.00124;;86;23.6;6;350;500;2.5;1.65;image/mosfets/77589.png;Datasheet/mosfets/SQJA36EP/SQJA36EP.pdf;None
SQJA37EP;Enlarge;Single;PowerPAK SO-8L;P;-30;20;;;;;;0.0146;;;0.0092;;65;9;12;-30;45;-1.5;4.8;image/mosfets/75561.png;Datasheet/mosfets/SQJA37EP/SQJA37EP.pdf;None
SQJA38EP;Enlarge;Single;PowerPAK SO-8L;N;40;20;;;;;;0.0048;;;0.0039;;48.2;7.1;8;60;68;1.4;1.1;image/mosfets/75309.png;Datasheet/mosfets/SQJA38EP/SQJA38EP.pdf;Datasheet/mosfets/SQJA38EP/SQJA38EP.zip
SQJA42EP;Enlarge;Single;PowerPAK SO-8L;N;40;20;;;;;;0.01173;;;0.0094;;22;3.5;3.9;20;27;1.3;3.49;image/mosfets/75531.png;Datasheet/mosfets/SQJA42EP/SQJA42EP.pdf;Datasheet/mosfets/SQJA42EP/SQJA42EP.zip
SQJA60EP;Enlarge;Single;PowerPAK SO-8L;N;60;20;;;;;;0.016;;;0.0125;;18;3.4;2.5;30;45;1.5;0.47;image/mosfets/77398.png;Datasheet/mosfets/SQJA60EP/SQJA60EP.pdf;Datasheet/mosfets/SQJA60EP/SQJA60EP.zip
SQJA61EP;Enlarge;Single;PowerPAK SO-8L;P;-60;20;;;;;;0.0225;;;0.0121;;48;13;6.3;-54.5;68;-1.5;0.8;image/mosfets/76888.png;Datasheet/mosfets/SQJA61EP/SQJA61EP.pdf;None
SQJA62EP;Enlarge;Single;PowerPAK SO-8L;N;60;20;;;;;;0.0062;;;0.0045;;55;12;8;75;68;1.5;0.43;image/mosfets/75519.png;Datasheet/mosfets/SQJA62EP/SQJA62EP.pdf;Datasheet/mosfets/SQJA62EP/SQJA62EP.zip
SQJA64EP;Enlarge;Single;PowerPAK SO-8L;N;60;20;;;;;;;;;0.032;;7.6;2.4;1.1;15;45;2.5;1.1;image/mosfets/77266.png;Datasheet/mosfets/SQJA64EP/SQJA64EP.pdf;None
SQJA66EP;Enlarge;Single;PowerPAK SO-8L;N;60;20;;;;;;;;;0.003;;64.9;17.4;14.9;75;68;2.3;0.52;image/mosfets/75101.png;Datasheet/mosfets/SQJA66EP/SQJA66EP.pdf;Datasheet/mosfets/SQJA66EP/SQJA66EP.zip
SQJA68EP;Enlarge;Single;PowerPAK SO-8L;N;100;20;;;;;;0.117;;;0.092;;4.7;0.8;1.3;14;45;1.5;4;image/mosfets/75017.png;Datasheet/mosfets/SQJA68EP/SQJA68EP.pdf;Datasheet/mosfets/SQJA68EP/SQJA68EP.zip
SQJA70EP;Enlarge;Single;PowerPAK SO-8L;N;100;20;;;;;;;;;0.095;;4;1;1.25;14.7;45;2.5;4.9;image/mosfets/75246.png;Datasheet/mosfets/SQJA70EP/SQJA70EP.pdf;None
SQJA72EP;Enlarge;Single;PowerPAK SO-8L;N;100;20;;;;;;0.0235;;;0.019;;20;3;5;37;55;1.5;1.4;image/mosfets/75564.png;Datasheet/mosfets/SQJA72EP/SQJA72EP.pdf;Datasheet/mosfets/SQJA72EP/SQJA72EP.zip
SQJA76EP;Enlarge;Single;PowerPAK SO-8L;N;40;20;;;;;;;;;0.0024;;66;17;14;75;68;2.5;0.76;image/mosfets/67439.png;Datasheet/mosfets/SQJA76EP/SQJA76EP.pdf;Datasheet/mosfets/SQJA76EP/SQJA76EP.zip
SQJA78EP;Enlarge;Single;PowerPAK SO-8L;N;80;20;;;;;;;;;0.0053;;62;16;13;72;68;2.3;0.52;image/mosfets/75095.png;Datasheet/mosfets/SQJA78EP/SQJA78EP.pdf;None
SQJA80EP;Enlarge;Single;PowerPAK SO-8L;N;80;20;;;;;;0.01;;;0.007;;40;8;6;60;68;1.5;0.41;image/mosfets/75658.png;Datasheet/mosfets/SQJA80EP/SQJA80EP.pdf;Datasheet/mosfets/SQJA80EP/SQJA80EP.zip
SQJA81EP;Enlarge;Single;PowerPAK SO-8L;P;-80;20;;;;;;0.0265;;;0.0173;;52;13;5;-46;68;-1.5;1;image/mosfets/75618.png;Datasheet/mosfets/SQJA81EP/SQJA81EP.pdf;None
SQJA82EP;Enlarge;Single;PowerPAK SO-8L;N;80;20;;;;;;0.0112;;;0.0082;;40;8.5;5.5;60;68;1.5;0.43;image/mosfets/76110.png;Datasheet/mosfets/SQJA82EP/SQJA82EP.pdf;Datasheet/mosfets/SQJA82EP/SQJA82EP.zip
SQJA84EP;Enlarge;Single;PowerPAK SO-8L;N;80;20;;;;;;0.016;;;0.0125;;21;4;3;46;55;1.5;0.4;image/mosfets/77344.png;Datasheet/mosfets/SQJA84EP/SQJA84EP.pdf;Datasheet/mosfets/SQJA84EP/SQJA84EP.zip
SQJA86EP;Enlarge;Single;PowerPAK SO-8L;N;80;20;;;;;;0.024;;;0.019;;20;3.6;3.2;30;48;1.5;0.49;image/mosfets/77326.png;Datasheet/mosfets/SQJA86EP/SQJA86EP.pdf;Datasheet/mosfets/SQJA86EP/SQJA86EP.zip
SQJA88EP;Enlarge;Single;PowerPAK SO-8L;N;40;20;;;;;;0.0097;;;0.007;;21;5;3;30;48;1.5;1.3;image/mosfets/68550.png;Datasheet/mosfets/SQJA88EP/SQJA88EP.pdf;Datasheet/mosfets/SQJA88EP/SQJA88EP.zip
SQJA90EP;Enlarge;Single;PowerPAK SO-8L;N;80;20;;;;;;;;;0.0076;;36;10;6;60;68;2.5;0.39;image/mosfets/75345.png;Datasheet/mosfets/SQJA90EP/SQJA90EP.pdf;None
SQJA92EP;Enlarge;Single;PowerPAK SO-8L;N;80;20;;;;;;;;;0.0095;;30;9;5;57;68;2.5;0.45;image/mosfets/77323.png;Datasheet/mosfets/SQJA92EP/SQJA92EP.pdf;Datasheet/mosfets/SQJA92EP/SQJA92EP.zip
SQJA94EP;Enlarge;Single;PowerPAK SO-8L;N;80;20;;;;;;;;;0.0135;;20;6;3;46;55;2.5;0.37;image/mosfets/77402.png;Datasheet/mosfets/SQJA94EP/SQJA94EP.pdf;None
SQJA96EP;Enlarge;Single;PowerPAK SO-8L;N;80;20;;;;;;;;;0.0215;;14;4;3;30;48;2.5;0.48;image/mosfets/77371.png;Datasheet/mosfets/SQJA96EP/SQJA96EP.pdf;Datasheet/mosfets/SQJA96EP/SQJA96EP.zip
SQJB00EP;Enlarge;Dual;PowerPAK SO-8L;N;60;20;;;;;;;;;0.013;;20;6;3;30;48;2.5;0.51;image/mosfets/77347.png;Datasheet/mosfets/SQJB00EP/SQJB00EP.pdf;Datasheet/mosfets/SQJB00EP/SQJB00EP.zip
SQJB02ELP;Enlarge;Dual;PowerPAK SO-8L;N;40;20;;;;;;0.01;;;0.0075;;21;3.5;3.5;30;27;1.2;2.62;image/mosfets/77774.png;Datasheet/mosfets/SQJB02ELP/SQJB02ELP.pdf;None
SQJB04ELP;Enlarge;Dual;PowerPAK SO-8L;N;40;20;;;;;;0.0146;;;0.011;;13.1;2.4;2.1;30;27;1.2;3.33;image/mosfets/75582.png;Datasheet/mosfets/SQJB04ELP/SQJB04ELP.pdf;Datasheet/mosfets/SQJB04ELP/SQJB04ELP.zip
SQJB40EP;Enlarge;Dual;PowerPAK SO-8L;N;40;20;;;;;;0.011;;;0.008;;20;4.3;2.5;30;34;1.2;0.74;image/mosfets/75213.png;Datasheet/mosfets/SQJB40EP/SQJB40EP.pdf;Datasheet/mosfets/SQJB40EP/SQJB40EP.zip
SQJB42EP;Enlarge;Dual;PowerPAK SO-8L;N;40;20;;;;;;;;;0.0095;;17;5;3;30;48;2.5;0.64;image/mosfets/76245.png;Datasheet/mosfets/SQJB42EP/SQJB42EP.pdf;Datasheet/mosfets/SQJB42EP/SQJB42EP.zip
SQJB44EP;Enlarge;Dual;PowerPAK SO-8L;N;40;20;;;;;;0.007;;;0.0052;;33.5;5.7;5.5;30;48;1.2;1.55;image/mosfets/75045.png;Datasheet/mosfets/SQJB44EP/SQJB44EP.pdf;None
SQJB46ELP;Enlarge;Dual;PowerPAK SO-8L;N;40;20;;;;;;0.01;;;0.008;;26;4.3;4.3;30;34;1.2;2.54;image/mosfets/71828.png;Datasheet/mosfets/SQJB46ELP/SQJB46ELP.pdf;Datasheet/mosfets/SQJB46ELP/SQJB46ELP.zip
SQJB46EP;Enlarge;Dual;PowerPAK SO-8L;N;40;20;;;;;;;;;0.008;;21;5.8;4.5;30;34;2.3;2.54;image/mosfets/68443.png;Datasheet/mosfets/SQJB46EP/SQJB46EP.pdf;Datasheet/mosfets/SQJB46EP/SQJB46EP.zip
SQJB48EP;Enlarge;Dual;PowerPAK SO-8L;N;40;20;;;;;;;;;0.0052;;25.3;7.3;5.1;30;48;2.3;1.84;image/mosfets/79384.png;Datasheet/mosfets/SQJB48EP/SQJB48EP.pdf;None
SQJB60EP;Enlarge;Dual;PowerPAK SO-8L;N;60;20;;;;;;0.016;;;0.012;;18;3.5;2.5;30;48;1.5;0.52;image/mosfets/66837.png;Datasheet/mosfets/SQJB60EP/SQJB60EP.pdf;None
SQJB68EP;Enlarge;Dual;PowerPAK SO-8L;N;100;20;;;;;;0.117;;;0.092;;4.7;0.8;1.3;11;27;1.5;4;image/mosfets/62161.png;Datasheet/mosfets/SQJB68EP/SQJB68EP.pdf;Datasheet/mosfets/SQJB68EP/SQJB68EP.zip
SQJB70EP;Enlarge;Dual;PowerPAK SO-8L;N;100;20;;;;;;;;;0.095;;4;1;1.25;11.3;27;2.5;4.9;image/mosfets/62252.png;Datasheet/mosfets/SQJB70EP/SQJB70EP.pdf;Datasheet/mosfets/SQJB70EP/SQJB70EP.zip
SQJB80EP;Enlarge;Dual;PowerPAK SO-8L;N;80;20;;;;;;0.024;;;0.019;;20;3.6;3.2;30;48;1.5;0.46;image/mosfets/62201.png;Datasheet/mosfets/SQJB80EP/SQJB80EP.pdf;None
SQJB90EP;Enlarge;Dual;PowerPAK SO-8L;N;80;20;;;;;;;;;0.0215;;14;4;3;30;48;2.5;0.41;image/mosfets/78005.png;Datasheet/mosfets/SQJB90EP/SQJB90EP.pdf;None
SQJQ100E;Enlarge;Single;PowerPAK 8 x 8L;N;40;20;;;;;;;;;0.0015;;125;35;13;200;150;2.5;0.99;image/mosfets/77936.png;Datasheet/mosfets/SQJQ100E/SQJQ100E.pdf;Datasheet/mosfets/SQJQ100E/SQJQ100E.zip
SQJQ100EL;Enlarge;Single;PowerPAK 8 x 8L;N;40;20;;;;;;0.0015;;;0.0012;;140;30;20;200;150;1.5;0.99;image/mosfets/79764.png;Datasheet/mosfets/SQJQ100EL/SQJQ100EL.pdf;Datasheet/mosfets/SQJQ100EL/SQJQ100EL.zip
SQJQ112E;Enlarge;Single;PowerPAK 8 x 8L;N;100;20;;;;;;;;;0.00253;;181;48;37;296;600;2;1.5;image/mosfets/66836.png;Datasheet/mosfets/SQJQ112E/SQJQ112E.pdf;None
SQJQ112ER;Enlarge;Single;PowerPAK 8 x 8LR;N;100;20;;;;;;;;;0.00253;;181;48;37;296;600;2;1.5;image/mosfets/77935.png;Datasheet/mosfets/SQJQ112ER/SQJQ112ER.pdf;None
SQJQ114EL;Enlarge;Single;PowerPAK 8 x 8L;N;100;20;;;;;;0.0062;;;0.0055;;102;20;14;136;277;1.4;1.1;image/mosfets/77320.png;Datasheet/mosfets/SQJQ114EL/SQJQ114EL.pdf;None
SQJQ116EL;Enlarge;Single;PowerPAK 8 x 8L;N;100;20;;;;;;0.0103;;;0.0092;;70;13;12;61;91;1.4;1;image/mosfets/62132.png;Datasheet/mosfets/SQJQ116EL/SQJQ116EL.pdf;None
SQJQ118ER;Enlarge;Single;PowerPAK 8 x 8LR;N;100;20;;;;;;;;;0.0036;;122;30;26;105;107;2;1.1;image/mosfets/77170.png;Datasheet/mosfets/SQJQ118ER/SQJQ118ER.pdf;None
SQJQ130EL;Enlarge;Single;PowerPAK 8 x 8L;N;30;20;;;;;;0.0007;;;0.00052;;310;53;56;445;600;1.5;1.9;image/mosfets/79349.png;Datasheet/mosfets/SQJQ130EL/SQJQ130EL.pdf;None
SQJQ131EL;Enlarge;Single;PowerPAK 8 x 8L;P;-30;20;;;;;;0.0022;;;0.0014;;487;86;82;-280;600;-1.5;2.1;image/mosfets/62374.png;Datasheet/mosfets/SQJQ131EL/SQJQ131EL.pdf;None
SQJQ140E;Enlarge;Single;PowerPAK 8 x 8L;N;40;20;;;;;;;;;0.00053;;192;55;41;701;600;2.3;1.6;image/mosfets/77269.png;Datasheet/mosfets/SQJQ140E/SQJQ140E.pdf;None
SQJQ140ER;Enlarge;Single;PowerPAK 8 x 8LR;N;40;20;;;;;;;;;0.00065;;192;58;39;413;214;2.3;1.6;image/mosfets/66839.png;Datasheet/mosfets/SQJQ140ER/SQJQ140ER.pdf;None
SQJQ141EL;Enlarge;Single;PowerPAK 8 x 8L;P;-40;20;;;;;;0.0029;;;0.002;;487;89;82;-390;600;-1.5;2.2;image/mosfets/77649.png;Datasheet/mosfets/SQJQ141EL/SQJQ141EL.pdf;None
SQJQ142E;Enlarge;Single;PowerPAK 8 x 8L;N;40;20;;;;;;;;;0.00124;;92;26;20.1;345;277;2;1.59;image/mosfets/63059.png;Datasheet/mosfets/SQJQ142E/SQJQ142E.pdf;None
SQJQ142ER;Enlarge;Single;PowerPAK 8 x 8LR;N;40;20;;;;;;;;;0.00124;;92;26;20.1;345;277;2;1.59;image/mosfets/62138.png;Datasheet/mosfets/SQJQ142ER/SQJQ142ER.pdf;None
SQJQ144AE;Enlarge;Single;PowerPAK 8 x 8L;N;40;20;;;;;;;;;0.0009;;116;36;25;575;600;2;1.6;image/mosfets/62379.png;Datasheet/mosfets/SQJQ144AE/SQJQ144AE.pdf;None
SQJQ144AER;Enlarge;Single;PowerPAK 8 x 8LR;N;40;20;;;;;;;;;0.0009;;116;36;25;575;600;2;1.6;image/mosfets/62412.png;Datasheet/mosfets/SQJQ144AER/SQJQ144AER.pdf;None
SQJQ146E;Enlarge;Single;PowerPAK 8 x 8L;N;40;20;;;;;;;;;0.0007;;159;49;33;487;300;2.2;1.6;image/mosfets/77102.png;Datasheet/mosfets/SQJQ146E/SQJQ146E.pdf;None
SQJQ148E;Enlarge;Single;PowerPAK 8 x 8L;N;40;20;;;;;;;;;0.0016;;69;35;24;375;325;2;1.6;image/mosfets/71298.png;Datasheet/mosfets/SQJQ148E/SQJQ148E.pdf;None
SQJQ148ER;Enlarge;Single;PowerPAK 8 x 8LR;N;40;20;;;;;;;;;0.0015;;68;20;15;372;394;2;1.6;image/mosfets/62006.png;Datasheet/mosfets/SQJQ148ER/SQJQ148ER.pdf;None
SQJQ150E;Enlarge;Single;PowerPAK 8 x 8L;N;40;20;;;;;;;;;0.0019;;61;17;17;233;187;2;1.7;image/mosfets/66838.png;Datasheet/mosfets/SQJQ150E/SQJQ150E.pdf;None
SQJQ160E;Enlarge;Single;PowerPAK 8 x 8L;N;60;20;;;;;;;;;0.00085;;183;53;42;602;600;2;1.4;image/mosfets/62748.png;Datasheet/mosfets/SQJQ160E/SQJQ160E.pdf;Datasheet/mosfets/SQJQ160E/SQJQ160E.zip
SQJQ160EL;Enlarge;Single;PowerPAK 8 x 8L;N;60;20;;;;;;0.0011;;;0.0008;;206;42;31;461;348;1.5;1.6;image/mosfets/76570.png;Datasheet/mosfets/SQJQ160EL/SQJQ160EL.pdf;None
SQJQ160ER;Enlarge;Single;PowerPAK 8 x 8LR;N;60;20;;;;;;;;;0.0008;;169;48;34;363;214;2;1.6;image/mosfets/76643.png;Datasheet/mosfets/SQJQ160ER/SQJQ160ER.pdf;Datasheet/mosfets/SQJQ160ER/SQJQ160ER.zip
SQJQ181EL;Enlarge;Single;PowerPAK 8 x 8L;P;-80;20;;;;;;0.0075;;;0.0055;;153;39;20;-175;348;-1.5;1.8;image/mosfets/75138.png;Datasheet/mosfets/SQJQ181EL/SQJQ181EL.pdf;Datasheet/mosfets/SQJQ181EL/SQJQ181EL.zip
SQJQ184E;Enlarge;Single;PowerPAK 8 x 8L;N;80;20;;;;;;;;;0.0014;;181;51;36;430;600;2;1.3;image/mosfets/76718.png;Datasheet/mosfets/SQJQ184E/SQJQ184E.pdf;None
SQJQ184ER;Enlarge;Single;PowerPAK 8 x 8L Reverse;N;80;20;;;;;;;;;0.0014;;183;47;85;430;600;2;1.3;image/mosfets/62796.png;Datasheet/mosfets/SQJQ184ER/SQJQ184ER.pdf;None
SQJQ186E;Enlarge;Single;PowerPAK 8 x 8L;N;80;20;;;;;;;;;0.0023;;123;36;26;245;357;2.5;1.3;image/mosfets/68442.png;Datasheet/mosfets/SQJQ186E/SQJQ186E.pdf;None
SQJQ186ER;Enlarge;Single;PowerPAK 8 x 8LR;N;80;20;;;;;;;;;0.0023;;123;36;26;329;600;2.5;1.3;image/mosfets/76026.png;Datasheet/mosfets/SQJQ186ER/SQJQ186ER.pdf;Datasheet/mosfets/SQJQ186ER/SQJQ186ER.zip
SQJQ402E;Enlarge;Single;PowerPAK 8 x 8L;N;40;20;;;;;;0.002;;;0.0017;;169;32;29;200;150;1.5;1.3;image/mosfets/63004.png;Datasheet/mosfets/SQJQ402E/SQJQ402E.pdf;None
SQJQ404E;Enlarge;Single;PowerPAK 8 x 8L;N;40;20;;;;;;;;;0.00172;;175;46;27;200;150;2.5;0.91;image/mosfets/77854.png;Datasheet/mosfets/SQJQ404E/SQJQ404E.pdf;None
SQJQ410EL;Enlarge;Single;PowerPAK 8 x 8L;N;100;20;;;;;;0.004;;;0.0034;;97;15;20;135;136;1.5;1.92;image/mosfets/76020.png;Datasheet/mosfets/SQJQ410EL/SQJQ410EL.pdf;Datasheet/mosfets/SQJQ410EL/SQJQ410EL.zip
SQJQ466E;Enlarge;Single;PowerPAK 8 x 8L;N;60;20;;;;;;;;;0.0019;;135;47;14;200;150;2.5;0.9;image/mosfets/76465.png;Datasheet/mosfets/SQJQ466E/SQJQ466E.pdf;Datasheet/mosfets/SQJQ466E/SQJQ466E.zip
SQJQ480E;Enlarge;Single;PowerPAK 8 x 8L;N;80;20;;;;;;;;;0.003;;82;11;21;150;136;2.5;0.8;image/mosfets/76456.png;Datasheet/mosfets/SQJQ480E/SQJQ480E.pdf;None
SQJQ900E;Enlarge;Dual;PowerPAK 8 x 8L;N;40;20;;;;;;0.0047;;;0.0039;;85;10;12;100;75;1.5;1.5;image/mosfets/62769.png;Datasheet/mosfets/SQJQ900E/SQJQ900E.pdf;Datasheet/mosfets/SQJQ900E/SQJQ900E.zip
SQJQ904E;Enlarge;Dual;PowerPAK 8 x 8L;N;40;20;;;;;;;;;0.0034;;60;16;5;100;75;2.5;1;image/mosfets/67027.png;Datasheet/mosfets/SQJQ904E/SQJQ904E.pdf;Datasheet/mosfets/SQJQ904E/SQJQ904E.zip
SQJQ910EL;Enlarge;Dual;PowerPAK 8 x 8L;N;100;20;;;;;;0.0114;;;0.0086;;46;7;10;70;187;1.5;1.9;image/mosfets/75583.png;Datasheet/mosfets/SQJQ910EL/SQJQ910EL.pdf;Datasheet/mosfets/SQJQ910EL/SQJQ910EL.zip
SQJQ936E;Enlarge;Dual;PowerPAK 8 x 8L;N;40;20;;;;;;;;;0.0023;;75;22;16;100;75;2.5;1.9;image/mosfets/75035.png;Datasheet/mosfets/SQJQ936E/SQJQ936E.pdf;Datasheet/mosfets/SQJQ936E/SQJQ936E.zip
SQJQ936EL;Enlarge;Dual;PowerPAK 8 x 8L;N;40;20;;;;;;0.0027;;;0.0023;;98;16;17;100;75;1.5;1.6;image/mosfets/68838.png;Datasheet/mosfets/SQJQ936EL/SQJQ936EL.pdf;Datasheet/mosfets/SQJQ936EL/SQJQ936EL.zip
SQJQ960EL;Enlarge;Dual;PowerPAK 8 x 8L;N;60;20;;;;;;0.013;;;0.009;;19;4;2;63;71;1.5;1.6;image/mosfets/62784.png;Datasheet/mosfets/SQJQ960EL/SQJQ960EL.pdf;Datasheet/mosfets/SQJQ960EL/SQJQ960EL.zip
SQJQ980EL;Enlarge;Dual;PowerPAK 8 x 8L;N;80;20;;;;;;0.017;;;0.0135;;26;5;4;36;187;1.5;1.1;image/mosfets/63319.png;Datasheet/mosfets/SQJQ980EL/SQJQ980EL.pdf;Datasheet/mosfets/SQJQ980EL/SQJQ980EL.zip
SQM100N02-3m5L;Enlarge;Single;TO-263;N;20;20;;;;;;0.0045;;;0.0035;;70;21;11;100;150;1.5;2.3;image/mosfets/67333.png;Datasheet/mosfets/SQM100N02-3m5L/SQM100N02-3m5L.pdf;None
SQM100N04-2m7;Enlarge;Single;TO-263;N;40;20;;;;;;;;;0.0027;;95.5;25.5;14.7;100;157;2.5;1.48;image/mosfets/63811.png;Datasheet/mosfets/SQM100N04-2m7/SQM100N04-2m7.pdf;Datasheet/mosfets/SQM100N04-2m7/SQM100N04-2m7.zip
SQM100N10-10;Enlarge;Single;TO-263;N;100;20;;;;;;0.012;;;0.0105;;122;23;28;100;375;1.5;1.41;image/mosfets/65729.png;Datasheet/mosfets/SQM100N10-10/SQM100N10-10.pdf;Datasheet/mosfets/SQM100N10-10/SQM100N10-10.zip
SQM100P10-19L;Enlarge;Single;TO-263;P;-100;20;;;;;;0.0222;;;0.019;;220;37;51;-93;375;-1.5;2.2;image/mosfets/63810.png;Datasheet/mosfets/SQM100P10-19L/SQM100P10-19L.pdf;Datasheet/mosfets/SQM100P10-19L/SQM100P10-19L.zip
SQM10250E;Enlarge;Single;TO-263;N;250;20;;;;;;;;;0.03;;50;12;15;65;375;2.5;2.84;image/mosfets/67065.png;Datasheet/mosfets/SQM10250E/SQM10250E.pdf;Datasheet/mosfets/SQM10250E/SQM10250E.zip
SQM110N05-06L;Enlarge;Single;TO-263;N;55;20;;;;;;0.01;;;0.006;;73;14.5;16.8;110;157;1.5;1.2;image/mosfets/63814.png;Datasheet/mosfets/SQM110N05-06L/SQM110N05-06L.pdf;Datasheet/mosfets/SQM110N05-06L/SQM110N05-06L.zip
SQM110P06-8m9L;Enlarge;Single;TO-263;P;-60;20;;;;;;0.0132;;;0.0089;;130;25;33;-110;230;-1.5;2.6;image/mosfets/63404.png;Datasheet/mosfets/SQM110P06-8m9L/SQM110P06-8m9L.pdf;Datasheet/mosfets/SQM110P06-8m9L/SQM110P06-8m9L.zip
SQM120N02-1m3L;Enlarge;Single;TO-263;N;20;20;;;;;;0.0017;;;0.0013;;192;27;31;120;375;1.5;1.1;image/mosfets/67047.png;Datasheet/mosfets/SQM120N02-1m3L/SQM120N02-1m3L.pdf;Datasheet/mosfets/SQM120N02-1m3L/SQM120N02-1m3L.zip
SQM120N03-1m5L;Enlarge;Single;TO-263;N;30;20;;;;;;0.002;;;0.0015;;179;34;21;120;375;1.5;1.19;image/mosfets/67026.png;Datasheet/mosfets/SQM120N03-1m5L/SQM120N03-1m5L.pdf;Datasheet/mosfets/SQM120N03-1m5L/SQM120N03-1m5L.zip
SQM120N04-1m7;Enlarge;Single;TO-263;N;40;20;;;;;;;;;0.0017;;206;50;44;120;375;2.5;1.14;image/mosfets/76943.png;Datasheet/mosfets/SQM120N04-1m7/SQM120N04-1m7.pdf;Datasheet/mosfets/SQM120N04-1m7/SQM120N04-1m7.zip
SQM120N04-1m7L;Enlarge;Single;TO-263;N;40;20;;;;;;0.002;;;0.0017;;190;29;27;120;375;1.5;1.07;image/mosfets/72148.png;Datasheet/mosfets/SQM120N04-1m7L/SQM120N04-1m7L.pdf;Datasheet/mosfets/SQM120N04-1m7L/SQM120N04-1m7L.zip
SQM120N04-1m9;Enlarge;Single;TO-263;N;40;20;;;;;;;;;0.0019;;180;44;40;120;300;2.5;9.13;image/mosfets/76633.png;Datasheet/mosfets/SQM120N04-1m9/SQM120N04-1m9.pdf;Datasheet/mosfets/SQM120N04-1m9/SQM120N04-1m9.zip
SQM120N06-06;Enlarge;Single;TO-263;N;60;20;;;;;;;;;0.006;;96.5;24.6;27.2;120;230;2.5;1;image/mosfets/66742.png;Datasheet/mosfets/SQM120N06-06/SQM120N06-06.pdf;Datasheet/mosfets/SQM120N06-06/SQM120N06-06.zip
SQM120N06-3m5L;Enlarge;Single;TO-263;N;60;20;;;;;;0.0039;;;0.0035;;220;35;35;120;375;1.5;1.3;image/mosfets/69430.png;Datasheet/mosfets/SQM120N06-3m5L/SQM120N06-3m5L.pdf;Datasheet/mosfets/SQM120N06-3m5L/SQM120N06-3m5L.zip
