Series;Product Image;Configuration;Package;Ch;VDS(V);VGS(V);RDS(on)@1.2V(Ω);RDS(on)1.5V(Ω);RDS(on)@1.8V(Ω);RDS(on)@2.5V(Ω);RDS(on)@3V(Ω);RDS(on)@4.5V(Ω);RDS(on)@6V(Ω);RDS(on)@7.5V(Ω);RDS(on)@10V(Ω);Qg@4.5V(nC);Qg@10V(nC);Qgs(nC);Qgd(nC);IDMax.(A);PDMax.(W);VGS(th)Min.(V);RgTyp.(Ω);Image path;Datasheet part;3d model part
SiR188DP;Enlarge;Single;PowerPAK SO-8;N;60;20;;;;;;;;0.0049;0.00385;;29;6.8;5;60;65.7;2;0.9;image/mosfets/63176.png;Datasheet/mosfets/SiR188DP/SiR188DP.pdf;Datasheet/mosfets/SiR188DP/SiR188DP.zip
SiR188LDP;Enlarge;Single;PowerPAK SO-8;N;60;20;;;;;;0.0052;;;0.00375;16;34.6;7.3;3.7;93.6;65.7;1;0.85;image/mosfets/63234.png;Datasheet/mosfets/SiR188LDP/SiR188LDP.pdf;None
SiR402DP;;Single;PowerPAK SO-8;N;30;20;;;;;;0.008;;;0.006;12;28;5.4;4.6;35;36;1;1.2;image/mosfets/63179.png;Datasheet/mosfets/SiR402DP/SiR402DP.pdf;None
SiR403EDP;Enlarge;Single;PowerPAK SO-8;P;-30;25;;;;;;0.0115;0.0082;;0.0065;;102;16;28;-40;56.8;-1.2;1.3;image/mosfets/63185.png;Datasheet/mosfets/SiR403EDP/SiR403EDP.pdf;None
SiR404DP;Enlarge;Single;PowerPAK SO-8;N;20;12;;;;0.00225;;0.00175;;;0.0016;64.5;;11.4;12.1;60;104;0.6;1;image/mosfets/63252.png;Datasheet/mosfets/SiR404DP/SiR404DP.pdf;Datasheet/mosfets/SiR404DP/SiR404DP.zip
SiR410DP;Enlarge;Single;PowerPAK SO-8;N;20;20;;;;;;0.0063;;;0.0048;16.7;27;4.5;3.5;35;36;1.2;1.3;image/mosfets/62900.png;Datasheet/mosfets/SiR410DP/SiR410DP.pdf;None
SiR414DP;Enlarge;Single;PowerPAK SO-8;N;40;20;;;;;;0.0032;;;0.0028;38;78;13;11;50;83;1;0.7;image/mosfets/62003.png;Datasheet/mosfets/SiR414DP/SiR414DP.pdf;None
SiR4156LDP;Enlarge;Single;PowerPAK SO-8;N;100;20;;;;;;0.033;;;0.0295;8.8;19.5;4.5;1.8;25.7;43;1;0.9;image/mosfets/75465.png;Datasheet/mosfets/SiR4156LDP/SiR4156LDP.pdf;None
SiR416DP;Enlarge;Single;PowerPAK SO-8;N;40;20;;;;;;0.0042;;;0.0038;28.2;59;7.7;9;50;69;1.2;1.1;image/mosfets/67904.png;Datasheet/mosfets/SiR416DP/SiR416DP.pdf;None
SiR424DP;;Single;PowerPAK SO-8;N;20;20;;;;;;0.0074;;;0.0055;9.6;22;3.5;2.9;30;41.7;1;1;image/mosfets/75831.png;Datasheet/mosfets/SiR424DP/SiR424DP.pdf;None
SiR426DP;;Single;PowerPAK SO-8;N;40;20;;;;;;0.0125;;;0.0105;9.3;20.5;3.1;2.5;30;41.7;1.2;0.8;image/mosfets/76681.png;Datasheet/mosfets/SiR426DP/SiR426DP.pdf;None
