Part Number;Product Image;Package;VCEO(V);CTR Min.(1)%;CTR Max.(1)%;Forward Current IF(mA);ton/toff(µs);Operating Temperature(°C);Isolation Voltage VISOVRMS;Safety Standard(s);Image path;Datasheet part;3d model part
SFH615A;Enlarge;SMD-4;70;13;320;10;3, 2.3;-55 to +100;4470 5300;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\83433.png;Datasheet\optocouplers\SFH615A\SFH615A.pdf;Datasheet\optocouplers\SFH615A\SFH615A.zip
SFH615A-3X018T, SFH615A-4X018T;Enlarge;SMD-4;70;34;320;10;3, 2.3;-55 to +100;4420 5300;UL, cUL, VDE, BSI, FIMKO;image/optocouplers\84185.png;Datasheet\optocouplers\SFH615A-3X018T, SFH615A-4X018T\SFH615A-3X018T, SFH615A-4X018T.pdf;Datasheet\optocouplers\SFH615A-3X018T, SFH615A-4X018T\SFH615A-3X018T, SFH615A-4X018T.zip
SFH615AA, SFH615AGB, SFH615AGR, SFH615AY;Enlarge;DIP-4;70;50;600;5;2, 25;-55 to +100;5300;UL, cUL, VDE, CQC, BSI, FIMKO;image/optocouplers\83672.png;Datasheet\optocouplers\SFH615AA, SFH615AGB, SFH615AGR, SFH615AY\SFH615AA, SFH615AGB, SFH615AGR, SFH615AY.pdf;None
SFH615AA, SFH615AGB, SFH615AGR, SFH615AY;Enlarge;SMD-4;70;50;600;5;2, 25;-55 to +100;5300;UL, cUL, VDE, CQC, BSI, FIMKO;image/optocouplers\83672.png;Datasheet\optocouplers\SFH615AA, SFH615AGB, SFH615AGR, SFH615AY\SFH615AA, SFH615AGB, SFH615AGR, SFH615AY.pdf;None
SFH617A;Enlarge;DIP-4;70;13;320;10;3, 2.3;- 55 to + 110;4470 5300;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\83740.png;Datasheet\optocouplers\SFH617A\SFH617A.pdf;Datasheet\optocouplers\SFH617A\SFH617A.zip
SFH617A;Enlarge;DIP-4, 400 mil;70;13;320;10;3, 2.3;- 55 to + 110;4470 5300;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\83740.png;Datasheet\optocouplers\SFH617A\SFH617A.pdf;Datasheet\optocouplers\SFH617A\SFH617A.zip
SFH617A;Enlarge;SMD-4;70;13;320;10;3, 2.3;- 55 to + 110;4470 5300;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\83740.png;Datasheet\optocouplers\SFH617A\SFH617A.pdf;Datasheet\optocouplers\SFH617A\SFH617A.zip
SFH618A, SFH6186;Enlarge;DIP-4;55;32;500;1;6, 5.5;-55 to +100;4420 5300;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers\83673.png;Datasheet\optocouplers\SFH618A, SFH6186\SFH618A, SFH6186.pdf;Datasheet\optocouplers\SFH618A, SFH6186\SFH618A, SFH6186.zip
SFH618A, SFH6186;Enlarge;DIP-4, 400 mil;55;32;500;1;6, 5.5;-55 to +100;4420 5300;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers\83673.png;Datasheet\optocouplers\SFH618A, SFH6186\SFH618A, SFH6186.pdf;Datasheet\optocouplers\SFH618A, SFH6186\SFH618A, SFH6186.zip
SFH618A, SFH6186;Enlarge;SMD-4;55;32;500;1;6, 5.5;-55 to +100;4420 5300;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers\83673.png;Datasheet\optocouplers\SFH618A, SFH6186\SFH618A, SFH6186.pdf;Datasheet\optocouplers\SFH618A, SFH6186\SFH618A, SFH6186.zip
SFH640;Enlarge;DIP-6;300;22;200;10;4, 5;-55 to +115;5000;UL, cUL, VDE, CQC, CQC;image/optocouplers\83682.png;Datasheet\optocouplers\SFH640\SFH640.pdf;Datasheet\optocouplers\SFH640\SFH640.zip
SFH640;Enlarge;SMD-6;300;22;200;10;4, 5;-55 to +115;5000;UL, cUL, VDE, CQC, CQC;image/optocouplers\83682.png;Datasheet\optocouplers\SFH640\SFH640.pdf;Datasheet\optocouplers\SFH640\SFH640.zip
SFH690AB, SFH690A, SFH690B, SFH690C, SFH690D;Enlarge;SOP-4;70;50;400;5;5, 3;- 55 to + 100;3750;UL, cUL, VDE, BSI, CQC, CQC, F;image/optocouplers\83686.png;Datasheet\optocouplers\SFH690AB, SFH690A, SFH690B, SFH690C, SFH690D\SFH690AB, SFH690A, SFH690B, SFH690C, SFH690D.pdf;None
SFH6916;Enlarge;SSOP-16;70;50;300;5;9.5, 8.5;-55 to +100;3750;UL, cUL, VDE, BSI, CQC, CQC, F;image/optocouplers\83687.png;Datasheet\optocouplers\SFH6916\SFH6916.pdf;Datasheet\optocouplers\SFH6916\SFH6916.zip
TCET1100, TCET1100G;Enlarge;DIP-4;70;13;600;5, 10;6, 5;-40 to +100;5000;UL, cUL, VDE, BSI, CQC, CQC;image/optocouplers\83503.png;Datasheet\optocouplers\TCET1100, TCET1100G\TCET1100, TCET1100G.pdf;None
TCET111., TCET111.G;Enlarge;DIP-4;70;22;600;5, 10;6, 5;-40 to +110;5000;UL, cUL, VDE, BSI;image/optocouplers\83546.png;Datasheet\optocouplers\TCET111., TCET111.G\TCET111., TCET111.G.pdf;None
TCET1201, TCET1202, TCET1203, TCET1204;Enlarge;DIP-4;70;40;600;5, 10;6, 5;-40 to +100;5000;UL, cUL, VDE, BSI, CQC, CQC;image/optocouplers\83501.png;Datasheet\optocouplers\TCET1201, TCET1202, TCET1203, TCET1204\TCET1201, TCET1202, TCET1203, TCET1204.pdf;None
TCLT100. Series;Enlarge;SOP-4L;70;13;600;5, 10;6, 5;-55 to +100;5000;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\83515.png;Datasheet\optocouplers\TCLT100. Series\TCLT100. Series.pdf;None
TCLT101. Series;Enlarge;LSOP-4;70;13;600;5, 10;6, 5;-55 to +110;5000;UL, cUL, VDE, BSI, FIMKO, CQC;image/optocouplers\81256.png;Datasheet\optocouplers\TCLT101. Series\TCLT101. Series.pdf;None
TCLT110. Series;Enlarge;SOP-6L5;80;22;600;5, 10;6.0, 5.0;-55 to +100;5000;UL, cUL, VDE, BSI, FIMKO, CQC,;image/optocouplers\83514.png;Datasheet\optocouplers\TCLT110. Series\TCLT110. Series.pdf;None
TCLT111. Series;Enlarge;SOP-6L5;70;13;600;5, 10;6, 5;-55 to +110;5000;UL, cUL, VDE, FIMKO, BSI, CQC,;image/optocouplers\81282.png;Datasheet\optocouplers\TCLT111. Series\TCLT111. Series.pdf;None
TCMT110. Series;Enlarge;SSOP-4;70;40;600;5, 10;9.5, 8.5;-40 to +100;3750;UL, cUL, VDE, BSI, CQC, FIMKO;image/optocouplers\83510.png;Datasheet\optocouplers\TCMT110. Series\TCMT110. Series.pdf;None
TCMT111. Series;Enlarge;SSOP-4;70;50;600;5, 10;9.5, 8;-40 to +110;3750;UL, cUL, VDE, CQC, BSI, FIMKO;image/optocouplers\81862.png;Datasheet\optocouplers\TCMT111. Series\TCMT111. Series.pdf;None
TCMT4100, TCMT4106;Enlarge;SSOP-16;70;50;600;5;9.5, 8.5;-40 to +100;3750;UL, cUL, VDE, BSI, FIMKO;image/optocouplers\84181.png;Datasheet\optocouplers\TCMT4100, TCMT4106\TCMT4100, TCMT4106.pdf;Datasheet\optocouplers\TCMT4100, TCMT4106\TCMT4100, TCMT4106.zip
