Part Number;Product Image;Zero or Non-zero crossing;Package;Trigger Current IFTMax.(mA);Blocking Voltage VDRM(V);On-state Current(mA);Static dv / dt;Isolation Voltage VISOVRMS;Ambient Temperature Range(°C);Creepage Min.(mm);Working Voltage VIORM(Vpeak);Safety Standard;Image path;Datasheet part;3d model part
IL410, IL4108;Enlarge;Zero;DIP-6;2 to 6;800;300;10000;4420;-55 to +100;7;890;UL, cUL, VDE, FIMKO;image/optocouplers/83627.png;Datasheet/optocouplers/opto-triac/IL410, IL4108/IL410, IL4108.pdf;Datasheet/optocouplers/opto-triac/IL410, IL4108/IL410, IL4108.zip
IL410, IL4108;Enlarge;Zero;DIP-6, 400 mil;2 to 6;800;300;10000;4420;-55 to +100;;890;UL, cUL, VDE, FIMKO;image/optocouplers/83627.png;Datasheet/optocouplers/opto-triac/IL410, IL4108/IL410, IL4108.pdf;Datasheet/optocouplers/opto-triac/IL410, IL4108/IL410, IL4108.zip
IL410, IL4108;Enlarge;Zero;SMD-6;2 to 6;800;300;10000;4420;-55 to +100;7;890;UL, cUL, VDE, FIMKO;image/optocouplers/83627.png;Datasheet/optocouplers/opto-triac/IL410, IL4108/IL410, IL4108.pdf;Datasheet/optocouplers/opto-triac/IL410, IL4108/IL410, IL4108.zip
VO4154, VO4156;Enlarge;Zero;DIP-6, 400 mil;1.6 to 3;600;300;5000;4420;-55 to +100;8;890;UL, cUL, VDE, FIMKO;image/optocouplers/84797.png;Datasheet/optocouplers/opto-triac/VO4154, VO4156/VO4154, VO4156.pdf;Datasheet/optocouplers/opto-triac/VO4154, VO4156/VO4154, VO4156.zip
VO4154, VO4156;Enlarge;Zero;SMD-6;1.6 to 3;600;300;5000;4420;-55 to +100;7;890;UL, cUL, VDE, FIMKO;image/optocouplers/84797.png;Datasheet/optocouplers/opto-triac/VO4154, VO4156/VO4154, VO4156.pdf;Datasheet/optocouplers/opto-triac/VO4154, VO4156/VO4154, VO4156.zip
VO4258;Enlarge;Non-Zero;DIP-6;1.6 to 3;800;300;5000;4420;-55 to +100;7;890;UL, cUL, VDE, FIMKO;image/optocouplers/84635.png;Datasheet/optocouplers/opto-triac/VO4258/VO4258.pdf;Datasheet/optocouplers/opto-triac/VO4258/VO4258.zip
VO4258;Enlarge;Non-Zero;DIP-6, 400 mil;1.6 to 3;800;300;5000;4420;-55 to +100;;890;UL, cUL, VDE, FIMKO;image/optocouplers/84635.png;Datasheet/optocouplers/opto-triac/VO4258/VO4258.pdf;Datasheet/optocouplers/opto-triac/VO4258/VO4258.zip
VO4258;Enlarge;Non-Zero;SMD-6;1.6 to 3;800;300;5000;4420;-55 to +100;7;890;UL, cUL, VDE, FIMKO;image/optocouplers/84635.png;Datasheet/optocouplers/opto-triac/VO4258/VO4258.pdf;Datasheet/optocouplers/opto-triac/VO4258/VO4258.zip
VO3062, VO3063;Enlarge;Zero;DIP-6;5 to 10;600;100;1500;4420;-55 to +100;7;890;UL, cUL, VDE;image/optocouplers/83748.png;Datasheet/optocouplers/opto-triac/VO3062, VO3063/VO3062, VO3063.pdf;Datasheet/optocouplers/opto-triac/VO3062, VO3063/VO3062, VO3063.zip
VO3062, VO3063;Enlarge;Zero;DIP-6, 400 mil;5 to 10;600;100;1500;4420;-55 to +100;8;890;UL, cUL, VDE;image/optocouplers/83748.png;Datasheet/optocouplers/opto-triac/VO3062, VO3063/VO3062, VO3063.pdf;Datasheet/optocouplers/opto-triac/VO3062, VO3063/VO3062, VO3063.zip
