Series;Product Image;Order Code;Cap (µF);Voltage (V);Form;Case Size;Temp Max (°C);Useful Life;Style;Technology;Image path;Datasheet part;3d model part
235 EDLC-HVR ENYCAP™;Enlarge;MAL223531015E3;12000000;3.0;Radial;Ø12.5x25;+85 °C;1500;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28455.png;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.pdf;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.zip
235 EDLC-HVR ENYCAP™;Enlarge;MAL223591008E3;50000000;3.0;Radial;Ø18x35;+85 °C;2000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28455.png;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.pdf;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.zip
235 EDLC-HVR ENYCAP™;Enlarge;MAL223531008E3;50000000;3.0;Radial;Ø18x35;+85 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28455.png;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.pdf;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.zip
235 EDLC-HVR ENYCAP™;Enlarge;MAL223551009E3;60000000;3.0;Radial;Ø18x40;+85 °C;2000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28455.png;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.pdf;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.zip
235 EDLC-HVR ENYCAP™;Enlarge;MAL223591009E3;60000000;3.0;Radial;Ø18x40;+85 °C;2000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors\28455.png;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.pdf;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.zip
235 EDLC-HVR ENYCAP™;Enlarge;MAL223531012E3;7000000;3.0;Radial;Ø10x25;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28455.png;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.pdf;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.zip
235 EDLC-HVR ENYCAP™;Enlarge;MAL223551012E3;7000000;3.0;Radial;Ø10x25;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28455.png;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.pdf;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.zip
235 EDLC-HVR ENYCAP™;Enlarge;MAL223551015E3;12000000;3.0;Radial;Ø12.5x25;+85 °C;1500;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28455.png;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.pdf;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.zip
235 EDLC-HVR ENYCAP™;Enlarge;MAL223551014E3;8000000;3.0;Radial;Ø12.5x20;+85 °C;1500;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28455.png;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.pdf;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.zip
235 EDLC-HVR ENYCAP™;Enlarge;MAL223551016E3;15000000;3.0;Radial;Ø12.5x30;+85 °C;1500;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors\28455.png;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.pdf;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.zip
235 EDLC-HVR ENYCAP™;Enlarge;MAL223531014E3;8000000;3.0;Radial;Ø12.5x20;+85 °C;1500;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28455.png;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.pdf;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.zip
235 EDLC-HVR ENYCAP™;Enlarge;MAL223531016E3;15000000;3.0;Radial;Ø12.5x30;+85 °C;1500;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28455.png;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.pdf;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.zip
235 EDLC-HVR ENYCAP™;Enlarge;MAL223531003E3;20000000;3.0;Radial;Ø16x20;+85 °C;2000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors\28455.png;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.pdf;Datasheet\capacitors\235 EDLC-HVR ENYCAP™\235 EDLC-HVR ENYCAP™.zip
